Point;Valeur
-2.81641011633619 -6.8710247900029415;-1.462613590229
-2.7794101172440793 -6.9080247840586;-1.4847747491280
-2.7545516732548507 -6.933053924212279;-1.4985871250692
-2.7347824304677313 -6.952958955111153;-1.5090012914156
-2.7179695650818694 -6.969856668130019;-1.5174844693764
-2.7031415812210273 -6.984721170767106;-1.5246954511957
-2.689761664006039 -6.998094295960278;-1.5309938477306
-2.677496977816673 -7.010313646140717;-1.536600193584
-2.6661246205761646 -7.021606207675445;-1.5416606977570
-2.655486809440473 -7.032133186665906;-1.546277882827
-2.6454670874758275 -7.04201390844546;-1.550526748029
-2.6359766413914394 -7.0513396058555635;-1.5544640080534
-2.6269459341823014 -7.060181874846969;-1.55813371093
-2.6183193311421964 -7.068598118290879;-1.561570826641
-2.610051507595853 -7.076635192724653;-1.5648036333552
-2.6021049663989935 -7.08433193337207;-1.5678553583480
-2.594448273401295 -7.091720952062517;-1.5707453386031
-2.587054772616138 -7.098829948483892;-1.5734898619534
-2.5799016309205376 -7.105682686600986;-1.576102789629
-2.5729691146472247 -7.1122997350783335;-1.578596025595
-2.5662400328569586 -7.118699037859991;-1.5809798761785
-2.5596993026834785 -7.124896360188704;-1.5832633296577
-2.5533336055881244 -7.130905641750219;-1.585454276465
-2.547131112342332 -7.136739279528614;-1.5875596846469
-2.541081260675194 -7.1424083567362215;-1.5895857411611
-2.5351745737737255 -7.147922829867888;-1.5915379667719
-2.529402510839304 -7.1532916828846;-1.5934213102917
-2.523757343039315 -7.158523055291321;-1.595240226513
-2.518232049786739 -7.163624349345904;-1.5969987411370
-2.512820231420198 -7.168602320376793;-1.598700505232
-2.5075160352249433 -7.173463153378148;-1.6003488412184
-2.502314092391576 -7.178212528327466;-1.601946781904
-2.497209463999964 -7.182855676193855;-1.6034971038334
-2.4921975944994026 -7.187397427217448;-1.6050023558987
-2.487274271453085 -7.191842252710436;-1.6064648840231
-2.482435590547966 -7.196194301423328;-1.6078868525433
-2.477677925053559 -7.200457431307516;-1.6092702628130
-2.472997899056291 -7.2046352373652764;-1.6106169694553
-2.468392363916486 -7.208731076168802;-1.6119286946130
-2.463858377486737 -7.212748087517895;-1.6132070404899
-2.459393185705378 -7.216689213631013;-1.6144535004230
-2.4549942062420382 -7.220557216202168;-1.6156694686916
-2.4506590139247906 -7.2243546916229935;-1.6168562492324
-2.4463853277157037 -7.228084084584001;-1.61801506340
-2.442170999038274 -7.231747700275598;-1.6191470569315
-2.4380140012892273 -7.235347715352092;-1.6202533061130
-2.433912420395715 -7.238886187816446;-1.621334823412
-2.429864446286738 -7.242365065948833;-1.6223925624831
-2.425868365176295 -7.245786196386722;-1.6234274227010
-2.4219225525677857 -7.249151331456074;-1.624440253269
-2.418025466896347 -7.252462135841793;-1.6254318569365
-2.4141756437393553 -7.25572019265896;-1.6264029933659
-2.410371690535038 -7.258927008992689;-1.6273543822131
-2.4066122817592897 -7.262084020967394;-1.628286705920
-2.4028961545055245 -7.265192598386115;-1.6292006122746
-2.3992221044349544 -7.268254048990161;-1.6300967167427
-2.395588982054918 -7.271269622372463;-1.6309756046151
-2.391995689295855 -7.274240513575826;-1.6318378329697
-2.388441176356969 -7.277167866415731;-1.6326839324783
-2.384924438796622 -7.280052776539282;-1.6335144090686
-2.3814445148443855 -7.28289629426496;-1.634329745456
-2.3780004829110033 -7.285699427194556;-1.6351304025599
-2.374591459286342 -7.28846314265167;-1.635916820805
-2.3712165959997504 -7.291188369930448;-1.6366894213388
-2.3678750788357465 -7.293876002393202;-1.6374486071432
-2.3645661254860064 -7.29652689941552;-1.6381947640811
-2.3612889838330418 -7.299141888207059;-1.6389282618580
-2.3580429303471706 -7.301721765495313;-1.6396494549206
-2.3548272685916998 -7.304267299110171;-1.6403586832923
-2.351641327829377 -7.306779229459873;-1.6410562733518
-2.348484461715642 -7.309258270904377;-1.6417425385587
-2.3453560470774137 -7.31170511305179;-1.6424177801323
-2.3422554827729187 -7.3141204219685605;-1.6430822876846
-2.3391821886148185 -7.316504841309867;-1.643736339813
-2.336135604368111 -7.318858993391558;-1.6443802046580
-2.3331151888014885 -7.321183480182654;-1.6450141404178
-2.3301204188020614 -7.323478884255943;-1.6456383958419
-2.327150788537255 -7.325745769667271;-1.6462532106866
-2.324205808669979 -7.32798468279058;-1.6468588161454
-2.321285005614798 -7.330196153107117;-1.647455435254
-2.3183879208397227 -7.332380693942817;-1.6480432832736
-2.3155141102072774 -7.334538803174097;-1.6486225680435
-2.3126631433490976 -7.33667096388609;-1.649193490325
-2.309834603077902 -7.338777644998665;-1.649756244121
-2.307028084829675 -7.340859301855162;-1.6503110169697
-2.304243196137953 -7.34291637678962;-1.6508579902359
-2.3014795561317634 -7.3449492996496994;-1.651397339377
-2.2987367950653863 -7.346958488305142;-1.651929234198
-2.2960145538676215 -7.348944349122679;-1.6524538390912
-2.293312483716425 -7.350907277418378;-1.6529713132625
-2.290630245634883 -7.352847657888499;-1.6534818109506
-2.287967510106727 -7.3547658650180505;-1.653985481629
-2.285323956712384 -7.356662263467383;-1.6544824702011
-2.282699273780408 -7.358537208444511;-1.6549729171838
-2.2800931580582544 -7.360391046053958;-1.6554569588830
-2.277505314397539 -7.362224113632475;-1.6559347275596
-2.2749354554543326 -7.364036740072278;-1.6564063515876
-2.2723833014035355 -7.365829246117566;-1.6568719556047
-2.269848579667204 -7.367601944661063;-1.6573316606549
-2.267331024654132 -7.36935514101698;-1.6577855843253
-2.2648303775122383 -7.3710891331873025;-1.6582338408758
-2.262346385891599 -7.372804212113173;-1.658676541362
-2.2598788037191238 -7.374500661916749;-1.6591137937574
-2.257427390981955 -7.376178760131764;-1.6595457030573
-2.254991913519885 -7.377838777923905;-1.6599723713955
-2.252572142828845 -7.379480980300779;-1.6603938981421
-2.2501678558712594 -7.381105626315941;-1.6608103800022
-2.2477788348941785 -7.382712969258712;-1.66122191111
-2.2454048672566103 -7.384303256846772;-1.6616285831202
-2.2430457452631174 -7.385876731394667;-1.6620304852887
-2.2407012660035597 -7.387433629989373;-1.6624277045603
-2.2383712312016715 -7.38897418465554;-1.662820325643
-2.2360554470663803 -7.390498622504788;-1.6632084310887
-2.23375372415264 -7.39200716589407;-1.6635921013564
-2.231465877226411 -7.393500032567155;-1.663971414889
-2.229191725132874 -7.3949774357910325;-1.6643464481796
-2.2269310906737187 -7.396439584492131;-1.6647172758272
-2.224683800486268 -7.397886683383766;-1.6650839706063
-2.222449684929352 -7.399318933090039;-1.6654466035211
-2.220228577970079 -7.4007365302613985;-1.6658052438626
-2.218020317080533 -7.4021396676953595;-1.666159959262
-2.215824743132226 -7.403528534438802;-1.6665108157446
-2.2136417002988056 -7.404903315896418;-1.6668578777755
-2.2114710359603076 -7.406264193936676;-1.6672012083122
-2.2093126006115265 -7.407611346982835;-1.6675408688475
-2.2071662477742815 -7.408944950113396;-1.6678769194552
-2.2050318339120882 -7.410265175150476;-1.6682094188323
-2.202909218347556 -7.411572190747369;-1.6685384243402
-2.2007982631830916 -7.412866162475169;-1.6688639920442
-2.198698833225456 -7.414147252904768;-1.6691861767516
-2.196610795911565 -7.415415621682174;-1.669505032048
-2.1945340212373554 -7.416671425610569;-1.6698206103344
-2.1924683816886934 -7.417914818719331;-1.6701329628583
-2.190413752175356 -7.41914595233596;-1.6704421397490
-2.1883700099681165 -7.420364975157625;-1.6707481900486
-2.186337034634231 -7.421572033313033;-1.6710511617424
-2.1843147079796874 -7.422767270431352;-1.6713511017887
-2.1823029139903 -7.423950827701079;-1.6716480561471
-2.1803015387769955 -7.425122843932196;-1.6719420698060
-2.1783104705194543 -7.426283455611844;-1.6722331868095
-2.1763295994159684 -7.4274327969637834;-1.6725214502829
-2.174358817631552 -7.4285710000001455;-1.6728069024572
-2.1723980192493477 -7.429698194575651;-1.6730895846936
-2.1704471002225767 -7.430814508436227;-1.6733695375064
-2.168505958328687 -7.43192006727311;-1.673646800585
-2.1665744931256237 -7.43301499476555;-1.6739214128184
-2.164652605907579 -7.434099412632014;-1.6741934123102
-2.162740199663955 -7.435173440671985;-1.6744628364050
-2.1608371790380683 -7.436237196809748;-1.6747297217049
-2.1589434502876266 -7.4372907971375435;-1.6749941040897
-2.157058921248328 -7.438334355957414;-1.6752560187342
-2.1551835012951557 -7.4393679858203665;-1.6755155001271
-2.15331710130654 -7.440391797562069;-1.67577258208
-2.151459633631046 -7.441405900346099;-1.67602729778
-2.149611012051716 -7.442410401695706;-1.6762796797439
-2.1477711517547986 -7.443405407531363;-1.6765297598801
-2.1459399692968737 -7.444391022203838;-1.6767775694966
-2.1441173825742017 -7.445367348527651;-1.6770231393078
-2.1423033107934786 -7.446334487816338;-1.6772664994518
-2.1404976744415523 -7.447292539908071;-1.6775076795045
-2.1387003952575854 -7.448241603200787;-1.6777467084931
-2.1369113962060324 -7.449181774684335;-1.6779836149092
-2.1351306014484916 -7.450113149960633;-1.6782184267212
-2.1333579363187862 -7.4510358232796134;-1.6784511713873
-2.1315933272979195 -7.451949887563693;-1.678681875866
-2.1298367019881193 -7.452855434434581;-1.6789105666316
-2.128087989090275 -7.453752554239119;-1.6791372696789
-2.126347118380165 -7.454641336074257;-1.6793620105404
-2.124614020685999 -7.455521867814299;-1.679584814293
-2.122888627865406 -7.456394236127183;-1.679805705573
