Point;Valeur
-3.51985074204074 4.515133531000824;-1.6584021321536
-4.444429067226299 4.494722374466674;-1.7903892110953
-4.46627949074315 4.492475396414527;-1.7905422757956
-4.477821461187443 4.49150282995817;-1.790584911701
-4.483965460981252 4.4911046260761465;-1.7905969495276
-4.487249308799401 4.490956912786915;-1.790600369268
-4.489008482191239 4.490912952060474;-1.7906013420537
-4.48995219508689 4.490908296897046;-1.790601617833
-4.4904589229390135 4.490915968534522;-1.7906016952218
-4.490731197240461 4.4909255526465195;-1.7906017164543
-4.490877576213141 4.4909336371031126;-1.7906017220050
-4.490956309807257 4.490939558794161;-1.790601723300
PointOptimal;ValeurOptimale
[-4.49095631  4.49093956];-1.790601723300767
Temps;Nb iteration
0.0009500980377197266;11
