Point;Valeur
-5.689165913927551 3.266844805613939;-1.3699787159164
-5.208642247634975 5.419425722481114;-1.6655190902729
-4.61468503627893 6.562616841258396;-1.4993136414088
-4.172493512539308 8.343342088858396;-1.5918497168943
-4.009897581777432 9.32803701941735;-1.2284091921703
-4.075339853524836 7.379764344510112;-1.6287122770233
-4.314636771409859 6.091429336973409;-1.4595909539411
-4.5522375733809515 3.587946056062186;-1.6818003058312
-4.688672576627862 2.477768720720467;-1.7725142621101
-4.691785559157951 1.1870068312783055;-1.8739262720245
-4.5846526126861225 0.4058300314851514;-1.73220408579
-4.443369982863974 0.6650239710529953;-1.8125023218787
-4.329992130071958 1.2976431937321462;-1.886080058488
-4.287710230098697 1.8132231571563129;-1.8761187705694
-4.3185386998764095 2.0335034371722087;-1.8564085012518
-4.3881564785727765 1.9492822677985708;-1.8666167824707
-4.4540708209945565 1.6909670700630863;-1.8849677727671
-4.487555680108173 1.4206076707440038;-1.8891906623584
-4.482431703055203 1.252216071031494;-1.8845439530762
-4.451189014793333 1.2273776254678024;-1.883664039681
-4.414214554774242 1.3141186540376284;-1.8874235993259
-4.38918040249696 1.4405382228262125;-1.8897563704715
-4.384102313749694 1.5412894918213027;-1.8892968069417
-4.3959969868373525 1.5827835497668503;-1.8886057469072
-4.415032304153987 1.5660040586787674;-1.8890183114663
-4.430863738420207 1.515331301901681;-1.8897238506999
-4.437396906646825 1.4616107895953367;-1.889894480289
-4.434266300435766 1.4277756820746628;-1.889725205666
-4.42540483653445 1.4218183234281192;-1.88969065134
-4.416181156117795 1.4378067567081398;-1.8898282364952
-4.410698921374805 1.4624851492980184;-1.8899243072587
-4.410344107530209 1.4830402598867094;-1.8899140956768
-4.4138954259020124 1.4922705997852697;-1.8898874287188
-4.41875837008722 1.4898147946928777;-1.8899007557211
-4.422473007039511 1.4802094301929276;-1.889927673331
-4.423746372116538 1.469552085894949;-1.8899356492315
-4.422690688770146 1.4625364670194336;-1.88992995386
-4.4203902940379445 1.4609467388073691;-1.8899283313046
-4.41817066308921 1.4637961173276255;-1.8899332639565
-4.4169629716143435 1.4685687999141672;-1.8899371721252
-4.41701023789798 1.472720099019041;-1.8899371404394
-4.417949907137265 1.4747327673718233;-1.8899361856421
-4.419135488619925 1.4744282855987645;-1.8899365796690
-4.419992408508202 1.4726336362593513;-1.8899375561056
-4.4202446539479645 1.4705370688168191;-1.8899379029588
-4.419950591871647 1.4690909367161693;-1.8899377237702
-4.419385800110952 1.4686919326393773;-1.8899376561609
-4.418865481189979 1.4691863197395814;-1.8899378335664
-4.418598970423638 1.4700999688328207;-1.889937995533
-4.418629617794955 1.4709304624414503;-1.889938014962
-4.418862196248673 1.4713621226007643;-1.8899379849911
-4.419141906450005 1.471338921545771;-1.8899379934940
-4.419336863643185 1.4710085753827071;-1.889938023988
-4.419387856072179 1.470599983773891;-1.8899380356103
-4.419313289479229 1.4703045911198638;-1.8899380294324
-4.419179736687781 1.4702091774787847;-1.8899380272282
-4.419060233151603 1.4702920556939985;-1.8899380347449
-4.419001471766028 1.470464970066949;-1.8899380427541
-4.419011353219963 1.470629584369231;-1.8899380453461
-4.419066489138654 1.4707209111874104;-1.8899380447853
PointOptimal;ValeurOptimale
[-4.41906649  1.47072091];-1.8899380447853666
Temps;Nb iteration
0.004876852035522461;59
