Point;Valeur
-7.316074586145258 -0.8237780866901883;-1.66383166856
-7.347456235071143 -0.9089666409970664;-1.6767657108167
-7.389593272050365 -1.031468509912352;-1.6915717091094
-7.434308307771772 -1.1627747195715021;-1.703181179619
-7.475981790676867 -1.2848114334701621;-1.7104142866713
-7.511300549130912 -1.3878613545282856;-1.714030524700
-7.5388018929339475 -1.4680498968811397;-1.715328151327
-7.558359893487581 -1.5253028436680425;-1.7154598514717
-7.570710934059323 -1.5618522465333313;-1.7152017608266
-7.5770648095419935 -1.5811654902799015;-1.714959023663
-7.578812897081464 -1.5871801430709405;-1.7148695576906
-7.5773262533295735 -1.5837713050462;-1.7149234936721
-7.573828833462651 -1.5744071790626157;-1.7150565896736
-7.569329483375748 -1.5619584680351022;-1.7152054650270
-7.564597567031833 -1.5486278952565538;-1.7153300384367
-7.560169191481838 -1.5359662807205094;-1.715415188720
-7.55637317921981 -1.5249444447808724;-1.715463090036
-7.553367987098939 -1.5160553396990977;-1.7154839997988
-7.551182682247312 -1.5094267755997546;-1.7154893369516
-7.549756881930609 -1.5049308111425812;-1.7154880083723
-7.548976227781561 -1.5022808206272098;-1.7154853853501
-7.548701440093613 -1.5011113009303954;-1.7154838283166
-7.548790220506891 -1.5010386502971667;-1.7154837756204
PointOptimal;ValeurOptimale
[-7.54879022 -1.50103865];-1.7154837756204733
Temps;Nb iteration
0.0019137859344482422;22
