Point;Valeur
-7.508763136655345 -7.949672175712175;-1.5450271867314
-11.025413388389357 -4.431467437621519;-1.502874152731
-7.807358169507081 -6.029255711565181;-1.401313306376
-6.127270380355835 -2.527540823612963;-1.4011556598909
-2.615890383060588 -1.2712048075499174;-1.865584266456
-1.2945323707227334 -1.4572139467520322;-2.060818742893
-1.3474453428645359 -1.3060661834464389;-2.0623915562576
-1.346434957467469 -1.3672336189799668;-2.062572868172
-1.3501098101877567 -1.3419366984593377;-2.062605188240
-1.3490794113677207 -1.3527504437170363;-2.0626105325059
-1.3496181728258392 -1.3479791797859033;-2.062611622028
-1.3493854581639906 -1.3501494455059675;-2.062611805972
-1.3494963344089717 -1.3491308922954786;-2.062611860563
-1.349442940126776 -1.3496231813008375;-2.062611865318
-1.3494695402965906 -1.349378087790333;-2.0626118702336
-1.3494559128969434 -1.3495036510447451;-2.0626118695196
-1.3494630942576027 -1.349437476459304;-2.0626118703682
PointOptimal;ValeurOptimale
[-1.34946309 -1.34943748];-2.0626118703682947
Temps;Nb iteration
0.0014159679412841797;16
