Point;Valeur
-7.687106155477849 4.007496139800908;-1.6243293774957
-7.493404385524746 4.201301353260706;-1.6419535078133
-7.674960951308186 4.339627211474861;-1.649189325912
-7.497183303373549 4.4262304545222575;-1.6518133026732
-7.678863179114013 4.476574232321413;-1.6526556212337
-7.4981334449789685 4.507245743187448;-1.6530061648834
-7.6802748230687685 4.524203800104046;-1.6530604447960
-7.498407416366524 4.535317915445346;-1.6531457601607
-7.680785617759643 4.540778726525846;-1.6531071475420
-7.498480628472043 4.545127428204355;-1.6531615903583
-7.680982085157356 4.546589733994029;-1.653111862209
-7.498490953449951 4.548573733755467;-1.6531629134418
-7.681065292104231 4.548633997657184;-1.6531118893784
-7.498483199679534 4.549787169323356;-1.6531627000246
-7.681105431129984 4.549354077557085;-1.653111547793
-7.498471902528742 4.550214784660551;-1.6531624233019
-7.68112785100791 4.549607828000074;-1.653111270069
-7.4984613752258555 4.550365538431732;-1.6531622108481
-7.681142146034159 4.54969725181847;-1.6531110645638
-7.498452575144672 4.550418705871325;-1.653162051556
-7.681152199250921 4.5497287587654585;-1.6531109094711
-7.498445450546775 4.550437468962378;-1.6531619293171
-7.681159735642836 4.549739852961436;-1.6531107892076
-7.498439713261199 4.550444099882005;-1.6531618333050
-7.681165614969438 4.549743753666903;-1.653110693894
-7.498435069796229 4.550446450823087;-1.6531617564682
-7.6811703200193 4.549745120500854;-1.65311061706
-7.498431280434625 4.550447290484858;-1.6531616940758
-7.681174150839031 4.54974559542858;-1.6531105543192
-7.498428159096769 4.550447595475635;-1.6531616427932
-7.681177310731988 4.549745757156414;-1.6531105024854
-7.4984255653396 4.550447710587556;-1.6531616002176
-7.6811799438647155 4.54974580935892;-1.6531104592656
-7.498423392207989 4.550447757441793;-1.6531615645599
-7.681182156496275 4.549745823683118;-1.6531104229378
-7.498421558257384 4.550447779239029;-1.6531615344721
-7.681184029032954 4.5497458252896665;-1.6531103921898
-7.498420001003351 4.550447791495432;-1.6531615089252
-7.681185623658424 4.549745822833204;-1.65311036600
-7.498418670483605 4.5504477996421775;-1.6531614870981
-7.681186989280795 4.54974581942318;-1.6531103435773
-7.4984175282046355 4.550447805850698;-1.6531614683591
-7.681188164282803 4.549745816059801;-1.6531103242810
-7.4984165429527785 4.550447810944999;-1.6531614521960
-7.681189180059086 4.549745812939997;-1.6531103075992
-7.498415689247897 4.550447815194565;-1.653161438190
-7.681190061568991 4.54974581019851;-1.6531102931224
-7.4984149472987305 4.550447818853335;-1.6531614260189
-7.681190828883387 4.549745807752421;-1.6531102805208
