Point;Valeur
-8.320853281096912 -7.608683905109473;-1.5164964239314
-8.318948407994737 -7.608775660607648;-1.5167100451849
-8.317049486208143 -7.608867104925584;-1.5169223339783
-8.31515648804807 -7.608958238975677;-1.5171333006393
-8.313269386058284 -7.609049063667493;-1.5173429553860
-8.311388153014587 -7.609139579909768;-1.517551308328
-8.309512761921154 -7.609229788609123;-1.5177583694704
-8.30764318600702 -7.609319690670669;-1.5179641487103
-8.305779398723406 -7.609409286998009;-1.518168655843
-8.303921373741863 -7.609498578492176;-1.518371900562
-8.302069084950464 -7.609587566053792;-1.5185738924605
-8.30022250645161 -7.609676250580718;-1.5187746410308
-8.298381612558071 -7.609764632969726;-1.5189741556691
-8.296546377792795 -7.609852714115658;-1.5191724456746
-8.294716776883249 -7.609940494911283;-1.5193695202517
-8.29289278476126 -7.610027976248615;-1.5195653885111
-8.29107437655929 -7.610115159016571;-1.5197600594708
-8.289261527608197 -7.610202044103428;-1.5199535420581
-8.287454213435016 -7.610288632395234;-1.520145845110
-8.285652409760312 -7.610374924776339;-1.5203369773750
-8.28385609249558 -7.610460922128981;-1.5205269475144
-8.282065237741199 -7.610546625334111;-1.5207157641029
-8.280279821783951 -7.610632035270267;-1.520903435630
-8.278499821095203 -7.610717152815044;-1.5210899705025
-8.276725212328563 -7.610801978843883;-1.521275377042
-8.27495597231683 -7.610886514229847;-1.521459663491
-8.273192078071009 -7.610970759845246;-1.5216428380101
-8.271433506777706 -7.611054716560011;-1.5218249086797
-8.269680235796413 -7.611138385241882;-1.5220058835028
-8.267932242658523 -7.61122176675713;-1.5221857704047
-8.266189505064952 -7.6113048619704005;-1.5223645772341
-8.264452000883388 -7.611387671744376;-1.5225423117643
-8.262719708147076 -7.611470196939287;-1.5227189816942
-8.260992605053579 -7.611552438414646;-1.5228945946491
-8.259270669960737 -7.611634397027398;-1.5230691581820
-8.257553881386588 -7.611716073632602;-1.523242679774
-8.255842218007523 -7.611797469083541;-1.5234151668357
-8.254135658655377 -7.6118785842319525;-1.5235866267078
-8.252434182316373 -7.611959419927421;-1.5237570666622
-8.25073776812942 -7.612039977017568;-1.5239264939028
-8.249046395383443 -7.612120256348243;-1.5240949155663
-8.247360043517405 -7.612200258763669;-1.5242623387230
-8.245678692116586 -7.612279985105843;-1.5244287703780
-8.244002320912495 -7.612359436214877;-1.5245942174714
-8.242330909780385 -7.612438612929258;-1.5247586868797
-8.240664438737857 -7.612517516085697;-1.524922185416
-8.239002887943348 -7.612596146518456;-1.5250847198324
-8.237346237694883 -7.612674505060358;-1.5252462968173
-8.235694468427852 -7.612752592541851;-1.525406923000
-8.234047560714103 -7.612830409792134;-1.525566604949
-8.23240549525915 -7.612907957638184;-1.5257253491753
-8.230768252902731 -7.612985236904934;-1.5258831621284
-8.229135814616104 -7.613062248416151;-1.5260400502019
-8.227508161500676 -7.613138992992429;-1.5261960197320
-8.225885274786576 -7.613215471453193;-1.5263510769983
-8.224267135831553 -7.613291684616245;-1.52650522822
-8.222653726119365 -7.613367633296592;-1.5266584795796
-8.221045027258745 -7.61344331830845;-1.526810837177
-8.21944102098126 -7.61351874046324;-1.5269623070793
-8.217841689141231 -7.6135939005707245;-1.5271128952919
-8.216247013713586 -7.613668799438701;-1.5272626077700
-8.214656976792568 -7.613743437873646;-1.5274114504167
-8.213071560590535 -7.613817816679207;-1.5275594290835
-8.211490747436788 -7.61389193665718;-1.527706549571
-8.209914519776584 -7.613965798607927;-1.5278528176307
-8.208342860169939 -7.614039403330148;-1.5279982389631
-8.206775751289351 -7.61411275161979;-1.5281428192207
-8.205213175920566 -7.614185844271514;-1.5282865640073
-8.203655116959698 -7.614258682077832;-1.5284294788789
-8.202101557412751 -7.61433126582929;-1.5285715693442
-8.200552480395002 -7.614403596314361;-1.5287128408651
-8.199007869128181 -7.614475674319854;-1.5288532988574
-8.197467706941444 -7.614547500630806;-1.528992948691
-8.195931977269 -7.614619076029838;-1.529131795691
-8.194400663649883 -7.614690401298212;-1.529269845137
-8.192873749725726 -7.614761477214811;-1.529407102266
-8.191351219240268 -7.6148323045563675;-1.5295435722694
-8.189833056039166 -7.614902884098292;-1.5296792602967
-8.188319244068033 -7.6149732166138815;-1.5298141714541
-8.18680976737176 -7.615043302874772;-1.5299483108060
-8.18530461009285 -7.615113143650109;-1.5300816833747
-8.183803756471765 -7.615182739707224;-1.5302142941413
-8.182307190844464 -7.615252091811827;-1.5303461480460
-8.180814897643163 -7.615321200727477;-1.5304772499887
-8.179326861393319 -7.615390067215996;-1.530607604829
-8.177843066714829 -7.615458692037128;-1.5307372173878
-8.176363498319393 -7.615527075948506;-1.5308660924458
-8.174888141010968 -7.615595219706667;-1.5309942347456
-8.173416979684141 -7.615663124065392;-1.5311216489915
-8.171949999322281 -7.615730789776274;-1.531248339850
-8.170487184999542 -7.615798217590035;-1.5313743119499
-8.169028521876594 -7.615865408254683;-1.5314995698832
-8.167573995202172 -7.615932362516638;-1.5316241182051
-8.16612359031134 -7.615999081120508;-1.5317479614346
-8.16467729262515 -7.616065564808412;-1.5318711040546
-8.163235087648683 -7.616131814321448;-1.5319935505129
-8.161796960971383 -7.616197830397844;-1.5321153052219
-8.160362898266193 -7.616263613774775;-1.5322363725592
-8.158932885288458 -7.6163291651873735;-1.5323567568680
-8.157506907874078 -7.616394485367792;-1.5324764624576
-8.156084951941544 -7.616459575047918;-1.532595493603
-8.154667003488541 -7.616524434956468;-1.532713854548
-8.153253048591909 -7.616589065820613;-1.5328315495002
-8.151843073407685 -7.616653468365975;-1.532948582636
-8.150437064169665 -7.616717643315796;-1.5330649581012
-8.149035007188841 -7.616781591392376;-1.5331806800064
-8.147636888852793 -7.616845313314469;-1.5332957524327
-8.146242695624405 -7.616908809800069;-1.5334101794293
-8.144852414042438 -7.6169720815654385;-1.5335239650142
-8.143466030719296 -7.617035129324233;-1.5336371131750
-8.142083532341896 -7.617097953788484;-1.5337496278686
-8.14070490566952 -7.617160555668715;-1.5338615130220
-8.139330137534149 -7.617222935672995;-1.5339727725322
-8.137959214839938 -7.6172850945079205;-1.5340834102668
-8.136592124561858 -7.6173470328779755;-1.5341934300642
-8.135228853745279 -7.6174087514862086;-1.5343028357339
-8.13386938950544 -7.617470251032799;-1.5344116310567
-8.132513719026509 -7.617531532216908;-1.5345198197852
-8.13116182956241 -7.617592595735886;-1.5346274056436
-8.12981370843358 -7.617653442284587;-1.534734392328
-8.128469343028966 -7.617714072556362;-1.5348407835093
-8.127128720804102 -7.617774487242971;-1.5349465828275
-8.12579182928028 -7.61783468703346;-1.535051793898
-8.1244586560453 -7.6178946726163055;-1.535156420308
-8.123129188751365 -7.61795444467674;-1.5352604656218
-8.121803415115522 -7.618014003898863;-1.535363933372
-8.120481322918879 -7.618073350965114;-1.5354668270692
-8.119162900005884 -7.618132486555665;-1.5355691501969
-8.117848134283722 -7.618191411348993;-1.5356709062133
-8.116537013722125 -7.618250126021796;-1.535772098551
-8.115229526352428 -7.618308631248627;-1.5358727306196
-8.113925660267572 -7.61836692770256;-1.5359728058006
-8.112625403620932 -7.61842501605456;-1.5360723274534
-8.1113287446262 -7.618482896973853;-1.5361712989125
-8.110035671557167 -7.618540571128157;-1.536269723488
-8.10874617274662 -7.618598039182809;-1.5363676044671
-8.107460236585707 -7.618655301801641;-1.5364649451120
-8.106177851524572 -7.618712359646781;-1.5365617486627
-8.104899006070436 -7.618769213377793;-1.5366580183354
-8.103623688788236 -7.618825863653184;-1.5367537573235
-8.102351888299452 -7.618882311129422;-1.5368489687978
-8.101083593282263 -7.618938556461125;-1.5369436559063
-8.09981879247079 -7.618994600301516;-1.5370378217748
-8.098557474654303 -7.619050443301362;-1.5371314695070
-8.097299628676616 -7.619106086109923;-1.5372246021847
-8.096045243436883 -7.619161529374418;-1.5373172228678
-8.094794307887708 -7.619216773740294;-1.5374093345948
-8.093546811036088 -7.619271819851939;-1.5375009403829
-8.092302741941907 -7.61932666835125;-1.537592043228
-8.091062089717138 -7.6193813198782765;-1.5376826461054
-8.08982484352694 -7.619435775071518;-1.5377727519692
-8.088590992588077 -7.619490034567512;-1.537862363753
-8.087360526168494 -7.619544099000758;-1.5379514843707
-8.086133433588078 -7.619597969004698;-1.5380401167149
-8.084909704217072 -7.619651645211076;-1.5381282636587
-8.083689327475359 -7.61970512824903;-1.5382159280556
-8.082472292833891 -7.6197584187464535;-1.5383031127391
-8.081258589812506 -7.619811517329391;-1.5383898205231
-8.080048207979809 -7.619864424621432;-1.5384760542026
-8.07884113695363 -7.619917141245525;-1.538561816553
-8.07763736640053 -7.619969667822466;-1.5386471103309
-8.07643688603403 -7.620022004970977;-1.5387319382741
-8.075239685616152 -7.620074153308419;-1.5388163031017
-8.074045754955769 -7.620126113450304;-1.5389002075143
-8.072855083909085 -7.620177886010521;-1.5389836541941
-8.071667662377827 -7.620229471600807;-1.5390666458052
-8.070483480310685 -7.620280870831164;-1.5391491849936
-8.069302527701868 -7.620332084310195;-1.5392312743876
-8.068124794591865 -7.6203831126447685;-1.5393129165975
-8.06695027106484 -7.620433956439714;-1.5393941142163
-8.065778947250895 -7.620484616298767;-1.5394748698195
-8.064610813324066 -7.620535092823321;-1.5395551859652
-8.06344585950241 -7.6205853866129205;-1.5396350651945
