Point;Valeur
-8.798063166369982 -1.7434814314685436;-1.5672206834303
-8.48326385464393 -1.4287935184010963;-1.6381220424813
-8.242189945202654 -1.5939506489764617;-1.673106829874
-8.060987798736113 -1.4366204132511282;-1.6920933817379
-7.924346750056856 -1.5880652537351507;-1.702575076661
-7.822379574074054 -1.434756436939752;-1.7083598288391
-7.746522279975835 -1.5880959910351957;-1.7114798468881
-7.691217666357964 -1.431539266182061;-1.7131482447904
-7.650761004188761 -1.589656795312881;-1.7140002839103
-7.621989384545799 -1.4286162861899967;-1.7144452567925
-7.60109773330963 -1.5914737074569154;-1.714650430866
-7.586605435056471 -1.4262626934619345;-1.7147614455488
-7.575999446591015 -1.5931558778160444;-1.7147960629841
-7.568879252702522 -1.4244135837406884;-1.7148228033071
-7.563505079718183 -1.5946077715241866;-1.714815415518
-7.560097456348274 -1.4229525656944566;-1.7148229484756
-7.557334894324239 -1.5958309448055423;-1.714806195314
-7.555772258978228 -1.4217812511280261;-1.7148105300427
-7.5543002135033674 -1.5968549913968095;-1.7147922922059
-7.553648526889189 -1.4208271347726074;-1.7147970765580
-7.552810626250447 -1.5977138294068776;-1.7147791056361
-7.55260751735438 -1.4200383068512277;-1.7147849963052
-7.552080105956333 -1.5984380945505274;-1.7147675824316
-7.552097828388274 -1.4193774311347052;-1.7147745562458
-7.55172194483596 -1.5990532903800003;-1.7147576658168
-7.551848566074854 -1.4188172408648119;-1.7147655735427
-7.551546318022255 -1.5995799392565335;-1.7147491184638
-7.551726860372696 -1.4183374665659405;-1.7147578104035
-7.551460147060957 -1.6000343304445344;-1.7147417075207
-7.551667594969101 -1.4179227795734075;-1.7147510570694
-7.551417815389258 -1.6004293463035812;-1.7147352381514
-7.551638873318053 -1.4175614018015523;-1.7147451422035
-7.551396971748399 -1.600775193773949;-1.7147295530809
-7.5516250766861495 -1.4172441553182444;-1.7147399281275
-7.551386665116851 -1.6010800009190225;-1.714724525979
-7.5516185601389765 -1.4169637943785063;-1.7147353040944
-7.551381529671552 -1.601350283285016;-1.714720054961
-7.551615583504205 -1.4167145329641788;-1.7147311805100
-7.55137893570736 -1.6015913028218849;-1.7147160572955
-7.551614318629125 -1.416491701873024;-1.7147274843585
-7.551377594003216 -1.6018073424369477;-1.7147124652924
-7.551613873077832 -1.4162914973927605;-1.714724155690
-7.551376872197605 -1.602001915112099;-1.7147092231580
