Point;Valeur
-9.37724871240086 8.250201797691318;-1.0825830239112
-4.053321140148684 8.109411872292124;-1.6068589047620
-1.078524670416169 7.861252592093968;-1.6895148974090
1.158333078126493 7.642653968283857;-1.7033541514587
2.020285911992862 7.520287567645832;-1.6915717220749
2.031315786489591 7.483997666061052;-1.690137233435
1.8370194282859666 7.497062636478922;-1.7055116217939
1.6353632361570147 7.52399673593108;-1.7139773545024
1.5037235586307167 7.545529892461022;-1.7154841163257
1.4498657230084706 7.556387157799257;-1.7151778378150
1.4485795691114123 7.558707702653274;-1.715161252161
1.469885831403188 7.556706555700261;-1.7153526507401
1.492950097614838 7.553780427595738;-1.715467123158
1.5083702214077346 7.5516556833329265;-1.7154894088348
1.5149505067897877 7.550701110927781;-1.7154856614768
1.5153919226742205 7.5505947854348365;-1.7154851191901
1.5130676336586428 7.550867977390088;-1.715487533743
1.5104131282835573 7.551181420481655;-1.7154890896060
1.508582062766865 7.551383751228487;-1.7154894155793
1.5077650396090758 7.551459526387275;-1.7154893646827
1.5076747402412494 7.551453875474954;-1.7154893517638
PointOptimal;ValeurOptimale
[1.50767474 7.55145388];-1.7154893517638958
Temps;Nb iteration
0.0017032623291015625;20
