Point;Valeur
-9.643688267064691 6.893563907672629;-1.226253559995
-15.038303239492848 12.288173065257265;-0.9945823811184
-13.421438525676026 7.247133663142374;-1.2921614564386
-14.301463821087037 8.27201545007744;-1.2884053891259
-13.593558061467597 7.067896642484375;-1.2861811254706
-14.151188041449549 8.817704839177274;-1.2248070361280
-13.644010507868988 5.935372868882858;-1.2161886401514
-14.11553427668061 2.0558457105126866;-1.3817188570889
-13.425776679315323 1.1187855219521445;-1.380519338178
-14.773447205705553 1.9251067267042958;-1.3327452800169
-12.332376132534211 1.174543753196645;-1.2726562526395
-7.502429117771084 1.9034986058961638;-1.7011976274408
-7.593145473535628 0.7722737110420461;-1.6607796864008
-7.511080481271499 3.2688739851422293;-1.3723300303259
-7.607763801865601 8.419808814093816;-1.5044756579918
-7.674873514593857 7.729368986562751;-1.5535600714890
-7.589200156730624 7.6398310701916206;-1.554301314736
-7.690339948836611 7.631709982509158;-1.5541892375478
-7.547841294843794 7.633536375177672;-1.553860085323
-7.782953430125862 7.630892782712466;-1.5526257061712
-7.352525929207825 7.635816034998297;-1.5476012240650
-8.315420533617255 7.62551745367407;-1.5171699644622
-6.204854500193969 7.650384214010628;-1.245134740370
-0.8797319079093961 7.598142675600883;-1.6766802050762
-1.3544473333539695 7.495695789636885;-1.713059239145
-1.463304693556366 7.622929742616321;-1.7148264502096
-1.4981056481426207 7.447754727877749;-1.7144441061616
-1.5060738031271563 7.737700388537077;-1.7123241956834
-1.5095432776382367 7.218148159549058;-1.7040309927459
-1.5060428085202016 8.412718665929892;-1.6502243461005
-1.514633884871596 5.949807815114772;-1.6199025481002
-1.49145970275361 1.3293189068125635;-2.060205234015
-1.2640502349351093 1.3981360907157443;-2.061399335899
-1.4256976355364455 1.263873870798601;-2.0609585662055
-1.269305875092984 1.513372564907457;-2.0585596714118
-1.4657120883828427 1.0374078377861835;-2.0482626448712
-1.1583387669917633 2.1364532071712565;-1.9869701131064
-1.7553654394011158 -0.21181378925514371;-1.7783973703599
-0.7517842862831481 -5.097591109753717;-1.7858575272167
-2.813010972217828 -4.274468661414616;-1.6549393652623
1.2865210841144603 -4.507287920901791;-1.8855956298197
1.620494009826491 -4.367687994780428;-1.8873718183003
1.3359885904138875 -4.461701472602579;-1.8878732419283
1.6205924613462925 -4.37945240292832;-1.8874885956124
1.2857206957922065 -4.46616023978597;-1.8861570954424
1.7489735196657001 -4.357719451273446;-1.8816938159991
1.0232903593298683 -4.5194527258508455;-1.8672818841128
2.390726542910718 -4.252082826170058;-1.7952812242688
-0.39545363017323965 -4.780226215706329;-1.7183387100713
-4.279336306927945 -3.8264966421995346;-1.7357724668408
-4.68339351847259 -6.278659687486465;-1.0004854496691
-4.502094576481211 -0.8847538545145515;-1.8510171650216
-4.278788303875467 -0.9222676476075498;-1.8550831943535
-4.651811016643261 -0.9595523724783258;-1.8557925156518
-3.986343299581561 -0.9969131714714967;-1.8447470743954
-5.572095973484801 -1.0330249548803836;-1.735657318892
-2.2937927333138153 -1.0679614586678845;-1.9486074503117
0.44512896776060185 -1.1008835440270823;-1.9273092439794
4.101145508341704 -1.11900758641067;-1.8659977845057
4.8598948561385695 -1.1550018494709522;-1.8601521656577
3.917108026516236 -1.1907535338229112;-1.8520303752857
5.444698361443061 -1.2230321019081496;-1.779330312741
3.031288739510997 -1.25519320157048;-1.5832917761049
-2.1362616973867126 -1.276955841479742;-1.9919961128693
-1.4538430872325003 -1.297209677759214;-2.0609423141793
-1.352414112810912 -1.3084520761766625;-2.0624111244790
-1.3461694139789901 -1.316859127094485;-2.0624878811954
-1.3471664653296398 -1.324016995155677;-2.062536547209
-1.3476769544358618 -1.3300838473572136;-2.0625682872046
-1.348150822867316 -1.3350983827651284;-2.0625879946433
-1.3485162533184456 -1.3391343816950323;-2.062599573376
-1.3488070053475472 -1.3422859682181105;-2.0626059651429
-1.349022807856953 -1.3446648151239105;-2.0626092531217
-1.3491816270880905 -1.346392540265766;-2.062610813532
-1.349289991860322 -1.34759374309031;-2.062611488375
-1.3493636397926705 -1.3483881299646152;-2.062611750018
-1.3494071252252688 -1.3488842242768924;-2.0626118388986
-1.3494361033045084 -1.3491740022469603;-2.0626118642743
-1.3494457974768121 -1.349330728178914;-2.0626118699184
-1.3494620058742326 -1.3494077725028464;-2.0626118704648
PointOptimal;ValeurOptimale
[-1.34946201 -1.34940777];-2.0626118704648757
Temps;Nb iteration
0.006791114807128906;79
