Point;Valeur
2.413531058770406 4.758735054723209;-1.7842096016795
2.340640558703525 4.685844554656327;-1.8035744809013
2.235296615475569 4.580747453457036;-1.826904057409
2.103505224080605 4.451692041288153;-1.848883808474
1.9483192154389872 4.313207578739946;-1.865479956375
1.7720899845452052 4.202514005161828;-1.8754318752464
1.5776735920273741 4.152578902265976;-1.8807955171356
1.3699841305852314 4.156027310574409;-1.8813487287876
1.1586100112410653 4.197798601982204;-1.8746597291483
0.9609523724654525 4.267519089529305;-1.8594888896169
0.8005750494493072 4.357070313943027;-1.8386572172504
0.6946275839151654 4.457114211156745;-1.8187786603334
0.6439576486070392 4.55431698919835;-1.8057444576405
0.6397450922654127 4.632185587121304;-1.8020154179211
0.6726539708015115 4.678027164499022;-1.8073329783644
0.7357862631091271 4.688278267039233;-1.81974814060
0.8244260365646597 4.665796529264739;-1.8364427711616
0.9352218025532621 4.615432716551522;-1.8544063667308
1.0655013913636573 4.542275203654904;-1.8707630504590
1.2127283926136774 4.452083465030869;-1.8828799893584
1.3739849505859938 4.353289592583759;-1.888554177813
1.5453767731867774 4.259995230125785;-1.8866040391303
1.721327851581082 4.191165684661173;-1.877709598587
1.8939234141923837 4.15983779005313;-1.8640357121489
2.0528376364506213 4.166349478741838;-1.847816475902
2.186741540220859 4.204852186504925;-1.8312841020178
2.2864050392028035 4.268989369184466;-1.8170178339089
2.347540827988272 4.352735713547842;-1.8072934121700
2.3709005742485942 4.449153104110828;-1.8031413271131
2.3600620818220133 4.548517671078269;-1.8042632148193
2.3192154506733695 4.637404248546636;-1.8098454220449
2.252056252954945 4.701750874955372;-1.8192976102004
2.1615432610632643 4.73307092756433;-1.8320629497534
2.050040645977832 4.730421041731219;-1.8470416844269
1.9195799926675443 4.697097800539028;-1.862502707542
1.772168707749212 4.637511339908916;-1.8763155197152
1.6101752006754486 4.556203796885907;-1.886151946577
1.4368783771053186 4.458416004621879;-1.8896580567286
1.2572913514189976 4.351874142698631;-1.8848128093599
1.0792616492359035 4.249429581652049;-1.8708227019488
0.9143150558467955 4.168881993545967;-1.8495543976449
0.7765771157918685 4.124190613425251;-1.8260021522090
0.678153237169837 4.117701773455775;-1.8064511355289
