Point;Valeur
3.947578272434205 3.1287191953098166;-1.1751810030723
3.9489969059416667 2.9725997709860836;-1.5243311915520
3.9508173958990116 2.9569116840642247;-1.5384381657435
3.952644249022375 2.9424093253554835;-1.550593376893
3.9544750655447363 2.9288466673270537;-1.5612953183646
3.9563080649223896 2.916054026267229;-1.5708698962650
3.958141873174537 2.90390828440473;-1.57954254451
3.959975398718088 2.8923166261882045;-1.5874760262707
3.961807754685927 2.881206951846677;-1.5947918890787
3.963638207681777 2.870521885878114;-1.6015834134493
3.965466142524259 2.860214853915168;-1.607923820100
3.9672910371466745 2.8502474145584618;-1.6138716847186
3.969112444213441 2.840587386515054;-1.6194746319088
3.9709299773285616 2.8312074984068087;-1.624771927701
3.972743300473019 2.822084392843229;-1.6297963439367
3.9745521197712357 2.8131978770747863;-1.634575527715
3.9763561769721805 2.804530349286247;-1.639133026187
3.978155244216797 2.7960663525636815;-1.6434890661211
3.9799491197854002 2.7877922233474535;-1.6476611556
3.981737624605948 2.7796958109429144;-1.6516645552167
3.983520599355557 2.7717662512392733;-1.6555126496535
3.985297902036276 2.7639937823295275;-1.6592172467385
3.9870694059289407 2.756369592894616;-1.6627888177829
3.98883499785218 2.7488856964903414;-1.6662366940089
3.9905945766776156 2.741534826512419;-1.6695692279274
3.992348052045725 2.7343103478169657;-1.672793926999
3.9940953432580266 2.7272061818723277;-1.6759175651185
3.995836378310214 2.720216742985861;-1.6789462762078
3.9975710930487223 2.7133368836617384;-1.6818856332739
3.9992994304264977 2.706561847539339;-1.6847407155582
4.001021339850304 2.6998872286586613;-1.6875161658819
4.002736776597296 2.6933089360425595;-1.6902162398562
4.004445701302747 2.6868231627722245;-1.6928448483115
4.0061480794961675 2.6804263588703776;-1.6954055940391
4.007843881191142 2.6741152074398906;-1.6979018037392
4.009533080514835 2.6678866035869326;-1.7003365559098
4.0112156553746825 2.6617376357415408;-1.7027127052816
4.012891587157841 2.6556655690506843;-1.7050329043007
4.014560860458201 2.649667830569133;-1.7072996220801
4.016223462830158 2.6437419960129245;-1.709515161168
4.017879384564052 2.637885777880615;-1.711681672436
4.01952861848018 2.63209701477328;-1.7138011683191
4.0211711597434165 2.62637366176488;-1.7158755346461
4.02280700569116 2.6207137817027633;-1.717906541217
4.024436155676945 2.615115537330954;-1.7198958512933
4.026058610926397 2.609577184137814;-1.721845030130
4.027674374404667 2.6040970638544776;-1.7237555526706
4.029283450695479 2.598673598528402;-1.7256288104839
4.030885845886613 2.593305285112821;-1.7274661180577
4.032481567468246 2.5879906905187506;-1.7292687184949
4.034070624235113 2.582728447079054;-1.7310377886935
4.035653026198891 2.5775172483878634;-1.7327744440607
4.03722878450429 2.5723558454729374;-1.7344797428118
4.038797911352914 2.567243043272604;-1.7361546898974
4.040360419932221 2.562177697388299;-1.737800240595
4.04191632434886 2.557158711081668;-1.7394173038057
4.043465639567672 2.552185032502123;-1.7410067450683
4.045008381353028 2.547255652114832;-1.7425693893453
4.046544566215232 2.542369600319076;-1.744106023575
4.04807421136148 2.5375259452366157;-1.745617399030
4.049597334647247 2.5327237906539963;-1.7471042334930
4.051113954533782 2.527962274109123;-1.7485672132655
4.052624090045979 2.5232405651071206;-1.7500069950309
4.054127760734747 2.5185578634592516;-1.7514242075761
4.055624986639748 2.5139133977255264;-1.7528194533924
4.057115788257429 2.5093064237671587;-1.7541933101589
4.058600186506707 2.5047362233850485;-1.7555463321238
4.060078202701076 2.500202103048254;-1.7568790513887
4.061549858519314 2.495703392701018;-1.7581919791064
4.063015175979885 2.4912394446433623;-1.7594856065965
4.064474177415242 2.4868096324792517;-1.7607604063879
4.065926885448871 2.482413350127834;-1.7620168331928
4.067373322973359 2.478050010895378;-1.7632553248171
4.068813513129145 2.473719046597;-1.7644763030136
4.0702474792856815 2.4694199067338802;-1.76568017428
4.071675245021996 2.465152057713171;-1.7668673306116
4.073096834109328 2.460914982113957;-1.7680381501979
4.0745122704957994 2.4567081779945505;-1.7691929980897
4.075921578289358 2.452531158234738;-1.770332226817
4.077324781743995 2.4483834499172126;-1.7714561769753
4.078721905245141 2.444264593739049;-1.772565177772
4.080112973298073 2.4401741434572695;-1.7736595475491
4.081498010513535 2.436111665358866;-1.7747395942698
4.08287704159717 2.4320767377634396;-1.775805615980
4.084250091338193 2.428068950547881;-1.7768579012445
4.085617184599539 2.424087904695855;-1.7778967295574
4.086978346305901 2.4201332118698167;-1.7789223717323
4.0883336014366645 2.4162044940032263;-1.7799350902704
4.089682975015685 2.4123013829147673;-1.78093513970
4.091026492103582 2.4084235199387223;-1.7819227669491
4.092364177788683 2.404570555574827;-1.7828982115748
4.093696057180491 2.4007421491535625;-1.7838617061434
4.095022155402326 2.396937968517527;-1.7848134764705
4.096342497584375 2.3931576897169644;-1.7857537418973
4.097657108856943 2.3894009967210335;-1.7866827155439
4.098966014345763 2.3856675811398715;-1.787600604551
4.1002692391642634 2.381957141959041;-1.788507610311
4.101566808409643 2.3782693852897903;-1.7894039286864
4.102858747156603 2.3746040241238093;-1.7902897502138
4.104145080453531 2.3709607781035342;-1.7911652603088
4.105425833317073 2.3673393733023813;-1.792030639450
4.106701030728541 2.363739542009888;-1.7928860633634
4.107970697629009 2.3601610225323295;-1.7937317031886
4.109234858914856 2.3566035589941676;-1.7945677256481
4.110493539436602 2.353066901156597;-1.795394293201
4.1117467639922545 2.349550804235036;-1.7962115641949
4.112994557325771 2.346055028728961;-1.7970196930055
4.114236944123617 2.3425793402580815;-1.797818830176
4.11547394901224 2.339123509403837;-1.79860912254
4.116705596553502 2.335687311557541;-1.799390713385
4.117931911244829 2.3322705267759187;-1.8001637424925
4.11915291751389 2.3288729396389503;-1.8009283463327
4.120368639718407 2.325494339116962;-1.8016846581355
4.1215791021422685 2.3221345184404347;-1.8024328080026
4.122784328994698 2.318793274975663;-1.8031729230089
4.123984344408594 2.3154704101051333;-1.8039051272989
4.125179172435772 2.3121657291111104;-1.80462954218
4.12636883704957 2.3088790410660183;-1.8053462862118
4.127553362139681 2.305610158723576;-1.8060554752908
4.1287327715121815 2.30235889841722;-1.806757222733
4.1299070888878795 2.2991250799592784;-1.807451639356
4.131076337901028 2.2959085265461505;-1.8081388335479
4.132240542097626 2.2927090646648813;-1.8088189113466
4.133399724934737 2.289526524005134;-1.8094919765077
4.134553909778871 2.286360737371653;-1.8101581305720
4.13570311990583 2.2832115406013327;-1.810817472931
4.136847378498253 2.2800787724840617;-1.8114701008891
4.137986708647242 2.27696227468515;-1.8121161097233
4.139121133347794 2.2738618916677207;-1.812755592742
4.140250675501898 2.270777470623406;-1.8133886413434
4.141375357915585 2.267708861400965;-1.8140153450623
4.142495203298669 2.264655916438831;-1.8146357916297
4.143610234264369 2.261618490700183;-1.8152500670189
4.14472047332889 2.258596441607796;-1.8158582554951
