Point;Valeur
4.56091410324815 -5.018726808163317;-1.7645166518431
4.560805609307496 -5.017753136357957;-1.7646125491674
4.560697270161064 -5.016781333057437;-1.764708079993
4.560589085639901 -5.015811393836807;-1.7648032458838
4.560481055575695 -5.014843314288171;-1.7648980483937
4.5603731797990505 -5.013877090020998;-1.764992489069
4.56026545814179 -5.012912716661029;-1.76508656945
4.560157890434404 -5.011950189850996;-1.7651802910660
4.560050476507984 -5.010989505250636;-1.7652736554390
4.559943216193487 -5.010030658535943;-1.7653666640837
4.559836109321626 -5.009073645399538;-1.765459318506
4.55972915572316 -5.008118461550344;-1.765551620206
4.559622355228689 -5.007165102713136;-1.765643570673
4.559515707668906 -5.0062135646294985;-1.76573517139
4.5594092128740344 -5.005263843057047;-1.765826423835
4.559302870674633 -5.004315933768895;-1.7659173294737
4.559196680900836 -5.0033698325545455;-1.7660078897652
4.559090643383336 -5.002425535218554;-1.7660981061630
4.558984757951891 -5.001483037581929;-1.7661879801121
4.558879024437059 -5.0005423354805805;-1.7662775130502
4.558773442669019 -4.999603424766515;-1.7663667064075
4.558668012477287 -4.998666301306772;-1.7664555616067
4.558562733692197 -4.997730960983667;-1.7665440800634
4.558457606143864 -4.996797399694526;-1.7666322631861
4.558352629661979 -4.995865613352309;-1.7667201123758
4.558247804076167 -4.994935597884449;-1.766807629026
4.558143129216498 -4.994007349233638;-1.7668948145250
4.558038604912797 -4.993080863357154;-1.766981670251
4.557934230994622 -4.992156136227506;-1.7670681975779
4.557830007291554 -4.991233163831217;-1.767154397871
4.557725933633152 -4.990311942169597;-1.7672402724894
4.557622009849151 -4.989392467258765;-1.7673258227853
4.5575182357688 -4.9884747351286745;-1.7674110501038
4.557414611222123 -4.9875587418239125;-1.7674959557835
4.557311136038146 -4.9866444834030315;-1.7675805411561
4.557207810046406 -4.985731955939328;-1.7676648075468
4.557104633076416 -4.984821155519288;-1.7677487562739
4.557001604957335 -4.983912078243853;-1.7678323886493
4.556898725518612 -4.983004720227931;-1.7679157059782
4.556795994589626 -4.982099077600173;-1.7679987095595
4.556693411999581 -4.981195146502578;-1.7680814006855
4.556590977577503 -4.980292923091441;-1.7681637806420
4.556488691152773 -4.979392403536094;-1.7682458507084
4.556386552554905 -4.978493584018924;-1.7683276121581
4.556284561613035 -4.977596460736862;-1.768409066257
4.556182718156078 -4.976701029899451;-1.7684902142680
4.556081022013371 -4.975807287729513;-1.7685710574432
4.555979473014117 -4.974915230463258;-1.7686515970315
4.555878070987586 -4.974024854349664;-1.7687318342750
4.555776815762671 -4.973136155651077;-1.7688117704096
4.555675707168396 -4.972249130642477;-1.768891406665
4.555574745034121 -4.971363775612144;-1.7689707442655
4.555473929188849 -4.970480086860525;-1.769049784428
4.555373259461961 -4.969598060701193;-1.7691285283663
4.5552727356823715 -4.968717693460086;-1.7692069772846
4.555172357679218 -4.967838981476332;-1.769285132383
4.555072125281436 -4.966961921100961;-1.769362994857
4.554972038318341 -4.966086508697394;-1.7694405658954
4.554872096618869 -4.965212740641863;-1.7695178466794
4.554772300012357 -4.964340613322656;-1.7695948383866
4.554672648327742 -4.9634701231403415;-1.7696715421885
4.554573141394049 -4.9626012665072565;-1.7697479592507
4.554473779040726 -4.961734039848483;-1.7698240907332
4.554374561096621 -4.960868439600759;-1.7698999377905
4.55427548739087 -4.960004462212726;-1.7699755015715
4.554176557752833 -4.9591421041448385;-1.770050783219
4.554077772011402 -4.958281361869717;-1.7701257838730
4.553979129996179 -4.957422231871174;-1.7702005046639
4.553880631536035 -4.9565647106454795;-1.7702749467193
4.55378227646044 -4.955708794699716;-1.7703491111611
4.55368406459822 -4.954854480553157;-1.7704229991056
4.553585995779043 -4.954001764736134;-1.7704966116637
4.553488069832092 -4.953150643790301;-1.770569949941
4.553390286586769 -4.952301114269371;-1.7706430150389
4.553292645872055 -4.951453172737826;-1.7707158080517
4.5531951475175765 -4.950606815771515;-1.7707883300699
4.553097791352602 -4.949762039957369;-1.7708605821784
4.553000577206536 -4.948918841893375;-1.7709325654571
4.5529035049089135 -4.94807721818898;-1.7710042809807
4.552806574289183 -4.947237165464087;-1.7710757298189
4.55270978517668 -4.946398680349902;-1.7711469130364
4.552613137401075 -4.945561759488489;-1.7712178316928
4.5525166307919935 -4.944726399532636;-1.7712884868429
4.5524202651787045 -4.9438925971457675;-1.771358879536
4.552324040391078 -4.943060349002211;-1.7714290108180
4.552227956258672 -4.942229651787107;-1.7714988817279
4.552132012611378 -4.941400502195632;-1.7715684933012
4.552036209278844 -4.9405728969338885;-1.7716378465681
4.55194054609074 -4.939746832718635;-1.771706942554
4.551845022876934 -4.938922306276712;-1.7717757822802
4.55174963946743 -4.938099314345042;-1.7718443667621
4.551654395691919 -4.9372778536716915;-1.7719126970114
4.551559291380493 -4.936457921014011;-1.7719807740345
4.551464326363066 -4.9356395131403845;-1.772048598833
4.551369500469528 -4.934822626829057;-1.772116172405
4.551274813530172 -4.934007258867997;-1.7721834957442
4.551180265374912 -4.933193406055965;-1.772250569836
4.551085855834327 -4.932381065201093;-1.7723173956670
4.550991584738108 -4.931570233121614;-1.7723839742144
4.550897451917237 -4.930760906645555;-1.7724503064535
4.550803457201404 -4.929953082611001;-1.772516393354
4.5507096004210785 -4.929146757865717;-1.7725822358830
4.550615881407151 -4.928341929267084;-1.7726478350004
4.550522299989803 -4.927538593682453;-1.7727131916638
4.550428855999502 -4.926736747988299;-1.7727783068257
4.550335549266828 -4.925936389071291;-1.7728431814344
4.550242379622762 -4.9251375138274005;-1.7729078164337
4.550149346897971 -4.924340119161615;-1.7729722127635
4.550056450923192 -4.92354420198869;-1.7730363713591
4.549963691528959 -4.92274975923331;-1.773100293151
4.549871068546609 -4.92195678782857;-1.7731639790682
4.549778581806964 -4.921165284717584;-1.7732274300314
4.5496862311406945 -4.920375246852611;-1.773290646960
4.5495940163794675 -4.919586671194261;-1.7733536307683
4.549501937354263 -4.9187995547132894;-1.7734163823668
4.549409993896349 -4.91801389438918;-1.7734789026618
4.549318185836772 -4.917229687210652;-1.7735411925554
4.549226513006823 -4.9164469301751295;-1.7736032529458
4.549134975238458 -4.915665620289185;-1.7736650847271
4.549043572362789 -4.9148857545682505;-1.7737266887894
4.548952304211597 -4.914107330036506;-1.77378806601
4.548861170616327 -4.913330343727458;-1.7738492172979
4.548770171408869 -4.912554792682784;-1.7739101435045
4.548679306421001 -4.911780673953066;-1.7739708455132
4.54858857548466 -4.9110079845981;-1.774031324194
4.548497978431489 -4.9102367216859415;-1.7740915804144
4.5484075150938015 -4.909466882292975;-1.7741516150365
4.548317185303576 -4.908698463504575;-1.7742114289192
4.548226988892947 -4.9079314624146235;-1.774271022917
4.5481369256942035 -4.907165876125104;-1.774330397883
4.548046995539636 -4.906401701746906;-1.7743895546645
4.5479571982618445 -4.905638936398978;-1.774448494103
4.547867533693186 -4.904877577209128;-1.7745072170420
4.547778001666216 -4.904117621312827;-1.7745657243154
4.547688602013602 -4.903359065854092;-1.7746240167567
4.547599334568188 -4.9026019079856;-1.7746820951951
4.54751019916282 -4.901846144867601;-1.7747399604560
4.547421195629899 -4.9010917736690045;-1.7747976133613
4.547332323802868 -4.900338791566468;-1.7748550547291
4.547243583514772 -4.899587195744755;-1.7749122853742
4.547154974598612 -4.89883698339731;-1.77496930610
4.547066496887832 -4.898088151724707;-1.7750261177369
4.54697815021581 -4.897340697935733;-1.7750827210662
4.546889934415567 -4.896594619247526;-1.7751391168959
4.546801849321082 -4.895849912884594;-1.7751953060232
4.546713894765754 -4.89510657607964;-1.7752512892417
4.546626070583117 -4.8943646060732275;-1.7753070673414
4.546538376607258 -4.893624000113535;-1.7753626411091
4.5464508126718 -4.892884755456224;-1.7754180113282
4.546363378610964 -4.892146869365062;-1.7754731787786
4.546276074258461 -4.891410339111475;-1.7755281442368
