Point;Valeur
4.785998684880299 8.692873672814706;-1.5422099205892
4.764213617623754 8.591690733569882;-1.5631489487648
4.736258293968039 8.446010700008815;-1.5884278244643
4.706063915896935 8.287665614433118;-1.6105479657742
4.676329477311986 8.13539280079292;-1.6272493940945
4.648808176613634 7.998968497361024;-1.638711383865
4.624520086086408 7.882644625461426;-1.6459651630563
4.603930093698233 7.787413474782909;-1.650186143990
4.58710169110218 7.712386412205242;-1.6524083260187
4.573827345508301 7.655620784629721;-1.6534293558279
4.563734578008859 7.6146311042245864;-1.6538043927226
4.556368016998247 7.586724857551203;-1.6538818050803
4.551249287267091 7.569235654191158;-1.6538551334214
4.5479177726164535 7.559686064239585;-1.653815351567
4.545955845887356 7.555893256506062;-1.6537940825227
4.545002177074824 7.556024865243806;-1.6537941387450
4.544756392169462 7.55861320048312;-1.6538080176545
4.544977841530355 7.562537861056859;-1.6538272314216
4.5454806772319065 7.566987539246618;-1.6538458187855
4.546126911042816 7.571410886865124;-1.6538608025747
4.546818663932923 7.57546429902112;-1.6538714294161
4.54749043750411 7.578962103632419;-1.6538781937244
4.548101935939803 7.5818324579640715;-1.6538820692047
4.548631737362452 7.584080513237213;-1.6538840435725
4.549071946134423 7.58575917292115;-1.653884906111
4.549423841732321 7.586946985483547;-1.6538851978466
4.549694464911259 7.587732279719694;-1.6538852441047
4.549894038557073 7.588202469915225;-1.6538852149980
4.550034099842866 7.588437441650889;-1.6538851840478
4.550126215955653 7.58850601199329;-1.6538851728670
PointOptimal;ValeurOptimale
[4.55012622 7.58850601];-1.6538851728670798
Temps;Nb iteration
0.0024840831756591797;29
