Point;Valeur
5.214214578383896 4.488862090446206;-1.7419002581375
4.9068053054022975 4.492680439750223;-1.7745670124536
4.62208883035027 4.49550037223606;-1.7889753433256
4.463709450486489 4.4941090016880025;-1.7905283862196
4.419943798207249 4.490996885633846;-1.7901099122119
4.435402063784245 4.488869708001663;-1.7903015035770
4.464810836546784 4.488531291814579;-1.7905351099361
4.486540346282111 4.489362686782597;-1.7905995824461
4.496263823575409 4.490429799162807;-1.7905990119493
4.497527273023036 4.49114920132588;-1.7905976258024
4.495194606662698 4.491396593577591;-1.7906000220166
4.4925509768025655 4.491322624376625;-1.7906014841531
4.4909169044408905 4.491135879999718;-1.7906017213092
4.4903406824585 4.490977973531965;-1.790601682052
4.490390488141688 4.490898587484192;-1.790601687412
PointOptimal;ValeurOptimale
[4.49039049 4.49089859];-1.790601687412113
Temps;Nb iteration
0.0013148784637451172;14
