Point;Valeur
5.3786447718543435 7.945209269391828;-1.5837187836593
5.063849922678856 7.630456997198654;-1.6312209949866
4.84036080057079 7.581639827192957;-1.6466829697909
4.705862275307206 7.595915061849386;-1.6517978806783
4.631535672537255 7.5871474137710395;-1.653312384703
4.592057457068344 7.589259360635944;-1.6537326623232
4.571578385951893 7.587544779155547;-1.6538452602983
4.561044793606231 7.587840855499053;-1.6538748851060
4.555663333757787 7.587496342050882;-1.6538825928095
4.552917427482344 7.587529731074354;-1.653884585339
4.55151968145955 7.587458440004774;-1.6538850952978
4.550807999817001 7.5874594464672365;-1.6538852245009
4.5504460337225465 7.587444201426297;-1.653885256256
4.55026184961889 7.587443104308045;-1.6538852637103
4.550168186071661 7.587439732356668;-1.6538852652105
PointOptimal;ValeurOptimale
[4.55016819 7.58743973];-1.6538852652105032
Temps;Nb iteration
0.0016090869903564453;14
