Point;Valeur
5.697689821750899 -6.000505220555061;-1.403936923041
5.687394759273488 -6.009283863922848;-1.401811951514
5.676820389128772 -6.016833206558493;-1.4002316477834
5.665981915312383 -6.023148022824972;-1.3992398399768
5.654893978123207 -6.028226347918194;-1.398875466503
5.64357064692979 -6.0320699780872715;-1.399170535852
5.632025418636461 -6.034684895351833;-1.4001482713696
5.620271221774638 -6.036081584953091;-1.4018216240751
5.608320425983987 -6.036275219378369;-1.4041923130150
5.596184856468939 -6.0352856920820495;-1.4072505005805
5.583875812838671 -6.0331374958661685;-1.4109751376865
5.5714040915859595 -6.029859453557951;-1.41533493446
5.558780011353288 -6.025484320201837;-1.4202898419761
5.546013440085033 -6.020048284804065;-1.4257928823045
5.5331138231770245 -6.013590404694896;-1.4317921453767
5.520090211802766 -6.0061520065777785;-1.4382327797141
5.5069512907073035 -5.997776085813204;-1.4450588351400
5.49370540489688 -5.988506730423469;-1.452214857939
5.480360584799818 -5.978388589870284;-1.459647183793
5.466924569616675 -5.967466401924649;-1.4673049134694
5.453404828704763 -5.955784584742407;-1.4751405866280
5.4398085809473855 -5.94338689608228;-1.4831105888797
5.426142812141285 -5.930316157668362;-1.4911753374398
5.41241429049486 -5.91661403999696;-1.4992992933128
5.398629580368755 -5.9023209012689115;-1.5074508453650
5.384795054413447 -5.887475673377375;-1.515602106044
5.3709169042673155 -5.872115787771379;-1.5237286515947
5.357001149978786 -5.856277134339371;-1.5318092325619
5.343053648309545 -5.839994047044917;-1.539825473922
5.329080100064414 -5.823299310769485;-1.5477615786184
5.3150860565807605 -5.806224184580928;-1.5556040437794
5.301076925495683 -5.78879843739279;-1.563341395420
5.287057975895794 -5.771050392670157;-1.5709639447691
5.273034342940445 -5.753006979454594;-1.5784635675046
5.2590110320367005 -5.734693787517062;-1.5858335058758
5.2449929226332825 -5.7161351249035475;-1.5930681928226
5.230984771690971 -5.697354076519719;-1.6001630966931
5.216991216877564 -5.678372562715498;-1.6071145848752
5.203016779527925 -5.659211397086765;-1.6139198045418
5.189065867403967 -5.639890342917272;-1.6205765787096
5.175142777282314 -5.620428167849523;-1.6270833158809
5.1612516973942295 -5.600842696502019;-1.6334389316503
5.147396709737053 -5.581150860853225;-1.6396427807948
5.1335817922738505 -5.561368748290024;-1.6456945985090
5.119810821034967 -5.541511647279494;-1.6515944495918
5.106087572132589 -5.521594090667168;-1.657342684527
5.092415723697662 -5.501629896638925;-1.6629399015329
5.078798857746918 -5.481632207408017;-1.6683869137579
5.0652404619865115 -5.461613525704759;-1.673684720935
5.0517439315572545 -5.441585749158835;-1.6788344848623
5.038312570725878 -5.421560202670339;-1.6838375081896
5.024949594525993 -5.401547668869496;-1.6886952160518
5.011658130351808 -5.381558416766421;-1.6934091401513
4.99844121950684 -5.36160222869091;-1.6979809049506
4.98530181871009 -5.341688425620858;-1.7024122156822
4.972242801561039 -5.32182589099453;-1.7067048479227
4.959266959965363 -5.302023093097972;-1.7108606385164
4.946377005522433 -5.282288106115384;-1.7148814776589
4.933575570875796 -5.262628629925047;-1.7187693019839
4.920865211027587 -5.243052008719821;-1.7225260885128
4.9082484046178765 -5.223565248526048;-1.726153849349
4.895727555169802 -5.204175033690428;-1.729654627019
4.88330499230111 -5.184887742400387;-1.7330304903602
4.870982972902723 -5.165709461299135;-1.7362835308993
4.858763682285603 -5.146645999252522;-1.7394158596370
4.846649235295748 -5.127702900321281;-1.7424296041938
4.834641677398511 -5.1088854559885375;-1.7453269062652
4.822742985732908 -5.0901987166888345;-1.7481099193439
4.810955070136297 -5.071647502682548;-1.7507808066741
4.799279774140113 -5.0532364143156006;-1.753341739404
4.787718875937537 -5.03496984170237;-1.7557948949161
4.776274089323474 -5.0168519738667365;-1.7581424552964
4.764947064607737 -4.998886807373969;-1.7603866059457
4.753739389501878 -4.981078154483882;-1.762529534291
4.742652589980551 -4.9634296508535005;-1.7645734286021
4.731688131118176 -4.945944762815468;-1.7665204768767
4.720847417901201 -4.928626794257083;-1.7683728658138
4.710131796017221 -4.911478893122717;-1.7701327798338
4.699542552621255 -4.894504057561051;-1.7718024001563
4.689080917080219 -4.877705141736813;-1.7733839039205
4.678748061696193 -4.8610848613261215;-1.7748794633423
4.668545102409446 -4.844645798712279;-1.7762912449037
4.65847309948158 -4.8283904078987785;-1.7776214085668
4.648533058160304 -4.81232101915418;-1.7788721070102
4.6387259293259016 -4.796439843403493;-1.7800454848829
4.629052610120663 -4.780748976379242;-1.781143678071
4.619513944561888 -4.765250402544725;-1.7821688129796
4.6101107241396555 -4.749945998801082;-1.7831230058135
4.600843688399635 -4.734837537989356;-1.7840083618764
4.591713525512304 -4.7199266921976655;-1.7848269748647
4.58272087282918 -4.705215035883503;-1.7855809261671
4.573866317426898 -4.690704048820187;-1.7862722841651
4.565150396640238 -4.6763951188761235;-1.7869031035315
4.55657359858465 -4.662289544635224;-1.7874754245286
4.54813636266942 -4.6483885378661425;-1.7879912723034
4.539839080102309 -4.634693225847583;-1.7884526561793
4.53168209438627 -4.621204653557019;-1.788861568944
4.523665701809574 -4.607923785729153;-1.789219986135
4.515790151929758 -4.594851508790714;-1.7895298653160
4.508055648052489 -4.581988632677622;-1.7897931453538
4.500462347706348 -4.569335892540108;-1.790011745688
4.4930103631140215 -4.556893950341863;-1.7901875655972
4.4856997616608885 -4.5446633963582315;-1.7903224834580
4.47853056636204 -4.532644750578732;-1.7904183560051
4.471502756328183 -4.520838464019047;-1.790477017583
4.464616267231595 -4.509244919947172;-1.7905002794013
4.457870991772617 -4.4978644350287;-1.790489928776
4.451266780147485 -4.486697260395522;-1.7904477283879
4.444803440518516 -4.475743582642759;-1.7903754155196
4.4384807394869705 -4.4650035247582105;-1.7902747013116
4.432298402569623 -4.454477146988483;-1.7901472700094
4.426256114679591 -4.4441644476461315;-1.7899947782175
4.420353520611973 -4.434065363861998;-1.7898188541573
4.41459022553508 -4.424179772286775;-1.7896210969319
4.408965795487644 -4.414507489745933;-1.7894030757977
4.403479757882907 -4.405048273851522;-1.78916632944
4.398131602019544 -4.395801823575458;-1.7889123652934
4.392920779600606 -4.386767779787494;-1.7886426587911
4.387846705260301 -4.377945725762138;-1.7883586527411
4.382908757099436 -4.369335187657885;-1.7880617566350
4.3781062772296595 -4.360935634972869;-1.7877533460099
4.373438572327027 -4.35274648098027;-1.787434761824
4.368904914194963 -4.344767083147116;-1.7871073098604
4.364504540337052 -4.336996743540207;-1.7867722601460
4.360236654539785 -4.3294347092224905;-1.7864308464102
4.356100427465601 -4.322080172643106;-1.7860842655647
4.352094997255932 -4.314932272025012;-1.7857336772185
4.34821947014466 -4.307990091752783;-1.7853802032263
4.344472921082237 -4.301252662764126;-1.785024927272
4.34085439436982 -4.29471896294827;-1.7846688944969
4.337362904303863 -4.28838791755394;-1.7843131111535
4.333997435831146 -4.2822583996100025;-1.7839585443204
4.330756945213627 -4.276329230361503;-1.7836061216475
4.32764036070353 -4.270599179723679;-1.7832567311533
4.32464658322786 -4.265066966756584;-1.782911221067
4.321774487082775 -4.259731260162592;-1.7825703997255
4.3190229206368445 -4.254590678809068;-1.7822350355086
4.316390707043478 -4.2496437922783326;-1.7819058568418
4.3138766449616615 -4.244889121446713;-1.7815835522402
4.3114795092849185 -4.240325139094675;-1.7812687704108
4.309198051878177 -4.23595027054934;-1.7809621204
4.307031002321528 -4.231762894361081;-1.780664171845
4.304977068661286 -4.2277613430151;-1.7803754551601
4.303034938166979 -4.223943903679357;-1.7800964619335
4.301203278094367 -4.2203088189895155;-1.7798276452691
4.299480736453523 -4.216854287871602;-1.7795694202214
4.297865942781672 -4.2135784664027565;-1.779322164281
4.296357508920197 -4.210479468710688;-1.7790862179129
4.29495402979508 -4.2075553679114;-1.7788618851449
4.293654084200159 -4.2048041970855135;-1.7786494342097
4.292456235582822 -4.202223950292616;-1.7784490982346
4.291359032831239 -4.199812583623228;-1.7782610759793
4.290361011062532 -4.197568016287868;-1.7780855326193
4.289460692411507 -4.1954881317421115;-1.7779226005737
4.288656586818905 -4.19357077884672;-1.7777723803735
4.287947192818845 -4.191813773061753;-1.7776349415701
4.287330998324661 -4.190214897673215;-1.7775103236794
4.286806481412539 -4.188771905050776;-1.7773985371603
4.286372111102304 -4.187482517935054;-1.777299564423
4.28602634813471 -4.186344430752413;-1.7772133608707
4.2857676457446425 -4.185355310955818;-1.7771398559542
4.2855944504295875 -4.1845128003894985;-1.7770789542641
4.285505202712901 -4.183814516675315;-1.7770305366312
