Point;Valeur
5.869704478587499 1.4492472107813015;-1.6574655086408
1.106412923313047 6.205962154275414;-1.3793382787452
1.8014165589503401 1.442707333844461;-2.039470845901
0.6830154592008428 1.4042051754251348;-1.99878135638
2.929439718065938 1.338780697643969;-1.6965966696153
-1.2701125790792145 1.389124427729217;-2.0616283269093
-1.3717736205152753 1.3580040923979917;-2.0625482290249
-1.3448761979121304 1.3530377982959918;-2.06260764428
-1.3511145588480509 1.3501027184525152;-2.0626114935274
-1.3489862228906615 1.349634671466184;-2.062611842419
-1.349651802051376 1.3493944081446287;-2.062611863723
-1.3493756839434512 1.3493785664039997;-2.062611870633
-1.349490183835879 1.3493585469906875;-2.06261186966
-1.3494346603642406 1.3493621385912613;-2.0626118704779
PointOptimal;ValeurOptimale
[-1.34943466  1.34936214];-2.0626118704779244
Temps;Nb iteration
0.0011327266693115234;13
