Point;Valeur
7.236571963866272 -6.890813368496572;-1.484571525437
7.5513427306445475 -7.205610132758432;-1.537392312043
7.629058236179232 -7.391006962755422;-1.5494069126949
7.629178462619839 -7.493209889055261;-1.5528160077027
7.630659121378871 -7.55099564558299;-1.5539047549201
7.631438649384899 -7.584421780798543;-1.5542697618860
7.631890988627759 -7.604020387821616;-1.5543954486527
7.63215592523136 -7.615603257050767;-1.5544393782395
7.632312446239842 -7.622480903105492;-1.5544548593763
7.632405364549104 -7.626576026628801;-1.5544603379345
7.632460683924957 -7.629018385468673;-1.5544622794317
7.632493674214417 -7.630476454647273;-1.5544629667864
7.632513368268382 -7.631347420406356;-1.5544632092429
7.632525132297122 -7.631867866548754;-1.554463294128
7.6325321616259725 -7.632178924581332;-1.5544633234394
7.632536362880894 -7.6323648595670255;-1.5544633333075
7.632538874127927 -7.632476010553882;-1.5544633364722
7.63254037546487 -7.632542458979366;-1.5544633373869
PointOptimal;ValeurOptimale
[ 7.63254038 -7.63254246];-1.5544633373869585
Temps;Nb iteration
0.001833200454711914;17
