Point;Valeur
7.9769238958522735 8.033575138286942;-1.532523076799
5.766927783118554 5.823577971929272;-1.4577545774139
3.5934782414369857 3.6526841157028542;-1.603495597917
5.156581496553407 4.976811403100335;-1.7294386243477
4.535558828997354 4.534521947634369;-1.7902390824125
4.493201534283881 4.492326941745573;-1.7906011002522
4.491023719765623 4.490999234710913;-1.7906017237528
4.4909506931159715 4.490949775959228;-1.7906017233579
PointOptimal;ValeurOptimale
[4.49095069 4.49094978];-1.7906017233579894
Temps;Nb iteration
0.0006165504455566406;7
