Point;Valeur
8.733891431520128 -2.7418042226299155;-1.4316821587819
8.657933522122883 -2.665846313232671;-1.47206337109
8.548148853323577 -2.556123673866996;-1.5219996112455
8.410707711243134 -2.41902166744559;-1.573593960897
8.248538077979806 -2.2577836497977155;-1.622098995231
8.063507092547495 -2.074638954454829;-1.663876953954
7.857343282930966 -1.8716194462953486;-1.6954697488805
7.6326313401244565 -1.6512131378002541;-1.713077379408
7.394745370767368 -1.417233397273932;-1.712359159271
7.156006496534331 -1.1761886502247938;-1.6890825957172
6.941835154591913 -0.9392278547743362;-1.6423960479630
6.7867388540029525 -0.7236827278569675;-1.5814006089474
6.706066132679589 -0.5509751447740407;-1.5245456018876
6.687495661452844 -0.43765644056555875;-1.4876427812628
6.714134949865139 -0.38564704580726883;-1.4777554247910
6.774727590109088 -0.3849698538813385;-1.4927850400329
6.862549872113332 -0.42411203204012415;-1.5246557440020
6.973286538409374 -0.49480310080821055;-1.5643995698964
7.10375496103894 -0.5917444051517688;-1.6049972925333
7.251179025556591 -0.7114338471247006;-1.6416804015633
7.4126960350963484 -0.8513305028432872;-1.6713040050308
7.584932930989232 -1.0093389541854716;-1.691751980015
7.763588515690782 -1.1834518599547166;-1.7016117750746
7.943050202897388 -1.3714402571534228;-1.7000979628311
8.116202279440811 -1.570519447234293;-1.6871529391648
8.2747272961893 -1.7769357908817645;-1.6636214197763
8.410187770593062 -1.9854360255959582;-1.6313426033308
8.515733420223523 -2.1886357627818804;-1.5930271862925
8.587564425027642 -2.3764943133829637;-1.5520403120836
8.62518692682685 -2.5365865643686063;-1.5125521444431
8.630432992699266 -2.656471362826402;-1.4801824579855
8.606097653548751 -2.7285125408676967;-1.4616583087244
8.55495718543211 -2.753328134577323;-1.4616533021311
8.47935792790072 -2.7373172804810104;-1.479571479322
8.381190357352182 -2.6876311984929244;-1.5105450219958
8.262015692891138 -2.6097809567609613;-1.5486617930139
8.123229403382508 -2.507588180700681;-1.5888633696210
7.966254347535228 -2.383728124615301;-1.6271946808421
7.79281724063617 -2.24020378217665;-1.6604072397603
7.605421089673843 -2.07868888826971;-1.6855249321688
7.408228118680646 -1.9008004402950684;-1.6995792450942
7.208695135968284 -1.7083640901670771;-1.6996909866319
7.020062126409014 -1.5037293760601897;-1.6839751098470
6.862520586630238 -1.2901936207905038;-1.6539344774918
6.756181591906612 -1.072611478938433;-1.616603142821
6.707035505801647 -0.858319936999992;-1.5804416240164
6.7067647154999035 -0.6584552461437152;-1.5482435606794
6.744405975650844 -0.4888828402570393;-1.5187347391160
