Point;Valeur
9.160923648950082 -3.308458832345438;-1.1802246483839
8.04228493085131 -4.903362274174778;-1.626156080070
7.338389458078091 -3.415945102005324;-1.4732728246423
7.369589350157792 -1.8977479630863807;-1.69852631399
7.4646674924889425 -1.1569813727615939;-1.7033870686244
7.542915037522715 -1.1680325759784598;-1.7047886650469
7.580303029572598 -1.3271590093787053;-1.7124248333820
7.583725809957329 -1.4774653472622146;-1.7153038868962
7.571027653108381 -1.55911120101239;-1.7152259905710
7.557015029744656 -1.5745326661181516;-1.7150977366142
7.548637908047043 -1.553232671498479;-1.7153098374759
7.546341361008169 -1.5243736843165405;-1.7154643877941
7.547605664159795 -1.5044968235855773;-1.7154866124547
7.549797337198706 -1.497256055856817;-1.7154778260882
7.551407390659949 -1.4988539605519544;-1.7154810466836
7.552063866935776 -1.5037620319431635;-1.7154873450702
7.552033335593327 -1.5080551875344619;-1.7154893610417
7.551730480714338 -1.5102221454894216;-1.7154891488896
7.5514479879345755 -1.5104933934007485;-1.715489067953
7.551298228964219 -1.5097890469691975;-1.7154892705280
7.551269112139753 -1.508945844128541;-1.7154893976166
7.551302468125391 -1.508402624318778;-1.715489413454
7.551346858581165 -1.5082290467632966;-1.7154894078976
7.55137633191431 -1.5082975656442381;-1.7154894113851
PointOptimal;ValeurOptimale
[ 7.55137633 -1.50829757];-1.7154894113851613
Temps;Nb iteration
0.0019459724426269531;23
