Point;Valeur
-0.3925506688231817 1.0877343887211604;-0.47118888176700
0.12744933117684698 0.5677343887211318;-0.8138029469144
0.2483072594078074 -0.08689129436347498;-5.726201191787332e
0.37099901617085945 -0.6133106842256586;-0.14186715561759
0.040589772179156325 -0.7080442711873993;-0.1730644316668
-0.2698154376353355 -0.4885230809130646;-0.888610198809
-0.2870704405686797 -0.18126315469041315;-0.19642758412094
-0.7111089976233204 -0.09787405020987941;-0.13786291470521
-0.6565962796023316 0.0011191918951589663;-0.43998696084946
-0.2789433168564888 0.07971525616414664;-0.02798860345475
-0.09803482259251267 0.1752040420130493;-0.12693230143106
0.15829328602580606 0.0499316952867907;-0.2936478752092
0.06941649735784712 -0.14006831351988375;-0.34767479964216
-0.12507861241809198 -0.02390579666933812;-0.5192308988388
-0.006585673602717251 0.12301692433621864;-0.5441093821416
0.10186758587237657 -0.027329292267898264;-0.6484186019480
-0.036514008562984535 -0.0843260027349859;-0.7240635657921
-0.06331055546306175 0.06588623506413781;-0.7268440489582
0.054376335505185586 0.03629346884980637;-0.8529558106008
0.01743934033774685 -0.0746198908182113;-0.801904663819
-0.05145863633153961 0.004925640587870636;-0.9062390464973
0.017185651390780286 0.0567018016558841;-0.878088229530
0.031940438379006036 -0.03137285601981358;-0.9290933833235
-0.03264216505318983 -0.028364000051916534;-0.9337396923652
-0.006632041372801333 0.03950844505203641;-0.9429493908587
0.029834808983462326 0.0023060836291248915;-0.9678926035221
-0.012963029476142664 -0.03295162848950504;-0.955237060663
-0.016485323822620673 0.014422496714420405;-0.9827094655489
0.02036039662334795 0.0185666919884421;-0.9727298552900
0.0010149422382957907 -0.021009821264305308;-0.9840476037298
-0.017022682339489052 -0.004085816680431675;-0.988931983864
0.009415393442166606 0.01881034143414788;-0.9840463169938
0.007877113742365424 -0.0063725899156692745;-0.9962832635834
-0.012484363255789735 -0.011833511111677023;-0.9893124991993
0.0010748246962957349 0.010995776931359318;-0.9955818070227
0.009213341549245323 0.0036710380297799187;-0.9964386361308
-0.006586010076155786 -0.010805478659194054;-0.9942064473480
-0.003512240378854822 0.002469917248428058;-0.999331833168
0.007295492008786059 0.007249508743956474;-0.9961704228056
-0.001728521641236441 -0.005803029670215168;-0.9986715611657
-0.004904123172835633 -0.0029236664507572415;-0.998818782069
0.004248928080533567 0.006032801549103785;-0.9980275641605
0.0012219380148137215 -0.0008748148999862242;-0.9999181340308
-0.004265547202390698 -0.00449067384198857;-0.9986100610681
0.0014958045813548756 0.002892310560373229;-0.9996156947572
0.00238026205837147 0.0019860549323873775;-0.999651675996
-0.0027681369430260184 -0.003453269453507291;-0.9992901168217
-0.00033881716445666697 7.321696024580916e-05;-0.9999956442863
0.0023008466088674695 0.002609185291254698;-0.9995613764068
-0.0012517552653282839 -0.0015186018330298075;-0.9998596088155
-0.0011976270597338949 -0.0014200202964948117;-0.9998749149041
PointOptimal;ValeurOptimale
[-0.00119763 -0.00142002];-0.9998749149041407
Temps;Nb iteration
0.004251241683959961;50
