Point;Valeur
-0.48107919497009455 2.5816040023356566;-0.36624712402300
-0.48615849804452693 2.568791074344265;-0.3690001517354
-0.48909394414530394 2.559334881978842;-0.368703818536
-0.49142045701659265 2.5558735527669767;-0.3681422785964
-0.49361956996245104 2.5574973452097005;-0.3685489229341
-0.4955690736328492 2.561426854203963;-0.3690531758869
-0.49699950079726435 2.5649279716351923;-0.3691037306274
-0.4977846120604626 2.5665125489066067;-0.3690042354469
-0.4980171172464927 2.5661357719876627;-0.36902920001166
-0.49792987410319994 2.564669591030778;-0.36910638407158
-0.49776674263055126 2.5631637193680956;-0.3691269119762
-0.4976859308079036 2.5623027572100185;-0.3691114883556
-0.4977311230510386 2.5622295942496693;-0.3691095787242
PointOptimal;ValeurOptimale
[-0.49773112  2.56222959];-0.3691095787242973
Temps;Nb iteration
0.0009768009185791016;12
