Point;Valeur
-0.5606884156803895 -3.85241693875157;-0.008563224938460
-0.5677916260316275 -3.8563468160960586;-0.006275376981128
-0.5726742799890192 -3.855635026945362;-0.006271010257235
-0.5757741250651609 -3.8508346123481334;-0.008247654868401
-0.5773462381711207 -3.8418374239943125;-0.013033474048948
-0.5775020875786846 -3.828009610772113;-0.022638764110741
-0.5762485701683999 -3.8083535358204843;-0.04046540077337
-0.5735561080045425 -3.781881887848455;-0.07069452633216
-0.5694960949176527 -3.7484628472982156;-0.11486490730243
-0.5644422458873783 -3.7100942304188536;-0.16552181828300
-0.5591551439487384 -3.67141656144508;-0.20626908627579
-0.5545107025707102 -3.6378992203782636;-0.2262513159609
-0.551090533936449 -3.6131362550749326;-0.2295614881151
-0.5490570976464593 -3.5980199658436107;-0.2265265303765
-0.5482709554131837 -3.591503168839104;-0.22405445289356
-0.5484371753803157 -3.5915516205183278;-0.22408574632048
-0.5492096156825195 -3.595820472493579;-0.22579226772161
-0.5502611865621729 -3.602108662717555;-0.22774938876405
-0.5513299838714255 -3.60865634062635;-0.22907999082600
-0.5522414153742499 -3.6142861287287924;-0.22964330337724
-0.5529077160044237 -3.6183972340063257;-0.22971459926000
-0.553311948115077 -3.620858688548217;-0.2296199419672
-0.5534854032555586 -3.621859920021239;-0.22955194239
-0.5534851717277383 -3.62176280642487;-0.22955909883859
PointOptimal;ValeurOptimale
[-0.55348517 -3.62176281];-0.22955909883859651
Temps;Nb iteration
0.0018665790557861328;23
