Point;Valeur
-0.7682589812725613 -0.6982535924402065;-0.7854327545011
-0.8106313341504195 -0.7406259415444086;-0.6991313351895
-0.7566238753921026 -0.6866175732825647;-0.7746540511517
-0.7865778768174891 -0.7164026764920572;-0.7716072546615
-0.7540891301567736 -0.6839962920038876;-0.7702187219641
-0.7878799409359243 -0.7176025368968634;-0.7693049387825
-0.7537215176634351 -0.683532041011898;-0.7694384463154
-0.788046957470414 -0.7176684979673525;-0.769077834601
-0.7537401260555214 -0.6834533474411594;-0.7693855818318
-0.7881013314123186 -0.7176227988731284;-0.7690650291711
-0.7537849587786996 -0.6834012531796334;-0.7693831740548
-0.7881489711197798 -0.7175707141627059;-0.7690648123320
-0.7538311318594186 -0.6833506704216032;-0.7693834915672
-0.7881962167114179 -0.7175183377374464;-0.7690652514503
-0.7538773550068196 -0.6833001757761186;-0.7693839456639
-0.788243438812834 -0.7174659440777006;-0.7690657235605
-0.7539235866939494 -0.6832496716318552;-0.7693844059214
-0.7882906717738682 -0.7174135294357872;-0.7690661975971
-0.7539698345426454 -0.6831991431612151;-0.7693848665098
-0.7883379235358701 -0.7173610866317673;-0.769066672140
-0.7540161027821981 -0.683148585668952;-0.7693853274124
-0.7883851969681792 -0.7173086125263607;-0.7690671471674
-0.7540623931525332 -0.6830979973424879;-0.7693857887369
-0.7884324931975601 -0.7172561058495328;-0.7690676226975
-0.7541087063502474 -0.6830473774545164;-0.7693862505317
-0.7884798126744866 -0.7172035660848235;-0.7690680987390
-0.7541550426562968 -0.682996725705445;-0.7693867128169
-0.7885271555816504 -0.7171509930152175;-0.7690685752959
-0.7542014021867054 -0.6829460419643422;-0.7693871756007
-0.7885745219963346 -0.7170983865418376;-0.769069052369
-0.7542477849921554 -0.6828953261672474;-0.769387638886
-0.7886219119534563 -0.7170457466127103;-0.7690695299623
-0.7542941910976972 -0.6828445782767231;-0.7693881026765
-0.7886693254718129 -0.7169930731946684;-0.7690700080737
-0.7543406205177815 -0.6827937982656513;-0.7693885669711
-0.7887167625634326 -0.7169403662617804;-0.7690704867045
-0.754387073263123 -0.6827429861113761;-0.7693890317713
-0.7887642232376957 -0.7168876257908807;-0.7690709658554
-0.7544335493427433 -0.6826921417925956;-0.7693894970778
-0.7888117075029524 -0.716834851759959;-0.7690714455271
-0.7544800487652029 -0.6826412652887606;-0.7693899628911
-0.788859215367355 -0.7167820441477737;-0.7690719257198
-0.7545265715383205 -0.6825903565794125;-0.7693904292116
-0.7889067468383042 -0.7167292029325516;-0.7690724064347
-0.75457311767037 -0.6825394156445901;-0.7693908960401
-0.7889543019238322 -0.7166763280933464;-0.7690728876719
-0.7546196871692046 -0.6824884424637694;-0.7693913633768
-0.7890018806318743 -0.7166234196088948;-0.769073369431
-0.7546662800428524 -0.6824374370168838;-0.7693918312225
-0.7890494829696155 -0.7165704774577026;-0.7690738517151
-0.7547128962991931 -0.6823863992836582;-0.7693922995775
-0.7890971089452636 -0.7165175016187737;-0.7690743345223
-0.7547595359462935 -0.682335329243973;-0.7693927684427
-0.7891447585661884 -0.7164644920707667;-0.7690748178540
-0.7548061989919089 -0.6822842268775209;-0.7693932378181
-0.7891924318401403 -0.7164114487923623;-0.7690753017108
-0.7548528854440324 -0.6822330921640422;-0.7693937077045
-0.7892401287748216 -0.7163583717622356;-0.7690757860931
-0.7548995953107999 -0.6821819250834554;-0.7693941781026
-0.7892878493777908 -0.7163052609590563;-0.7690762710018
-0.7549463285999882 -0.6821307256153073;-0.7693946490128
-0.789335593657011 -0.716252116361699;-0.7690767564367
-0.7549930853194448 -0.6820794937394281;-0.7693951204356
-0.7893833616198005 -0.7161989379486657;-0.7690772423991
-0.7550398654771604 -0.6820282294354854;-0.7693955923714
-0.7894311532739545 -0.7161457256986361;-0.7690777288893
-0.7550866690810296 -0.6819769326832459;-0.7693960648209
-0.7894789686271483 -0.7160924795903106;-0.7690782159078
-0.7551334961390417 -0.6819256034623147;-0.7693965377846
-0.7895268076870325 -0.7160391996023586;-0.7690787034551
-0.7551803466590661 -0.681874241752501;-0.7693970112630
-0.7895746704614484 -0.7159858857133912;-0.7690791915315
-0.7552272206489712 -0.6818228475332422;-0.7693974852566
-0.7896225569577111 -0.715932537901909;-0.7690796801381
-0.755274118116769 -0.6817714207845202;-0.7693979597661
-0.7896704671834941 -0.7158791561464855;-0.7690801692753
-0.7553210390702079 -0.681719961485709;-0.7693984347918
-0.789718401146732 -0.7158257404259778;-0.7690806589432
-0.7553679835173217 -0.68166846961665;-0.7693989103344
-0.7897663588546431 -0.7157722907186863;-0.7690811491431
-0.7554149514659775 -0.6816169451568637;-0.7693993863945
-0.7898143403152809 -0.7157188070033784;-0.7690816398748
-0.7554619429241125 -0.6815653880859712;-0.7693998629725
-0.7898623455361484 -0.7156652892584747;-0.7690821311391
-0.7555089578994725 -0.6815137983835877;-0.7694003400689
-0.7899103745245819 -0.7156117374625213;-0.7690826229369
-0.755555996400066 -0.6814621760294018;-0.7694008176843
-0.7899584272884659 -0.7155581515940062;-0.7690831152685
-0.7556030584338052 -0.6814105210027301;-0.7694012958193
-0.7900065038355171 -0.7155045316317276;-0.7690836081341
-0.7556501440083859 -0.6813588332834872;-0.7694017744743
-0.790054604173117 -0.7154508775538735;-0.769084101534
-0.7556972531318626 -0.6813071128509002;-0.7694022536498
-0.7901027283089339 -0.7153971893389682;-0.7690845954709
-0.7557443858119784 -0.6812553596847676;-0.7694027333465
-0.7901508762507303 -0.7153434669657927;-0.7690850899427
-0.7557915420567145 -0.6812035737645165;-0.7694032135649
-0.7901990480057436 -0.7152897104124398;-0.7690855849514
-0.7558387218740286 -0.6811517550698295;-0.7694036943057
-0.790247243581855 -0.7152359196576268;-0.7690860804971
-0.7558859252714464 -0.6810999035800704;-0.7694041755691
-0.7902954629864674 -0.7151820946796454;-0.7690865765805
-0.7559331522571392 -0.6810480192748332;-0.769404657356
-0.7903437062275083 -0.7151282354571493;-0.7690870732018
-0.7559804028387512 -0.6809961021334447;-0.7694051396664
-0.7903919733121887 -0.7150743419682882;-0.7690875703620
-0.7560276770243332 -0.6809441521355931;-0.7694056225015
-0.7904402642482683 -0.7150204141917041;-0.7690880680614
-0.7560749748214806 -0.6808921692605944;-0.7694061058612
-0.7904885790431001 -0.7149664521055615;-0.7690885663010
-0.7561222962382429 -0.6808401534881259;-0.7694065897467
-0.7905369177045619 -0.7149124556885439;-0.7690890650807
-0.7561696412823818 -0.6807881047974407;-0.7694070741580
