Point;Valeur
-2.953377951885832 -3.168265471255668;-0.07564660675646
-2.0664136622055755 -2.2813011790300917;-0.25576128084274
-2.752556411088539 -2.975272469897632;-0.09244877737223
-3.364583526216035 -3.584140104922081;-0.016650173409847
-3.0314867691580036 -3.256657528750405;-1.1033514644838077e
-3.0195142743839027 -3.244765794599182;-0.0020118207348753
-2.8349190586602413 -3.0616062439238925;-0.18505923391200
-2.977521487827521 -3.203831591527928;-0.03418092588153
-2.3181752850772526 -2.5464193204058416;-0.01437796905932
-2.8396217007111906 -3.073874406758897;-0.18583228951694
-2.8235331750322925 -3.057869512176326;-0.18281457434753
-3.112756500130588 -3.346442842104114;-0.06963292561614
-3.8120952321496295 -4.04319847016845;-0.013847042895209
-4.177807777296994 -4.4036945881711995;-0.008143505133646
-4.4770153121622975 -4.697484457165518;-0.009353209608621
-4.141483173085268 -4.368464821494343;-1.164552881700022e
-4.12533573384489 -4.352530871112921;-0.0021433215052490
-3.8793297840820813 -4.109688503228229;-0.0706548103695
-4.554675695018663 -4.782489954584651;-0.010210585924077
-4.938681580898147 -5.162548985231599;-0.014029860333709
-5.360490995566485 -5.579540100366428;-0.03664022785955
-5.819291946392535 -6.03305609584743;-0.053821337957863
-5.773669483740123 -5.988143777696479;-0.048010116186828
-6.114022191327495 -6.3241306129234465;-0.03214335243433
-6.579997535406855 -6.784846791883409;-0.04176756052735
-6.401710604965343 -6.609028416645457;-0.0023253682183629
-6.671907875277675 -6.876121882576334;-0.014632825871404
-6.14434394776145 -6.353074994174957;-0.04209009534697
-6.578187530504604 -6.785161103972131;-0.04185854322462
-6.351819728716046 -6.56017379366285;-0.0016291826844051
-6.050974219116377 -6.260590559931766;-0.007775178192184
-6.627412509880575 -6.83620513024683;-0.029586406411224
-6.049949814641257 -6.260226736641704;-0.007565997790324
-6.556639299221605 -6.767109396735414;-0.04310307687188
-6.552268296303707 -6.762757703515552;-0.04305423148274
-6.611747803889174 -6.822121556016149;-0.034295064774346
-6.002830726583599 -6.213993561485648;-4.7590482901973064e
-6.00892129999181 -6.220080408816392;-0.00015182335185509
-6.1456996925119896 -6.357098634848342;-0.042804018695817
-6.77530335279641 -6.987072432217662;-0.0030144474630891
-7.228928710604766 -7.439862840055772;-0.024712378894220
-7.835322256934813 -8.045017872449842;-0.0008173881321889
-7.619834164391007 -7.830413771922308;-0.027090361403332
-8.118137120240121 -8.327597259638564;-0.017816357418146
-7.555771332574071 -7.766593729416673;-0.010836771063541
-8.116789634655946 -8.327483741935051;-0.017990110100402
-7.608835956235911 -7.82025394974642;-0.024836943144558
-8.091742393617599 -8.303284188893274;-0.02345370463581
-7.656675901557836 -7.868666754469165;-0.03180519232903
-7.775917903943283 -7.987972849978298;-0.011651855495483
-7.179093900810395 -7.3911268485834825;-0.010300257269837
-7.754557115677784 -7.967332788458043;-0.01724986191686
-7.218560342357738 -7.431588960272065;-0.022074151266016
-7.76422217999604 -7.977775475512358;-0.014542153595362
-7.266445464549145 -7.480337019867341;-0.033130563429591
-7.560924699897669 -7.775135943957924;-0.012653810907700
-8.09541500112457 -8.30962153464256;-0.022432523330729
-7.661266569874995 -7.876078567064406;-0.03199674477591
-7.706067707164417 -7.9208941784596405;-0.028337758740531
-7.26310669710259 -7.4779410078586555;-0.032709313930050
-7.678291513060151 -7.89366768804916;-0.03161943233321
-7.485732264358698 -7.701154905517083;-4.4237137369133284e
-7.562651962990054 -7.778101404528392;-0.013288239866544
-8.27814181368547 -8.49364904126822;-0.005821827392378
-8.775645877349056 -8.990363802185028;-0.024708043041085
-8.7824693364129 -8.997172802853456;-0.024639749255413
-8.70048026217629 -8.915445431724617;-0.01581308966160
-9.332412557308578 -9.546492501823376;-1.7986954015905238e
-9.319541496588615 -9.533655012952382;-0.000305629336267
-9.128761613428221 -9.34343053623449;-0.02229707519790
-9.413383505489504 -9.627441382227401;-0.008490024962298
-10.088723034418821 -10.301945271509997;-0.0002759670816075
-10.260062399329561 -10.472816346557968;-0.01826902666836
-10.238310841428422 -10.451139064643542;-0.017743196307365
-10.549523804019326 -10.76153012669609;-0.010353606637015
-11.217052450133734 -11.42808964639796;-0.0010212150273149
-11.553243730680387 -11.763496662172642;-1.4470310907956878e
-11.504755967176568 -11.715144351953608;-0.0026798126167428
-10.94850484396069 -11.159846629322782;-0.01310983363905
-11.505512792143634 -11.716612504587628;-0.002573062920749
-11.004220754899219 -11.215788801634215;-0.015930940368075
-10.939218292336397 -11.150798270661301;-0.01209813308938
-11.56167784046716 -11.773270428291156;-3.0219093562324975e
-11.632758546081174 -11.844274200173583;-0.005218657184473
-12.258373955677321 -12.469538352690176;-0.0013392267618917
-11.869776872601573 -12.081409015752211;-0.0029497536341973
-11.337022602926117 -11.548864397615024;-0.013824331561704
-11.734472859936616 -11.946459102188928;-0.014017867837075
-11.814209749548654 -12.026181821396271;-0.00920330701830
-11.166924201904243 -11.379011437448195;-0.0003934410431703
-10.896367279344206 -11.108238522431472;-0.006504946906994
-11.572107946808089 -11.78432367771883;-0.00026903824793258
-11.766528182905027 -11.978632639172528;-0.013350869166866
-11.430339646903304 -11.642693837348425;-0.011333941185138
-10.820055411356723 -11.03247065905945;-2.61004617439854e
-10.894151220173518 -11.10662790087863;-0.006249833880896
