Point;Valeur
-3.2475135970314684 -0.19218552082077522;-0.16861780179731
-3.171756525610286 -0.19517324680049403;-0.2705760807965
-3.0698410100391915 -0.19497363228749254;-0.253472933852
-3.0461729227737795 -0.1984480903382279;-0.22258763295655
-3.101081370431151 -0.20600518631583445;-0.2810498724753
-3.1728159991167564 -0.21387115753443112;-0.26863727068831
-3.1860312983846746 -0.21716615047989715;-0.2553506824558
-3.141702391805484 -0.21604401034971477;-0.286832729851
-3.092319169857867 -0.21417447976076884;-0.27577803199219
-3.08924951160616 -0.21518950974588072;-0.2735273933503
-3.1258014789030297 -0.218707659008896;-0.288776201226
-3.1568012170706132 -0.22163602942640023;-0.28002684537570
-3.1518991594951187 -0.2218862100058107;-0.2826843177009
-3.1232303076835977 -0.22033782213491998;-0.28861907071997
-3.104989464226426 -0.21942396907178865;-0.2835290161878
-3.113806742281214 -0.22034129309671602;-0.28685822789165
-3.1350616089681793 -0.2220746907263216;-0.2882092513890
-3.1441077434266274 -0.22289309176273558;-0.2859275523440
-3.1341911907945628 -0.22232765664919715;-0.2883361614241
-3.1193636112339638 -0.22138214392008973;-0.2881310219731
-3.1160383953777586 -0.22122741272421945;-0.2874558124174
-3.1252905806777935 -0.22194528573023928;-0.2887644872916
-3.1349069316911544 -0.22267303913265538;-0.2882268136214
-3.1348275011785276 -0.22269962392445986;-0.2882387959603
PointOptimal;ValeurOptimale
[-3.1348275  -0.22269962];-0.2882387959603336
Temps;Nb iteration
0.0018382072448730469;23
