Point;Valeur
-3.71639099059895 -3.3248369840230785;-0.0007661123943383
-4.342390616110081 -3.9508365164268096;-0.06420644625472
-3.728245943108123 -3.3363168646423498;-0.004099659674331
-3.9807274451036383 -3.5854628423426926;-0.0681066976773
-3.5209070005319445 -3.1271130089266923;-0.152754437801
-3.5095963341414675 -3.1159677783110014;-0.15166994564706
-3.604373263923698 -3.2091027040368143;-0.08842125028364
-3.194594290158404 -2.8026960558613987;-0.15811110287079
-2.8797757947360565 -2.4932575040167086;-0.09122019222477
-2.4752261607698505 -2.095931203045663;-0.18485406399342
-2.081425119280259 -1.7117277943254918;-0.28480507064025
-1.7176442448383855 -1.3609196216704464;-0.31700149607865
-1.3106319390180927 -0.9713437312467587;-0.5246755153778
-0.9646424304819168 -0.6517179552874361;-0.4356283776188
-0.5238595234387718 -0.25049662295340297;-0.818280057700
-0.19461701412513555 -0.01877369285288577;-0.14856190757959
0.15209538127268996 0.03989305216530241;-0.34245911986930
-0.21339973727576628 -0.15754329632824682;-0.0004219898161854
-0.2262860675637636 -0.1771632846633308;-0.02291529523699
-0.3178135522923219 -0.3220995346183804;-0.7884219074276
-0.500053917198345 -0.6533576289827026;-0.04225875949740
-0.5835575348762363 -0.8416223879108851;-0.7771931149122
-0.6184206901646799 -0.9277740570892236;-0.643471730161
-0.49674841610927745 -0.6438532389210249;-0.023669731391029
-0.5588576306409588 -0.7671993654580597;-0.5649042351280
-0.7080864334708628 -1.0544739344644567;-0.03800145962731
-0.6447159234840001 -0.924327649054407;-0.598039773533
-0.5142816045886732 -0.6814094313916952;-0.13428597425705
-0.6381411413797209 -0.8868421171190559;-0.7144758567422
-0.5506478768155341 -0.7375730010866174;-0.43315378946444
-0.7048456724608754 -0.9790014462930265;-0.24474069970713
-0.5736875184287356 -0.7733089013095231;-0.6211547700419
-0.6935498188990671 -0.9514952181891838;-0.3742568816048
-0.5561938915980058 -0.7498536129824904;-0.4952273060388
-0.692146520555617 -0.9411710137702668;-0.4166281475035
-0.5601897260541384 -0.7579710780224335;-0.5357370295538
-0.6853753166654014 -0.9278624723251679;-0.4841317388626
-0.5612158619479022 -0.7620148260031614;-0.5528054199892
-0.6790427017300751 -0.9177046782260176;-0.5370090515710
-0.5640418708595981 -0.7683013041411634;-0.581686362642
-0.6732087097487844 -0.9097336139651685;-0.5787287215553
-0.5673341336180041 -0.7749237183641184;-0.611453186177
-0.667685078293156 -0.9030214805928641;-0.613360968545
-0.5706172445604009 -0.7812264180229949;-0.6385001381406
-0.6624969731080096 -0.8971873652871518;-0.6424395299541
-0.5737766881268088 -0.7870665725178998;-0.6621905360917
-0.6576792522292131 -0.8920296002710442;-0.6668647765197
-0.5767745306562911 -0.7924179124220907;-0.6825728817953
-0.6532463645479729 -0.8874225287031342;-0.6873308137482
-0.579596659252788 -0.7972924376220695;-0.6999135886489
-0.6491951012995618 -0.8832805435348217;-0.7044252777935
-0.5822388244089319 -0.8017171007005653;-0.7145501837089
-0.6455105371360866 -0.8795413334782325;-0.7186591164312
-0.5847018274408772 -0.805724619041513;-0.726831031416
-0.6421709271072603 -0.8761570210360464;-0.7304776088296
-0.5869894891114801 -0.8093492484335079;-0.7370877003478
-0.6391511391245206 -0.8730891290241733;-0.7402665482151
-0.5891076066180981 -0.8126246812212545;-0.745622422648
-0.6364249039668652 -0.8703055925858709;-0.7483575455111
-0.5910633122429916 -0.815582983372923;-0.752703366928
-0.6339662222196347 -0.867778928424145;-0.755033406798
