Point;Valeur
-4.5711059471230735 -1.0493382837829088;-0.15110964949811
-4.571292149241866 -1.0493809352662906;-0.151145845415
-4.571476334747705 -1.0494231237974205;-0.15118126031447
-4.5716585246652395 -1.0494648542034417;-0.1512159107259
-4.57183873982809 -1.0495061312676286;-0.15124981284595
-4.572017000879619 -1.0495469597295541;-0.15128298254033
-4.5721933282737135 -1.0495873442852859;-0.15131543535156
-4.5723677422756275 -1.0496272895875676;-0.15134718650452
-4.572540262962821 -1.0496668002460179;-0.1513782509125
-4.572710910225861 -1.0497058808273347;-0.15140864318307
-4.572879703769335 -1.0497445358555042;-0.15143837762376
-4.5730466631127955 -1.0497827698120252;-0.1514674682478
-4.573211807591724 -1.0498205871361201;-0.151495928779
-4.573375156358525 -1.0498579922249733;-0.15152377266138
-4.573536728383542 -1.0498949894339598;-0.15155101305585
-4.573696542456093 -1.0499315830768803;-0.15157766285453
-4.5738546171855265 -1.049967777426211;-0.1516037346814
-4.574010971002297 -1.050003576713347;-0.15162924089877
-4.574165622159056 -1.0500389851288554;-0.15165419361152
-4.574318588731765 -1.0500740068227217;-0.15167860467300
-4.5744698886208175 -1.0501086459046247;-0.15170248568948
-4.57461953955218 -1.0501429064441843;-0.15172584802509
-4.57476755907854 -1.0501767924712277;-0.1517487028066
-4.574913964580477 -1.050210307976068;-0.15177106092807
-4.575058773267638 -1.0502434569097603;-0.15179293305546
-4.575202002179923 -1.0502762431843848;-0.15181432963116
-4.575343668188685 -1.0503086706733211;-0.1518352608784
-4.575483787997932 -1.0503407432115135;-0.15185573680572
-4.575622378145546 -1.0503724645957684;-0.1518757672110
-4.575759455004503 -1.0504038385850238;-0.15189536168620
-4.575895034784102 -1.0504348689006338;-0.15191452962072
-4.576029133531196 -1.0504655592266499;-0.15193328020618
-4.576161767131435 -1.0504959132101082;-0.15195162244004
-4.576292951310511 -1.0505259344613151;-0.15196956512964
-4.576422701635402 -1.0505556265541363;-0.15198711689597
-4.57655103351563 -1.0505849930262814;-0.1520042861775
-4.5766779622045055 -1.0506140373795918;-0.15202108123404
-4.576803502800394 -1.0506427630803294;-0.15203751014995
-4.576927670247968 -1.0506711735594654;-0.15205358083817
-4.5770504793394675 -1.0506992722129729;-0.15206930104351
-4.5771719447159604 -1.0507270624021128;-0.15208467834612
-4.5772920808686 -1.0507545474537239;-0.1520997201648
-4.577410902139888 -1.0507817306605136;-0.15211443376069
-4.57752842272493 -1.0508086152813454;-0.15212882623976
-4.577644656672698 -1.0508352045415248;-0.1521429045567
-4.577759617887282 -1.0508615016330984;-0.15215667551791
-4.5778733201291475 -1.0508875097151327;-0.1521701457842
-4.577985777016384 -1.0509132319140013;-0.1521833218742
-4.578097002025955 -1.0509386713236777;-0.15219621016734
-4.578207008494947 -1.0509638310060172;-0.1522088169061
-4.578315809621808 -1.0509887139910417;-0.15222114819993
-4.578423418467592 -1.0510133232772283;-0.1522332100268
-4.578529847957189 -1.0510376618317898;-0.15224500823715
-4.57863511088056 -1.0510617325909601;-0.15225654855545
-4.578739219893964 -1.0510855384602757;-0.152267836583
-4.578842187521178 -1.0511090823148517;-0.1522788778032
-4.57894402615471 -1.0511323669996666;-0.1522896775782
-4.5790447480570196 -1.0511553953298352;-0.15230024115718
-4.579144365361721 -1.0511781700908955;-0.1523105736757
PointOptimal;ValeurOptimale
[-4.57914437 -1.05117817];-0.1523105736757009
Temps;Nb iteration
0.0030219554901123047;58
