Point;Valeur
-4.7722446832122705 0.48672087965238475;-0.11308855116231
-4.725401482461575 0.47508677736034516;-0.14339155072694
-4.687631662136869 0.4669376985229579;-0.15270548761085
-4.678548780916916 0.4632613582259844;-0.15257481016707
-4.681311769050203 0.4617813364712198;-0.15270838768920
-4.684310222339062 0.4609706332705937;-0.1527693429226
-4.685255382572145 0.4603644228482591;-0.15276948078561
-4.685187406160764 0.459914260975853;-0.15276993597880
-4.685006004521615 0.4596136909718759;-0.15277042050547
-4.68494661006357 0.45942618396336826;-0.15277047688035
-4.684959754146442 0.45930938105495994;-0.15277047635573
-4.684981920691722 0.45923346248856595;-0.152770470471
PointOptimal;ValeurOptimale
[-4.68498192  0.45923346];-0.152770470471799
Temps;Nb iteration
0.0008974075317382812;11
