Point;Valeur
-4.894560396561027 2.0552985549139056;-0.10217351472537
-3.7682402032427555 0.9289788269089374;-0.015536160091005
-2.8852009379896453 0.25889357117180645;-0.003346764165036
-3.398038141550555 0.41711755454772437;-0.003701593143689
-3.8684452605830013 0.6315243880384804;-0.0003999854081861
-3.715985000961998 0.5395362890237225;-0.16286390900676
-2.751416751050957 -0.21268490304831622;-0.15007167460082
-1.7944894049346296 0.413159294088833;-0.0015218026207768
-1.9564319409100543 0.72193008200502;-0.47770978663166
-1.9928468996131903 0.8286933393931765;-0.3973731805708
-1.1964890572568634 -0.25207228975890683;-0.17812320051978
-0.26441513005306005 0.549199688572054;-0.6925423500495
0.24705114327634692 -0.5481630273805476;-0.7319723270590
-0.20727525812920355 0.251842105639699;-0.1382251402917
-0.783326854496846 0.8132200650606497;-0.5893542876967
-0.2006599465107206 0.3070382291263849;-0.33576033170747
-0.7803831390373644 0.9934280791779537;-0.052429361203555
-0.4954989597222 0.7130259620222996;-0.19151920473615
-0.9726047750750595 1.2336843575378802;-0.6184345518405
-0.9311773139650856 1.1934490137880918;-0.5641441104301
-1.2324239819310114 1.486353599388725;-0.15993787926974
-1.6443407477170666 1.8679182943210306;-0.1996857310818
-2.0001725412393934 2.1820353314180867;-0.06725090419901
-2.258259294566259 2.402596645357272;-0.09503010889276
-1.9701110998229652 2.160202152493707;-0.021581935739338
-2.1524726253746245 2.319089690501474;-0.2803241841492
-2.030550115389433 2.2144494135045028;-0.1420985432639
-2.4080408945063376 2.5462921519539745;-0.07999624710360
-2.713366169139891 2.809256111282563;-0.003380498471006
-2.6344910350168385 2.742930237712065;-0.09910925415358
-2.2915517101430303 2.448158004600551;-0.022987915534175
-2.049331347144226 2.233656435352445;-0.18881769931709
-2.494899411017201 2.6424832154478892;-0.22450295561062
-2.6152843509903265 2.7496863953433044;-0.11038009000928
-2.2139806897535594 2.3890466605356133;-0.16190509401368
-1.7285636614106599 1.934939079543935;-0.3654213669973
-1.8636666979066543 2.065553728188353;-0.1043649897288
-1.304818739745576 1.5234410572816433;-0.37057206279459
-1.9236648694956573 2.151581940215623;-0.0004698896374366
-1.9653821210430622 2.1926212704222694;-0.04529501803676
-2.3452519380147487 2.5627592548399427;-0.04195152989860
-2.680893914939106 2.8843382312625554;-0.0008679951478512
-2.734010533507414 2.9347376752053593;-0.04637241221622
-3.077488518994746 3.259704192218109;-0.0061699138071085
-3.2183408338651582 3.3915342075981965;-0.14721985931910
-3.358713091016694 3.521845676632338;-0.05224905174968
-3.000391563823414 3.187818251002847;-0.03094921352861
-2.6518548830432414 2.857033078174492;-0.006210785375272
-2.4552633262844425 2.6679243258399152;-0.22047260611838
-2.718595568726535 2.92391157928091;-0.029424159236107
-3.1311292476071735 3.3238143162542166;-0.0659538121055
-3.5865547676145346 3.7623403795681685;-0.1223504487677
-3.746625161907539 3.9144808151539783;-0.025137440727183
-3.4168736942390443 3.6005282835583547;-0.0005469820667340
-3.3537568132497175 3.540282827344417;-0.04396896723017
-2.875185902787874 3.0766425188123065;-0.1808110049681
-2.6503778241962967 2.855102715104728;-0.007288008345674
-2.348828364128608 2.557063913292731;-0.040009720301319
-2.978964374081248 3.187959843962621;-0.043539411832455
-2.4570748197682777 2.673099084063174;-0.2230176957091
-2.733604563075418 2.949900815931773;-0.05748142532513
-3.3180727193297335 3.5324907412134494;-0.06999747376381
-2.828520257912999 3.0497335842595152;-0.1820391225262
-3.0129661347916525 3.2334443710099445;-0.005798001299314
-2.781799138620663 3.004042446464626;-0.13700819288279
-3.356249390955197 3.5786279601855058;-0.022413827545463
-2.980180549564614 3.2068303311171245;-0.03088456816947
-2.5080333892274376 2.7355361351419676;-0.20829991401019
-2.0488284928957334 2.271089254211294;-0.23130142455870
-2.738311681469204 2.971629303076858;-0.07847032832961
-3.27375269197344 3.5051912478893623;-0.11369988157492
-2.88656301555784 3.1236531698983026;-0.15537982237712
-2.4825727332816716 2.7209922649567764;-0.22501193031612
-2.2785636955769992 2.514689086422145;-0.0009159952651288
-2.1738633580934437 2.4091425964745703;-0.1823322866413
-1.4225512635032616 1.6497076523178178;-0.3508353773367
-0.5986153982962708 0.8045653453876668;-0.7437888417271
-1.1941060694044363 1.4739331534659583;-0.07463333295863
-1.7835599712352623 2.078094170769031;-0.19548744394704
-1.212455179104053 1.5212883970226065;-0.20140610565662
-1.864065339764014 2.1940461080518627;-7.578953172219958e
-1.8591047170944621 2.189647169126087;-0.0006377508418484
-1.8112978122696615 2.143759814660711;-0.061023588633249
-1.3757434572087368 1.7182295390891826;-0.2907650239209
-0.7270270021916587 1.0558895617664616;-0.01846299661820
-0.4208538165891499 0.6986178970149493;-0.02782783860088
-0.7996329847722321 1.1847925597577325;-0.2893243885451
-1.51996379812138 1.9609928683138382;-0.18274371422136
-1.9856319306912293 2.4024296375632397;-0.2852543274034
-2.074532425963333 2.48121854577806;-0.19963489542259
-1.6980464715625587 2.145762326780074;-0.20018952572997
-1.2091361191944863 1.680592977411767;-0.472751412300
-1.3443847510381715 1.821464911782863;-0.12130472728141
-0.8057371094853376 1.2749997516238152;-0.5518423380693
-1.2715150331611222 1.8085329223248712;-0.264035955356
-0.709129416278005 1.2333139706527927;-0.26377920076707
-1.3137540235559388 1.9346641898535315;-0.004710204036421
-1.2090994807747504 1.8322730556726234;-0.3067682638269
-0.7060323149954555 1.3247922348119774;-0.5343928114238
-1.1224620642155734 1.8256705852520096;-0.426819964104
-0.7957033892117893 1.4856507151352956;-0.34947445285364
-0.2264627503560004 0.8403745223707983;-0.20017783272741
-0.6022455873450274 1.542774673533917;-0.4507530919898
-0.19155800525833405 1.0348980526827;-0.7823444286442
-0.14916019429650904 0.9242213734578048;-0.5070649492551
-0.43801168092961673 1.6224742564768597;-0.366614318145
-0.05981230130871762 1.106610232322513;-0.6670086160733
0.01954728604134011 0.617731351077859;-0.6497855744157
-0.05813147786978774 -0.0432021169746305;-0.8216696955955
0.9124187236721586 0.3198176643921492;-0.6363225324121
1.6640998512481433 0.49582579525818493;-0.16978531321719
1.0623554318091335 0.35526526137825276;-0.6243239999082
0.43177180759918576 0.15888699297686582;-0.8183383864522
1.0104430406455553 0.3854900421859788;-0.7414770205318
0.6658879554317714 0.2399745202160037;-0.17907932831086
0.039682400529034934 -0.05069447764251603;-0.8571801845118
-0.365368917003264 0.5514442714676843;-0.4128612594165
0.1036970476214456 -0.15544065009691443;-0.18729780482018
-0.3017156015044361 0.40788104879262477;-0.9306336900232
-0.389622350980369 0.5172528095688385;-0.49009922340063
0.150509377932592 -0.11053167349535686;-0.18785550636493
-0.4205409266775759 0.28793040247734636;-0.9324725958123
-0.5176280592705955 0.3508054002417646;-0.6118091234723
0.1255566185204131 -0.11050857424002819;-0.2866783038554
-0.43615251991767134 0.4213670220835087;-0.7075364230489
0.03444082565140316 -0.06460808186020967;-0.8180281812718
-0.27696099294685156 0.49711838540299186;-0.8579532396929
-0.04794790701602439 0.11596055199279154;-0.5303925582312
0.30980132403731386 -0.5603560303588763;-0.5304498886261
-0.11095715544349777 -0.0035624882086695564;-0.6162842934080
0.6372519473287841 0.019624776731623186;-0.545531146868
0.004747825172107478 -0.0034692205251797698;-0.9987470988498
-0.0387518403635099 0.0332039541987016;-0.9085504103305
0.30253341835091774 -0.31310982324774644;-0.7113736400941
0.7398923317266557 -0.8290390202543225;-0.6569000830592
0.426823705857642 -0.4390191436775913;-0.6788579497730
-0.040063225305626005 0.0814460756229366;-0.7300953642975
0.28860488706121207 -0.5477897294202412;-0.6439806512935
-0.05951096157408792 0.017113414531267357;-0.867365146407
0.4804752587516173 -0.13341367972467916;-0.9205413718543
0.6856945144223756 -0.18945988205172815;-0.1638391138614
0.1257781883269491 -0.016529429419963743;-0.5221299685799
-0.5766841065783794 0.11414532020654136;-0.790234180149
-0.111116544455928 -0.028537601305909405;-0.5944978371940
0.4992121043091782 0.2505006002540917;-0.8874807945110
0.24657274022402087 0.02342045503837409;-0.007049038722828
0.12560207927871253 0.002604426339642609;-0.5295133302242
-0.5251419066131926 -0.027747096381814287;-0.9351603525080
-0.4804233829903618 -0.022493723078732472;-0.8847702207533
-0.7973647759618193 -0.05652128014486558;-0.006041590075490
-0.9112199605796868 -0.07522737165030582;-0.4037515308798
-1.5015626239130437 -0.20655970754349673;-0.5682730137009
-1.768178197574385 -0.30783686990883247;-0.028037655875859
-1.566229884499427 -0.20954340525335394;-0.6137186191171
-1.4599733777816815 -0.16950433837144396;-0.4386075086505
-1.961115058688276 -0.3496039069129682;-0.3352819480041
-2.3539661777591223 -0.5762196387454384;-0.06249560530908
-2.61850150381144 -0.7880815208079999;-0.20415015650476
-2.2801910214965995 -0.4545943134392246;-0.01466391083680
-2.117786732972106 -0.3480487550422382;-0.4213120949287
-1.7866276082377843 -0.16289514551276027;-0.0291318178806
-1.499042927085382 -0.07111217471304351;-0.5332081178235
-1.9894509198710582 -0.16129169840182628;-0.3456944626425
-2.470863247759325 -0.3269392672772643;-0.20830654382738
-2.8869949483692317 -0.5724642987616749;-0.04356371554113
