Point;Valeur
-4.922472085322808 1.649867828079083;-0.12028073849200
-6.0794720338946355 2.806867368955836;-0.05081441082055
-6.983947153210403 3.808407024394019;-0.040212455483075
-6.418397768290474 3.1243016118438502;-0.012049735723026
-6.90940000888357 3.6469078785376747;-0.05782071585004
-7.146703672177165 3.9182844981094345;-0.0024095514955298
-7.34310456879253 4.15099477046948;-0.04712132440704
-7.047897466928729 3.796289353016787;-0.022252707731393
-6.6009653824757395 3.2965276066144407;-0.06293501013507
-6.298978419746747 2.9838461556655784;-0.02366648083589
-5.804391159665693 2.4971088559420234;-0.0869789630251
-5.519453238954964 2.2404120859131296;-0.014454439560147
-5.0663837817525215 1.8476544084891358;-0.04197256401328
-4.435240716778873 1.3242900663984232;-0.12090172106925
-5.026350508891349 1.7571242948757728;-0.09184278226742
-4.54824688050679 1.3373107575669043;-0.14674571586681
-4.300000461855374 1.1517705779945848;-5.950810796553702e
-4.308035728704579 1.1575862211795078;-0.0006334501192257
-4.394053325256551 1.2166718746737082;-0.05953305371160
-4.953557490278841 1.6359514255075664;-0.126440619952
-5.034597558555856 1.708101544416619;-0.09724748944782
-4.667681797122183 1.3682588370678475;-0.05444454879365
-4.211119529317192 0.9924406167564408;-0.08086443342941
-3.69010919331478 0.6260918383304473;-0.17728406385556
-3.1885357633704983 0.3521865062984444;-0.23785405527700
-2.671579885589157 0.14988802124319645;-0.31703886986903
-2.1343632654746405 0.029935177647511496;-0.4408408949425
-1.6482675904959958 -3.935356246664162e-06;-0.4758556732053
-0.895713462489455 -0.00012525801140604484;-0.3146372468233
-1.711085102926791 -0.000682131323103992;-0.2562331447068
-1.1676572695177234 0.001165926904770799;-0.4194876789807
-0.5664099420784708 -0.0055807712852816785;-0.8659188844117
-0.20160057045706076 0.03488056724585769;-0.1120745017228
0.22542943061844223 -0.6767750712067665;-0.15578304109132
0.07799286430676555 0.4404551454639748;-0.7663628006809
0.1644488601205919 1.2844834447330633;-0.004980753438787
0.15421034882865917 1.1475287022060416;-0.4646112952002
0.0853464014868151 0.44614077705147837;-0.7955118764860
0.17129551082792321 0.9899919800706132;-0.7476988156765
0.21053709080807576 1.2571745711565199;-0.029722113092052
0.17845556593950115 1.03559797403172;-0.7832729009344
0.16830326460837575 0.9671996819056773;-0.6877747683192
0.22911599620299303 1.3488726229891908;-0.08238024439669
0.27865693981439577 1.6565786129721545;-0.36914567934623
0.21190257190857192 1.2624505654573959;-0.021096253791079
