Point;Valeur
-4.922472085322808 1.649867828079083;-0.12028073849200
-4.922807476105058 1.649980078224199;-0.12040518848981
-4.923140094618235 1.650091398805479;-0.12052758698144
-4.923469958150626 1.650201795623657;-0.12064796368295
-4.923797084036614 1.6503112744948272;-0.12076634802503
-4.9241214896516 1.650419841248755;-0.1208827691503
-4.924443192407079 1.6505275017272014;-0.12099725591115
-4.924762209745831 1.6506342617823304;-0.12110983686689
-4.925078559137226 1.6507401272751452;-0.12122054028251
-4.925392258072694 1.6508451040739485;-0.12132939412659
-4.92570332406128 1.6509491980528626;-0.12143642606991
-4.926011774625335 1.6510524150903942;-0.12154166348417
-4.926317627296342 1.6511547610680217;-0.12164513344097
-4.926620899610823 1.6512562418688415;-0.121746862710
-4.926921609106408 1.6513568633762252;-0.12184687776295
-4.927219773317974 1.6514566314725627;-0.12194520476400
-4.927515409773937 1.6515555520379857;-0.12204186957855
-4.927808535992613 1.651653630949166;-0.12213689776860
-4.928099169478719 1.6517508740781477;-0.122230314593
-4.928387327719977 1.6518472872911953;-0.12232214501117
-4.928673028183798 1.6519428764476998;-0.12241241367645
-4.928956288314092 1.6520376473990928;-0.12250114494361
-4.929237125528172 1.6521316059878262;-0.12258836286601
-4.9295155572137555 1.6522247580463536;-0.1226740911970
-4.929791600726064 1.6523171093961653;-0.1227583533912
-4.930065273385 1.6524086658468544;-0.12284117260479
-4.930336592472455 1.6524994331951968;-0.12292257169734
-4.930605575229674 1.6525894172242725;-0.12300257323281
-4.930872238854712 1.6526786237026225;-0.12308119948088
-4.931136600499999 1.6527670583834357;-0.12315847241845
-4.931398677269972 1.6528547270037326;-0.1232344137311
-4.931658486218794 1.6529416352836344;-0.12330904481514
-4.9319160443481485 1.6530277889255993;-0.12338238677853
-4.932171368605132 1.653113193613734;-0.12345446044348
-4.932424475880208 1.6531978550130915;-0.12352528634793
-4.93267538300525 1.6532817787690288;-0.12359488474760
-4.93292410675163 1.6533649705065694;-0.1236632756179
-4.933170663828419 1.6534474358297904;-0.1237304786563
-4.933415070880643 1.6535291803212466;-0.12379651328421
-4.933657344487591 1.6536102095413954;-0.12386139864896
-4.93389750116122 1.6536905290280715;-0.1239251536266
-4.934135557344602 1.653770144295971;-0.12398779682385
-4.934371529410453 1.6538490608361425;-0.1240493465804
-4.934605433659707 1.653927284115528;-0.12410982097157
-4.934837286320172 1.6540048195765056;-0.12416923781026
-4.935067103545236 1.6540816726364498;-0.12422761464985
-4.93529490141262 1.6541578486873278;-0.12428496878644
-4.935520695923216 1.6542333530952933;-0.12434131726144
-4.935744502999946 1.6543081912003321;-0.12439667686404
-4.935966338486707 1.6543823683158765;-0.12445106413384
-4.93618621814734 1.6544558897284882;-0.12450449536337
-4.9364041576646835 1.654528760697524;-0.12455698660071
-4.936620172639649 1.6546009864548297;-0.12460855365212
-4.936834278590341 1.654672572204461;-0.12465921208463
-4.937046490951266 1.6547435231223913;-0.12470897722870
-4.937256825072536 1.6548138443562717;-0.12475786418088
-4.937465296219148 1.6548835410251814;-0.12480588780643
-4.937671919570304 1.6549526182193885;-0.124853062742
-4.937876710218762 1.6550210810001498;-0.12489940339833
-4.938079683170234 1.6550889343995085;-0.12494492396282
-4.938280853342833 1.6551561834200943;-0.12498963840231
-4.9384802355665425 1.6552228330349643;-0.12503356046568
-4.9386778445827435 1.655288888187426;-0.12507670368653
-4.938873695043753 1.6553543537909032;-0.12511908138585
-4.9390678015124205 1.655419234728791;-0.125160706674
-4.939260178461745 1.655483535854334;-0.12520159245661
-4.939450840274543 1.6555472619904998;-0.12524175143080
-4.939639801243125 1.6556104179298932;-0.1252811960941
-4.939827075569022 1.6556730084346487;-0.12531993874430
-4.9400126773627395 1.6557350382363583;-0.12535799148194
-4.940196620643531 1.6557965120359912;-0.12539536621362
-4.940378919339212 1.6558574345038308;-0.12543207465425
-4.9405595872860015 1.655917810279424;-0.12546812832968
-4.940738638228383 1.655977643971541;-0.1255035385792
-4.940916085818992 1.656036940158131;-0.12553831655843
-4.941091943618545 1.6560957033862933;-0.12557247324109
-4.94126622509577 1.6561539381722703;-0.12560601942230
-4.941438943627373 1.6562116490014276;-0.12563896572066
-4.9416101124980285 1.6562688403282477;-0.12567132258080
