Point;Valeur
0.7440603517729691 3.6286149122004447;-0.21363795206399
0.6982999992797632 3.582854537560219;-0.22904154123398
0.7126470588102289 3.597829476193709;-0.2291437379865
0.6991433803106478 3.5838217821810328;-0.229198206394
0.7118858870206246 3.5971121217558943;-0.22925546661073
0.6996258941929027 3.5843687091414824;-0.22927790610918
0.7114857080020274 3.59673382248732;-0.2293095586486
0.69985532843622 3.5846307486658007;-0.22931373468936
0.7113129011248639 3.596574367246024;-0.22933145724388
0.6999343224823835 3.5847273951603373;-0.2293264472080
0.7112539107420728 3.5965261503135477;-0.229338109494
0.6999486830786094 3.5847536662083477;-0.22932971261263
0.7112345861104884 3.596516889282405;-0.2293395552544
0.6999447638143179 3.5847598731849213;-0.22933032227310
0.7112246346971488 3.596516694584829;-0.22933979398648
0.6999374144548921 3.584762142818541;-0.22933041573968
0.7112163521543354 3.596517999377658;-0.22933983075067
0.6999296289547678 3.584763812557184;-0.22933043249155
0.7112083490277052 3.596519497537248;-0.2293398400722
0.6999218235579168 3.584765398310389;-0.22933043940585
0.7112004055280818 3.596521014549408;-0.22933984600971
0.699914032453384 3.584766970377728;-0.22933044510209
0.7111924810733367 3.596522531608012;-0.22933985152435
0.699906250846688 3.584768539055259;-0.22933045062833
0.7111845646425148 3.596524047642886;-0.22933985697484
0.6998984742189445 3.584770106439371;-0.2293304561205
0.7111766521397282 3.596525563019063;-0.22933986241026
0.699890700290775 3.584771673181982;-0.22933046160182
0.7111687418322546 3.5965270779927603;-0.22933986784017
0.6998829280190768 3.584773239542214;-0.22933046707845
0.7111608329614039 3.596528592688155;-0.22933987326741
0.6998751569372249 3.5847748056312754;-0.22933047255264
0.7111529251903747 3.596530107161389;-0.22933987869314
0.6998673868379722 3.584776371498707;-0.22933047802543
0.7111450183710645 3.596531621437762;-0.2293398841178
0.6998596176288092 3.584777937165838;-0.22933048349717
0.7111371124367951 3.5965331355284884;-0.22933988954161
0.6998518492694319 3.584779502642679;-0.22933048896811
0.7111292073584317 3.5965346494382775;-0.22933989496468
0.6998440817415279 3.584781067933276;-0.22933049443829
0.7111213031232821 3.5965361631696218;-0.2293399003870
0.6998363150367289 3.584782633039588;-0.22933049990775
0.7111133997240594 3.5965376767231994;-0.2293399058087
0.699828549151617 3.5847841979627986;-0.22933050537655
0.7111054971597873 3.5965391900997115;-0.22933991122971
0.6998207840841761 3.5847857627029027;-0.2293305108446
0.7110975954285047 3.596540703299395;-0.22933991665002
0.6998130198342621 3.584787327260251;-0.22933051631207
0.711089694530017 3.5965422163221215;-0.22933992206
0.6998052564010879 3.584788891634825;-0.22933052177880
0.7110817944634509 3.596543729168164;-0.22933992748862
0.6997974937845238 3.5847904558269046;-0.22933052724486
0.7110738952287233 3.5965452418373434;-0.22933993290692
0.6997897319841386 3.5847920198363634;-0.22933053271024
0.711065996825424 3.5965467543298613;-0.22933993832456
0.6997819709997276 3.5847935836633624;-0.2293305381749
0.7110580992537398 3.5965482666459154;-0.22933994374151
0.6997742108313885 3.584795147307922;-0.229330543638
0.7110502025146322 3.5965497787853113;-0.2293399491577
0.6997664514794172 3.584796710769671;-0.2293305491023
0.711042306606202 3.596551290747911;-0.22933995457338
0.6997586929434428 3.584798274049214;-0.2293305545649
0.7110344115295126 3.596552802533968;-0.22933995998832
0.6997509352236702 3.5847998371462775;-0.22933056002699
0.7110265172837184 3.596554314143423;-0.2293399654025
0.6997431783187766 3.584801400060938;-0.2293305654883
0.7110186238690253 3.5965558255764702;-0.22933997081619
0.699735422229636 3.584802962793272;-0.22933057094894
0.7110107312857344 3.5965573368330492;-0.2293399762290
0.6997276669560718 3.5848045253431224;-0.22933057640889
0.7110028395332876 3.5965588479130814;-0.22933998164134
0.6997199124980985 3.5848060877107226;-0.22933058186818
0.7109949486116037 3.5965603588167023;-0.22933998705291
0.699712158855253 3.5848076498959736;-0.22933058732678
0.7109870585203155 3.596561869543852;-0.22933999246382
0.6997044060273587 3.58480921189907;-0.22933059278471
0.7109791692602021 3.5965633800946666;-0.22933999787404
0.6996966540148127 3.5848107737197763;-0.22933059824195
0.7109712808301322 3.5965648904691054;-0.22934000328360
0.6996889028170562 3.584812335358325;-0.2293306036985
0.7109633932308844 3.5965664006672453;-0.22934000869247
0.6996811524345811 3.584813896814637;-0.22933060915442
0.7109555064613271 3.5965679106887922;-0.22934001410072
0.6996734028662559 3.5848154580889653;-0.22933061460964
0.7109476205222397 3.5965694205343315;-0.22934001950825
0.6996656541131457 3.5848170191810547;-0.22933062006420
0.710939735413541 3.596570930203393;-0.22934002491513
0.6996579061744059 3.5848185800909045;-0.22933062551805
0.7109318511341954 3.5965724396961707;-0.2293400303213
0.6996501590501458 3.5848201408188647;-0.22933063097126
0.7109239676853637 3.5965739490128397;-0.2293400357268
0.6996424127405715 3.5848217013646217;-0.2293306364237
0.7109160850659143 3.596575458153301;-0.22934004113176
0.6996346672448377 3.584823261728448;-0.229330641875
0.7109082032764354 3.596576967117593;-0.22934004653595
0.6996269225633414 3.5848248219101273;-0.2293306473267
0.7109003223162732 3.596578475905772;-0.22934005193947
0.6996191786960966 3.5848263819099904;-0.22933065277728
0.7108924421856331 3.5965799845177795;-0.22934005734233
