Point;Valeur
0.9441795825813033 -3.8191755347897822;-0.00037923918601060
2.2072946473451234 -5.082308907174701;-0.00755606641034
3.455898263807275 -6.302724633946299;-0.03099920004688
4.560286046748348 -7.32969929829779;-8.581450070504333e
4.471831547807873 -7.256413121059135;-0.021364563560480
3.5505401460270862 -6.4203396472812155;-0.06907254906488
3.3885037211678277 -6.257637462489299;-0.005809273578544
4.1426208948385 -7.026671663381677;-0.0033862878709181
4.734792157191009 -7.58884533386131;-0.04443120128016
4.111159495806575 -7.015511562045064;-0.0004970564098354
4.4075932387673635 -7.3051743061408585;-0.018836033733253
3.3781230569984055 -6.2925748054850565;-0.013221678090041
4.271580363572394 -7.229200867430729;-0.052968369708021
3.9760979822081586 -6.947674472205338;-0.022364149760521
3.0297712695448062 -6.006861666906238;-0.06424662208913
3.8779443858629232 -6.909949847791916;-0.04999574705413
3.1829012238007115 -6.236820410100326;-0.01139364254940
2.435168730096835 -5.457856186271879;-0.007137711428382
1.7691481667109572 -4.706600363560538;-0.013810488434317
2.6009520139993385 -5.666403047919726;-0.08566225587547
3.210414530642298 -6.25069474652469;-0.004580890603250
2.647893126834093 -5.755434272031975;-0.08204377163007
1.8656149743935904 -4.982696443287814;-0.09460780681138
0.8849250845588039 -3.9325548079119255;-0.06732895422928
1.7722236695189624 -5.030621656353669;-0.08556759233912
0.9580671378229418 -4.330168525896464;-0.0014951019478994
0.7857618621140774 -4.095123840083415;-0.18461483880151
0.9592804687257674 -4.364469327899671;-0.001951445353454
1.2393553994785322 -4.733893941501598;-0.03105023557159
0.3152457191469634 -3.765911538449636;-0.13157383120646
-0.29395852300807956 -2.661402198294923;-0.3142519827838
0.5535725457674563 -1.6771362715336684;-0.08470938596490
-0.66569447136994 -0.6402501827329607;-0.4482621693212
-1.9066879131581007 -1.6734350155455435;-0.2994836822623
-2.4379411424072464 -2.093027217809741;-0.2308590456340
-1.9624995082922119 -1.714713943634794;-0.3687659352262
-2.0213727635642016 -1.7623627555996748;-0.3075797316428
-1.320097028954752 -1.1625265712054205;-0.10294854793337
-0.3830265645180485 -0.289794509355482;-0.8830891394223
-1.252381028970383 -1.0534102498541014;-0.5106074846968
-0.42609560240577626 -0.2382363118814672;-0.901773374000
-1.147695708068295 -0.7624105154524794;-0.10930511416502
-2.0038733631298005 -1.5492643189699185;-0.2923848346322
-2.558861897732303 -2.1347034439105883;-0.045238970086218
-2.1429175494862953 -1.6686638077439921;-0.24344849045176
