Point;Valeur
1.0750568202305555 4.644370343904757;-0.13407136101693
0.17405706904648177 3.743370357224119;-0.17197275526501
-0.16616919343681846 2.9351752265782;-0.03936487815729
-0.5561470140397426 3.5514541684004444;-0.1965926029509
-1.172692269114569 3.976642988118805;-0.17657746916528
-1.6499237995501594 4.1773314987422;-0.009707979606570
-2.142227991327664 4.358650723548125;-0.060930082678432
-1.439139313013809 4.046929614103957;-0.11489654196717
-0.9133729347852266 3.6837392263783624;-0.10972273443396
-0.49150175567684284 3.2649921405210525;-0.08800910563128
-0.20687980160203545 2.83430192412508;-0.016879811215457
-0.12803657512731964 2.5962915078176056;-0.36726067774982
-0.14708083582774126 2.6807804705056157;-0.3025280226543
-0.03476001044431959 2.2756074221279747;-0.09360884000579
0.005959565147023831 1.819939441736877;-0.003143559021524
0.003959447662975018 1.7175780606029663;-0.2332382444136
-0.0059993105702849485 1.1533344651839552;-0.48501613546406
0.022329476143096768 0.5875830593934739;-0.7896851866252
-0.16207296851480757 0.14391181290087424;-0.07048667489076
0.6933983720107154 -0.0711115788757056;-0.22802212574124
-0.10869963428445384 -0.020034474909776223;-0.6191109138424
0.5536551532462631 0.09071308400401677;-0.8810530704000
0.26774667230805793 0.04587130595636032;-0.003424357866031
0.34272272106546553 0.058176134253770315;-0.23543941460350
0.8012382575719179 0.14469845908308498;-0.025362637190677
0.9592563099278847 0.17685142514400193;-0.6670578315168
1.2525055488172248 0.2412211798893032;-0.028292169654076
1.1103300205133393 0.20820904012610178;-0.5871044517286
0.7890348611419167 0.1308532865359451;-0.006431685891910
0.8596744857719602 0.1459025544049236;-0.2070342884329
1.1764313516686322 0.21960934017417305;-0.28643548183116
0.8683275006991965 0.13603222574199506;-0.23733342293868
1.1618612279383318 0.2064791013598421;-0.36212160197972
0.8744735906212505 0.12425920726559773;-0.25682320446753
1.1458427044952562 0.18918505043404443;-0.44853604311920
0.8839723904712142 0.1133728400632124;-0.29347882792619
1.1407430228715139 0.1734871511936891;-0.48271292134264
0.9019099175668567 0.10493208924225275;-0.37331196436706
1.1474638340423988 0.1608818607500713;-0.4607604077170
0.9221721661329866 0.09716530330908613;-0.4655988939555
1.1481843123255335 0.14673263355486924;-0.4660796441735
0.9363493416166484 0.08890078721715375;-0.5269777750308
1.1407676115066732 0.13144663586189959;-0.5075817653687
0.9441426724742047 0.08066212087588735;-0.5580559610231
1.1324148500772966 0.11752370749424747;-0.5504047019562
0.9514528803106674 0.07367134710869187;-0.5866353753507
1.1249123755511397 0.10563606797561897;-0.5863808758944
0.9586994573561552 0.06790501881161048;-0.61421566516
1.1179739156838768 0.09562589973756956;-0.6172029712427
0.9655598457589245 0.06317624043327398;-0.6392276846477
1.111521198311094 0.0872836808880503;-0.6436509500845
0.9719511859106934 0.059324688956166466;-0.661324876509
1.105528564508461 0.08037655127574603;-0.6662665850750
0.977860460879753 0.056205379805299285;-0.680552782661
1.0999798012026454 0.07467638257089193;-0.685519714949
0.9833006479957416 0.05369080238661969;-0.6971131394474
1.0948576549836437 0.0699766206612436;-0.7018407356512
0.9882954707465466 0.05167199824762929;-0.711269597685
1.09014187564564 0.06609897999366227;-0.7156243274489
0.9928729694132693 0.05005774301635317;-0.7233022704328
1.085809712130173 0.06289400731299818;-0.7272277305378
0.9970624717048109 0.04877265007748303;-0.7334842707468
1.0818369413196915 0.06023860409417538;-0.736969526221
1.0008930700724465 0.047754902137625344;-0.7420697545600
1.0781988265965632 0.058032397421267964;-0.745130058681
1.0043928339912802 0.04695402138358475;-0.7492884503473
1.0748708539095382 0.05619396698890536;-0.7519532894820
1.0075884069657968 0.046328869357188725;-0.7553439432763
1.0718292441497097 0.05465739423171709;-0.7576495957782
1.0105048159319365 0.045845938999797886;-0.7604141123113
1.0690512833372767 0.05336930133917534;-0.7623990609202
1.013165402561933 0.045477935953761775;-0.7646527464533
1.0665155167949303 0.052286398952889473;-0.7663549198519
1.0155918262777734 0.045202618035099104;-0.7681917408745
1.0642018464958778 0.05137349584193401;-0.7696469333694
1.0178041097968056 0.04500185327975837;-0.7711435066074
1.062091561693624 0.05060190174753281;-0.7723845540079
1.01982070955982 0.044860857778384826;-0.7736033752455
1.0601673248845196 0.04994815311314186;-0.77465981032
1.0216586000312577 0.04476757912304715;-0.7756518744892
1.0584131288404055 0.0493929986919296;-0.7765498797243
1.0233333648311027 0.04471219692205321;-0.7773568103315
1.0568142357496868 0.04892059194881196;-0.7781193478683
1.0248592901463993 0.04468671717885322;-0.7787751292210
1.0553571061294882 0.0485178470933706;-0.7794221693889
1.0262494574532535 0.044684642009011705;-0.7799545564043
1.0540293227550588 0.0481739242936767;-0.7805033539112
1.0275158336457546 0.044700699960631654;-0.7809350199705
