Point;Valeur
1.2967761623134137 -2.98888272132946;-0.1604037542049
1.2857814664400233 -2.995433730093841;-0.15760010318668
1.2738367339787526 -2.9986459983174103;-0.16053608091266
1.260989243274711 -2.9986369265073534;-0.16896894279782
1.2472916605275586 -2.9955378396186805;-0.1825010807960
1.2328100525500887 -2.989513616018717;-0.2003942361306
1.217635503898871 -2.9807918024948745;-0.22133447403551
1.2018968401224077 -2.9696955011602326;-0.24326895845893
1.1857706906683296 -2.9566708329754823;-0.2634812064607
1.1694842179716531 -2.9422970136687647;-0.2790381619913
1.1533065721480205 -2.927268302602377;-0.2875635471137
1.1375283981329833 -2.912344863675341;-0.28802732466457
1.1224336702612177 -2.8982821672484658;-0.2811179325695
1.108271904991399 -2.885758884724493;-0.26896919735368
1.0952386444651856 -2.8753238790081515;-0.2544170791306
1.0834680433248423 -2.8673732651245754;-0.24020634862884
1.0730362821455437 -2.8621554825517186;-0.2284794288274
1.0639713219784614 -2.8597935818205324;-0.2206186844656
1.0562640690793106 -2.8603121436737795;-0.21732009306447
1.0498773775833472 -2.863659299600443;-0.21873468900796
1.0447511616277894 -2.8697189115667725;-0.22456930836410
1.0408034665382346 -2.8783121059344663;-0.23411545270394
1.0379285147306838 -2.889190581549654;-0.24623841571549
1.0359935887929763 -2.9020266042968346;-0.25939881718846
1.0348371418314057 -2.9164062971295217;-0.27178607790446
1.0342705166600201 -2.9318330651519986;-0.28160288159769
1.0340848174935915 -2.947745846413306;-0.2874520149223
1.0340627974976238 -2.9635522061068187;-0.28868612796444
1.0339936688165492 -2.9786706263542184;-0.28556077665322
1.0336874915104948 -2.9925725122606948;-0.2791173246572
1.032985979405398 -3.0048146491619683;-0.2708599119832
1.031768037987626 -3.0150568857460165;-0.26237740452314
1.0299502353083672 -3.023065224140886;-0.2550463133673
1.027483770039335 -3.0287045560486656;-0.24987073028680
1.024349945101034 -3.0319267473758242;-0.2474394818749
1.0205558425949266 -3.0327590170639747;-0.2479475656869
1.0161312134444846 -3.0312956560559488;-0.25123550926063
1.0111268609487387 -3.0276940094104154;-0.25682579692935
1.0056141710288145 -3.0221737802813293;-0.2639619032802
0.9996849830947021 -3.015017305091741;-0.27167212905409
0.993450751623958 -3.0065676569974142;-0.27888105835885
0.9870399927712908 -2.9972215012213175;-0.2845733668950
0.9805934019385597 -2.987414755263011;-0.28798318547037
0.9742567210900943 -2.97760118531494;-0.2887539050015
0.9681722132541787 -2.968226459799736;-0.2870094876694
0.9624701377995704 -2.959701878191874;-0.28330793374293
0.9572616549264154 -2.952382180783807;-0.2784953209178
0.9526341096795503 -2.94655044797593;-0.2735150650210
0.9486489032513068 -2.9424108482783113;-0.26923189231556
0.9453414942401231 -2.940087936645702;-0.2663076604986
0.9427227200803866 -2.9396300793158106;-0.26513652212385
0.9407806330156334 -2.9410145490190436;-0.265827511248
0.9394823057140295 -2.944152607354512;-0.26821868935651
0.9387754300543701 -2.948894018825756;-0.27191351451800
0.9385898768845768 -2.955031514395838;-0.2763385606615
0.9388396096368709 -2.9623064386818734;-0.28082506723248
0.9394253914858277 -2.9704169787876906;-0.284711963254
0.9402385767771658 -2.979029917916501;-0.28745698952714
0.9411659730790869 -2.9877959006630856;-0.28873200466997
0.9420954046761556 -2.996367063513544;-0.28847652455759
0.9429213410040633 -3.0044150164631342;-0.28689382705330
0.9435498859426771 -3.0116469216213444;-0.28439247431346
0.9439025797056709 -3.017817888296742;-0.28149313025881
0.9439187682222924 -3.022738857998081;-0.27872767120945
0.9435566161034742 -3.02628017793346;-0.27655328789461
0.9427930653347848 -3.0283717936866457;-0.2752935821874
0.9416231210830303 -3.0290012593414826;-0.27510836633601
0.9400587909596239 -3.028210600072243;-0.2759881268513
0.9381278658193034 -3.0260926275192843;-0.27776819083257
0.9358725694160499 -3.022786795507568;-0.28015925419169
0.9333479735119252 -3.01847426242003;-0.28279227177621
0.9306200114097718 -3.0133716183575587;-0.2852748797006
0.9277629443987504 -3.0077228011175654;-0.2872533473255
0.9248562370621395 -3.0017890509357676;-0.2884701610399
0.9219809478224652 -2.9958372416086445;-0.288805371378
0.9192158892953682 -2.990127409827573;-0.28829191634678
0.9166339046739299 -2.9849006082092924;-0.2871013239147
0.9142986071619756 -2.9803682170467036;-0.28550412574
0.9122618413039968 -2.976703568830444;-0.2838155385229
0.9105619843862488 -2.9740362848545234;-0.28233910774447
0.9092230651862451 -2.972449264369821;-0.2813190189797
0.9082545802522979 -2.971977948009969;-0.2809075327219
0.9076518544358134 -2.9726113648017787;-0.2811497657192
0.9073968160893856 -2.9742945463754658;-0.2819851813144
0.9074591137342662 -2.9769320741837353;-0.28326372573451
0.9077975596076477 -2.9803927162504222;-0.2847737911603
0.908361920195706 -2.984515223321951;-0.28627828812864
0.9090950699319654 -2.9891153413327043;-0.28755381858147
0.9099354819476198 -2.993993957821034;-0.28842673739782
0.9108199639203435 -2.998946082399486;-0.28879967334242
0.9116864820249937 -3.0037701454305874;-0.2886635424526
0.912476876564996 -3.0082769666578013;-0.2880931552010
0.9131392744520674 -3.0122977480514175;-0.2872282582148
