Point;Valeur
1.9779230354089643 3.475107494785262;-0.03469540804994
2.5904562181835797 4.087640677559877;-0.07639112411707
2.5493505130263974 4.092866371281569;-0.09202148896895
2.160115966906198 3.749216504934806;-0.08033125242115
1.498409182199282 3.1170519954448555;-0.02641712374090
1.123109393208546 2.8361435401937003;-0.21930127366212
1.0809446011591706 2.9889634267385508;-0.2700170853325
0.8948826706723225 2.929852138603;-0.23785520403907
0.9065972155899891 3.1636853892107677;-0.10511561551237
0.7148645561175624 3.0613804262278266;-0.2880727880105
0.5069994469389345 2.926938585138478;-0.08366059429665
0.4279788621204125 3.0847144609572164;-0.2842181855204
0.37630503877458843 3.3138486269487846;-0.04192421760607
0.26664819639883863 3.338160731975061;-0.02721928415616
0.12400119488040767 3.207913491117972;-0.23470454950589
-0.039992274713100184 2.8857419444506798;-0.0004524982502090
-0.2033132417357847 2.5887383418220424;-0.36629960485630
-0.3784354054519945 2.3532666715617903;-0.010992188655241
-0.6065240589321527 2.23908633418548;-0.0200319717299
-0.7046091720957569 1.9796192219437712;-0.47451093321897
-0.7333511533491722 1.660803339891407;-0.005742306040135
-0.6466873158040987 1.2621031259129432;-0.24681839647407
-1.0573440818336892 1.319502206419382;-0.32933726500182
-0.9067768022846623 1.0889487763693038;-0.2427925557075
-1.1545640362635012 1.139858211865967;-0.5470428098611
-1.1417882006486593 1.0432071495932693;-0.6126854254886
-1.2101916871617715 0.993475371506998;-0.6194359920687
-1.2699436815503786 0.9399679662905324;-0.6138729431535
-1.2498597548239616 0.8504652581092924;-0.5598455481087
-1.4674923399824769 0.8701326990504616;-0.2742347029435
-1.3134854976734465 0.7360823185376316;-0.5456785426120
-1.3855729163311648 0.7027994242023334;-0.617061733046
-1.4990052704700378 0.6871644926504451;-0.47357101602328
-1.3418792356779772 0.566779697121087;-0.3920006277901
-1.478253717475101 0.5628562206110694;-0.6125214433169
-1.5532312875090977 0.5367524480765057;-0.4907736419430
-1.4079391016005167 0.4341466969830509;-0.4507709622279
-1.502273695692439 0.4111137434773333;-0.6185397756942
-1.615838037595717 0.3943601008778534;-0.4271046816397
-1.5030464342872358 0.31513115395286206;-0.6016389609927
-1.472912181850586 0.2567482162374262;-0.5180915858681
-1.6174501556781653 0.23634385642963412;-0.5158021003746
-1.5902856934438852 0.18520342131660475;-0.5896079654751
-1.469223165569788 0.12025937488284515;-0.4533935289250
-1.5458798750521436 0.0772669032374532;-0.6135973385433
-1.6630410152725557 0.037507381487035085;-0.42643277843642
-1.5894336752212754 -0.007842897909348105;-0.6052510166084
-1.4568078657368393 -0.052336851647395766;-0.3959420325058
-1.5194434912291577 -0.10659769814067901;-0.5826309586671
-1.6711765535849206 -0.17002444870343203;-0.3693193514982
-1.6409440257576478 -0.2045056835902182;-0.4589053886159
-1.4606588703736256 -0.20762928969144606;-0.4574126801479
-1.438961386119007 -0.24712307601470385;-0.4042041774200
-1.576382499047436 -0.33357566172563136;-0.5713076789413
-1.6259641390332509 -0.38729931138268314;-0.3988911027695
-1.5279394833435351 -0.3775889012121916;-0.6173387976353
-1.412762964478441 -0.35985580827376507;-0.39640026159539
-1.4487057426184078 -0.4114275950017977;-0.5464526501961
-1.5797753602923412 -0.5130806625849786;-0.43471435171460
-1.5786366349220669 -0.5342736893620358;-0.4157427097216
-1.4494901344049838 -0.4720586466089878;-0.5848042463289
-1.3864786683518422 -0.45072045695531915;-0.3964958858111
-1.457894381277433 -0.5136640854277233;-0.6120007857923
-1.5580551682416603 -0.5962242841599714;-0.410080450318
-1.5342458149122216 -0.5859033345740194;-0.49387791636739
-1.408988142333523 -0.4986122242294201;-0.5166635315448
-1.3830233724415841 -0.48074828840461925;-0.41911290274855
-1.4777489925478746 -0.5471324439157925;-0.6164367216424
-1.5540860151481637 -0.599830840008269;-0.418379796797
-1.5157745796685917 -0.563359889980454;-0.5592452956251
-1.4063452822016798 -0.4731458900425437;-0.48465797692241
-1.4014830779620004 -0.45465131185814284;-0.45087002563321
-1.5056572414923566 -0.5094574057311698;-0.6051846443407
-1.5728754255782862 -0.5386219209838149;-0.42954604645099
-1.5315611100072362 -0.4910008105549715;-0.5769794859988
-1.4315701335989728 -0.40420907877310636;-0.4961030531497
-1.4292613160726013 -0.3753988505011049;-0.46530625797779
-1.5296825361289623 -0.40433404291164005;-0.6121773265969
-1.603938291362117 -0.4188240251575629;-0.4456323568155
-1.574414604117973 -0.37583981111687054;-0.5557627207478
-1.4759619714963503 -0.29754682769140123;-0.5456272080226
-1.4547683486805805 -0.2531936149549732;-0.461695107623
-1.5353045385205901 -0.24807410520851983;-0.6177499213650
-1.6273200339731508 -0.24733902280578224;-0.4827905442624
-1.6245062966278503 -0.2152333182272296;-0.5043746290029
-1.535102483605934 -0.15771236255805612;-0.6097707988502
-1.4749424127642148 -0.10725225045218642;-0.46887691258315
-1.513676011742028 -0.07340181479097346;-0.5677575719529
-1.6142010719108362 -0.046773604999090834;-0.5639726882628
-1.6502717594032095 -0.016208999406478956;-0.46935330960853
-1.5926669044552164 0.016179928218802674;-0.6013605311448
-1.4988878117303643 0.04738589978680585;-0.5303440129640
-1.4841549051307494 0.08403926013314353;-0.493051841034
-1.5578099436578268 0.13216591960915286;-0.6194898755741
-1.6316754347885591 0.18000431195699443;-0.49605371248511
-1.6202425152876023 0.2051994026255248;-0.5197313325515
-1.532403971190565 0.2067450449646069;-0.6124426537826
-1.4679422807638796 0.215566851733537;-0.4842901098116
-1.491977476438026 0.2554428593882339;-0.564028148697
-1.5752086604427695 0.31977686173195674;-0.578832396705
-1.607048509028569 0.35840381696722146;-0.48120507748053
-1.555277737323544 0.3509116805513221;-0.5992764605053
-1.4684433300740674 0.3236168291112839;-0.5407480061831
-1.4506192338076613 0.3335469695211724;-0.49889517906456
-1.512921756267544 0.3890615568915024;-0.6194174989732
-1.576964677367137 0.445497121858565;-0.504427679584
-1.5649992569209246 0.4482080454897508;-0.5335659483274
-1.4869367616003646 0.4032279115135788;-0.6072691058298
-1.4369209613480927 0.37718194288857604;-0.49020701178052
-1.4674848012995696 0.4042058542075918;-0.5807591966503
-1.5446125680194411 0.4635527685537457;-0.5685391046579
-1.5688521267201243 0.4827802882781105;-0.49640439216529
-1.5183572883379266 0.4436758444152174;-0.612467878366
-1.4483961339704026 0.3900924763467235;-0.5313219384500
-1.4465326204526876 0.3830860301833287;-0.5216247639153
-1.5143556758475465 0.4232669251618159;-0.617949198140
-1.572194094926569 0.4563494347945554;-0.5089629488138
-1.558621864856802 0.436536683029084;-0.5558807224213
-1.4892470221517 0.376648105001004;-0.6021503477403
