Point;Valeur
2.4176677113258833 2.9014192402056223;-0.13478058622063
2.4168134379444597 2.9003940278930496;-0.13655894659396
2.415961444923714 2.899371550977575;-0.1383275944297
2.415111938987156 2.89835205755065;-0.14008570275923
2.414265124068155 2.8973357923559098;-0.14183246404775
2.4134212010730924 2.8963229965049155;-0.1435670916178
2.412580367653135 2.8953139072032767;-0.14528882099018
2.411742817985185 2.894308757487693;-0.14699691113868
2.410908742562618 2.8933077759748898;-0.14869064565437
2.4100783279962785 2.892311186622709;-0.15036933381627
2.4092517568261633 2.8913192085041444;-0.15203231156559
2.4084292073441715 2.8903320555945924;-0.1536789423817
2.407610853428324 2.8893499365728683;-0.15530861805809
2.4067968643886353 2.8883730546362356;-0.15692075937734
2.4059874048249332 2.887401607329755;-0.158514816685
2.405182634496743 2.8864357863901047;-0.1600902703644
2.4043827082053726 2.885475777604088;-0.16164663120646
2.4035877756882917 2.8845217606818196;-0.16318344068740
2.4027979815257448 2.8835739091446335;-0.16470027114484
2.4020134650595835 2.8826323902276667;-0.166196725861
2.4012343603242314 2.8816973647970077;-0.16767243905426
2.400460795989641 2.8807689872811757;-0.1691270757810
2.3996928953160546 2.879847405616862;-0.17056033175386
2.398930776120372 2.87893276120847;-0.17197193307647
2.398174550753757 2.8780251889013098;-0.17336163590276
2.397424326090353 2.877124816967977;-0.174729226021
2.396680203526661 2.8762317671076016;-0.17607451837542
2.395942278991227 2.8753461544574517;-0.17739735650948
2.3952106429642805 2.874468087616495;-0.17869761196915
2.3944853805069357 2.8735976686803935;-0.17997518363746
2.393766571299477 2.872734993287466;-0.18122999702528
2.3930542896883185 2.87188015067499;-0.18246200351676
2.39234860474114 2.871033223745388;-0.18367117957493
2.391649580309841 2.8701942891417147;-0.18485752591243
2.390957275100642 2.8693634173318117;-0.18602106663221
2.3902717427510503 2.868540672700644;-0.18716184834260
2.3895930319131233 2.8677261136501713;-0.18827993925140
2.388921186342472 2.866919792706218;-0.18937542824328
2.388256244992723 2.8661217566317276;-0.19044842394468
2.3875982421146995 2.865332046545867;-0.191499053780
2.3869472073601097 2.8645506980483852;-0.19252746302441
2.3863031658891085 2.8637777413487;-0.19353381385223
2.3856661384813482 2.863013201399182;-0.19451828439202
2.3850361416501014 2.8622570980320403;-0.19548106778382
2.384413187758967 2.861509446099441;-0.19642237124606
2.383797285140828 2.8607702556162096;-0.19734241515340
2.383188438218557 2.860039531904701;-0.1982414321282
2.3825866476272624 2.859317275741456;-0.19911966614792
2.3819919103375007 2.8586034835051217;-0.19997737167017
2.38140421977928 2.857898147325211;-0.2008148127780
2.380823565966432 2.8572012552313693;-0.20163226234644
2.3802499356211015 2.8565127913027686;-0.20243000123151
2.3796833122980354 2.855832735817249;-0.2032083174839
2.379123676508342 2.8551610653998316;-0.20396750558764
2.3785710058425815 2.8544977531704587;-0.2047078657242
2.3780252750928708 2.8538427688904924;-0.20542970306451
2.377486456373768 2.853196079107808;-0.20613332708652
2.376954519241788 2.852557647300208;-0.20681905092225
2.376429430813357 2.851927434016967;-0.2074871907313
2.375911155880968 2.8513053970182414;-0.20813806510336
2.375399657027462 2.850691491412216;-0.20877199448771
2.3748948947382824 2.8500856697897876;-0.20938930065178
2.3743968275115135 2.8494878823566574;-0.20999030616657
2.3739054119656884 2.8488980770626977;-0.21057533391980
2.373420602945202 2.8483161997284294;-0.21114470665599
2.37294235362328 2.84774219416863;-0.21169874654310
2.372470615602408 2.8471760023128283;-0.21223777476526
2.372005339012166 2.846617564322745;-0.21276211114081
2.3715464726044813 2.8460668187065687;-0.21327207376528
