Point;Valeur
2.4176677113258833 2.9014192402056223;-0.13478058622063
0.9023476132488197 1.3860990763137735;-0.45795065850557
-0.4663810611165531 -0.03454619630987432;-0.8452955596450
-1.7840667811554638 -0.16728922165066074;-0.03243194604386
-1.1988718796685125 -0.0864317256632211;-0.26347305608829
-0.08249846588600329 0.08789269825430596;-0.5599336494881
0.7949969746630501 -1.2061937888390468;-0.3471824010934
1.2324432835766812 -2.016534078947495;-0.0007643189233534
1.2565784524307675 -2.0642673193003627;-0.05117710025797
1.438290357850807 -2.4206038586002316;-0.047236742938781
1.2761687691156092 -2.0998740084550933;-0.1294025364337
1.5307901920872675 -2.573855901578038;-0.1247551509319
1.7362864351221194 -2.9557163351075904;-0.005480877933540
1.788506486781877 -3.053564348370484;-0.1275690473231
1.9563491175982954 -3.365023274259127;-0.008874721562160
1.8941030063140687 -3.248690962429789;-0.15586823483092
1.735682703872092 -2.9579877326110693;-0.006232302098366
1.7958686732843177 -3.067287186163662;-0.14890129607288
1.9701304214420063 -3.3805295118725436;-0.001514631020503
1.941951067583584 -3.329430983549437;-0.03777450981726
1.807812763947424 -3.089487974924519;-0.18042006897711
1.9663187581493813 -3.3687571694257246;-0.005163371420916
1.9111514548717214 -3.271262393965504;-0.11872381708448
1.7170338071645947 -2.935143684108458;-7.837977705152538e
1.7091704971833477 -2.921223422033771;-0.00331283527263
1.6564301824752365 -2.8298209046401213;-0.12504920418830
1.4013147169632405 -2.4012821468278713;-0.10783462612118
1.1037233603015795 -1.9166471011402026;-0.2613845007755
0.6888564268312707 -1.2725764490687468;-0.35635821767156
1.2013231415558674 -2.0460835733182803;-0.0040533685465
1.2738807105244148 -2.1465279974889855;-0.21650774871204
1.606696403795337 -2.59473161420653;-0.22150921051440
1.8383345243255416 -2.8915159818960863;-0.004819578461040
1.9057095315976016 -2.97526029039599;-0.11982349329876
2.137997895202956 -3.2609069197548624;-0.005696347269196
2.067571674604197 -3.176139036249104;-0.1171090733884
1.833643580029121 -2.8947926605271985;-0.004924897792395
1.9063271076219093 -2.984322058100263;-0.13096295559905
2.1515598266303324 -3.2828024351399785;-2.8008307389123663e
2.146329225346375 -3.276373941944974;-0.0007716003341196
2.117866086463503 -3.242369812837381;-0.021511015411543
1.9697860808547567 -3.066300354284106;-0.2278963749330
2.017214743839654 -3.123826936954455;-0.2021683378301
1.8416194484005017 -2.9137465914218827;-0.016816839766253
1.9898487166363208 -3.094426878668366;-0.22655523350808
1.9239176831809013 -3.0156299086325626;-0.1775675659851
2.165130039728233 -3.3056677480574357;-0.004417544169808
2.241410188918691 -3.3946784757436768;-0.10899034047982
2.4852794234131688 -3.676504498764963;-0.0010056707955535
2.4498431551113304 -3.6362985140968305;-0.025645309500357
2.277978340688971 -3.4418815357567376;-0.16552761121342
2.4405113759356536 -3.628727645919572;-0.034798297001334
2.2394271536696007 -3.4018910150435167;-0.11446005730564
2.499926473778352 -3.7005435329068677;-0.0013933620465832
2.544794532209396 -3.750429175882522;-0.03613147474533
2.745217519421821 -3.9727092208999037;-0.08575563849921
2.5150390406650356 -3.72247332314191;-0.010223448875526
2.6375444956209915 -3.8583937624048787;-0.14660073683048
2.733843006481064 -3.964313833256363;-0.09757840494821
2.4987225522465466 -3.7090861342167885;-0.0027966549043182
2.5684895006632287 -3.7863703883678754;-0.0742992718364
2.8259937966594886 -4.069640192638604;-0.0019235624629262
2.769731907241104 -4.0089724830527675;-0.04716566242422
2.5302610238263905 -3.7507924890655175;-0.030056741100844
2.746176274371558 -3.9884393978089383;-0.07361239009411
2.4808801772959965 -3.702877629175386;-0.000258512380687
2.5043197880242194 -3.728532518087814;-0.009771236942463
2.6448288868985808 -3.8831863758782754;-0.15231822079388
2.675890681209281 -3.917210297931585;-0.14557269406562
2.552232266185539 -3.7834989357613678;-0.06363108495291
2.845493175534523 -4.103925905373109;-0.0019244499252668
2.9098096628147583 -4.17206351404069;-0.05218782397193
3.167080438213664 -4.443455629262681;-0.007079988141324
3.0491520853292178 -4.321539025827625;-0.11289033882397
2.8793013339842983 -4.144710117672409;-0.0241008578001
3.095876842460586 -4.3735129311333605;-0.0673817775813
2.8254595158506155 -4.093310049533589;-8.683623424871272e
2.8240521734849184 -4.091546305024155;-3.567312520020774e
2.814240474771311 -4.08084406770586;-0.0014596524313077
2.749502843038813 -4.011715535276973;-0.054954143203012
2.4243826298201685 -3.664877531892836;-0.018908695397315
2.1818855667189583 -3.3973989021584803;-0.07486262008450
2.5840509121619464 -3.849204930097959;-0.1262823007458
2.846016287196983 -4.130341114697177;-0.008424922461787
2.99834432621455 -4.289186000432376;-0.1274068287511
2.991172778191672 -4.282067180298896;-0.12712843089743
3.021271550717418 -4.313342723018587;-0.12195113053954
2.8916389600479295 -4.180441331713509;-0.049529395103332
3.207977243013584 -4.5088265447337275;-0.005250585963410
3.332385439607961 -4.634173681129719;-0.09917257121800
3.4878517736456356 -4.789640969155916;-0.030555034371770
3.229907885227339 -4.535060059964187;-0.0189485941516
3.457119482980643 -4.764048323847338;-0.054384539517476
3.1652396415896087 -4.4750265784503895;-0.00114657542799
3.1012843051635537 -4.409782770388901;-0.04314754745760
2.7755306088360334 -4.077205044162128;-0.008750444451322
2.587813484513715 -3.879138217991798;-0.14217536295304
2.801326661632286 -4.1086364308946095;-1.0251778776414098e
2.7946619993620927 -4.1012902029612155;-0.0006360452270290
