Point;Valeur
2.7940483238434943 2.171814348681562;-0.12766230552279
2.7911432199778816 2.1676684383767464;-0.12088924604721
2.7942419017388795 2.1684730870322584;-0.12501165924761
2.8023719405194916 2.1734261654893383;-0.13814070254260
2.814533773675752 2.181712448749559;-0.15780829628413
2.82957009958722 2.192401294786396;-0.18041486140813
2.8461348531956796 2.2044217306232357;-0.2015627168119
2.8628046728796006 2.2166479875651213;-0.21749565878239
2.878283300237515 2.228056970472226;-0.22659474329381
2.8915852194552176 2.2378696269019103;-0.22965215135930
2.902117493433321 2.24561356253536;-0.2288771775097
2.909660028759158 2.2511071620307757;-0.22661469655420
2.9142910094279872 2.25440141473789;-0.22455483589194
2.9163010005802654 2.2557130932209346;-0.22353543339111
2.9161170421539566 2.2553657528366347;-0.2236936418533
2.9142406971764694 2.2537415947598327;-0.22473400003028
2.9111970335201205 2.2512418371610745;-0.22618882547032
2.9074916762267415 2.2482533671732248;-0.22761835682918
2.903575731721639 2.245121510162998;-0.22872903898503
2.8998202692299415 2.2421302116932464;-0.2294080842951
2.8965019431303674 2.239490850398977;-0.22969252918832
2.8937997978670764 2.237339708962752;-0.22970475287610
2.891801554235904 2.2357427842737994;-0.2295865758814
2.89051663138511 2.2347058116081797;-0.2294527944052
2.889892993847313 2.2341872510977265;-0.22937059920832
2.889835327624199 2.2341123060449433;-0.229360642121
PointOptimal;ValeurOptimale
[2.88983533 2.23411231];-0.229360642121424
Temps;Nb iteration
0.002022266387939453;25
