Point;Valeur
3.380820083908829 0.15252192779447693;-0.0033963616562358
3.336199786424581 0.14200591040277563;-0.03724373199369
3.183620371032337 0.12783774151529526;-0.2628937531614
2.9485182856410725 0.11124211934964996;-0.053505094366205
2.8800451026439617 0.10178280190669406;-4.916848938028569e
2.8240614938568807 0.09353528050747119;-0.03405126045227
2.650342522448805 0.08208605820213612;-0.34805709083112
2.392498636293726 0.06870045282857846;-0.020241252864461
2.2699072422926223 0.059855215797851455;-0.1052281820925
1.9292899038660465 0.04587073497835434;-0.15715960387557
1.9067516623735 0.04010223150347105;-0.09805221944821
2.129416022759545 0.040077310388832055;-0.4477803919018
2.1878648560434604 0.03742491259817573;-0.3256077340450
1.974562280576982 0.030520686074359458;-0.28740306787394
2.0741600100577773 0.028857668467219297;-0.47482751399927
2.2081744736589304 0.02801231800188189;-0.2707983589963
2.0463957641425687 0.023688489733873296;-0.44931134831177
2.0403929926041178 0.021442668908710383;-0.44051122327757
2.191557888262604 0.0210940422125417;-0.3164138785080
2.0569201454085335 0.018187277507244772;-0.46189739869750
2.041363105193819 0.016526200962669123;-0.4419322506678
2.181234870430994 0.01629727471058099;-0.3434090015167
2.0492961620403887 0.01417228527606199;-0.4530346856173
2.0609759857181467 0.013178142458958632;-0.46578672756453
2.162280591022122 0.012877916343200065;-0.3886304736491
2.0294295436247918 0.011277982302445777;-0.4216108549540
2.099572895345059 0.010906318065244312;-0.47525496472540
2.1198594093345577 0.010356517991791237;-0.45999627562493
2.0286306979152915 0.009331489179195192;-0.4200924659198
2.1380336893061274 0.009301263049442872;-0.43537791782511
2.0718492259018926 0.008559624802689196;-0.47359643626205
2.066933515973307 0.008124630281845702;-0.47054828070256
2.1334100456636875 0.008018371374672775;-0.4425677736114
2.04216725864606 0.007355520521829671;-0.44306718540807
2.1124015029877126 0.007315302425571109;-0.4671814952774
2.089732298822308 0.006983090000541096;-0.47769468033641
2.0614439559466518 0.00666069982877638;-0.4661772780830
2.1257142913660014 0.0066654971463849955;-0.4531573771819
2.0554446378762297 0.006267548016786908;-0.46025940269937
2.1022659027892354 0.0062500047914360235;-0.47402291715384
2.092674989259425 0.006081279285601607;-0.4773150620563
2.065826371140774 0.005877965574949118;-0.46974343867302
2.1165789827163204 0.005911707679050984;-0.46338756273493
2.062997403702076 0.005664040304657412;-0.46751297508486
2.0995408273941707 0.00567738313438798;-0.4752768247290
2.090103390297505 0.00557525722008603;-0.4776635286073
2.0723168363615563 0.00545956672826352;-0.4738380014656
2.1088995576376615 0.005496406638988896;-0.4699328637958
2.067876695371923 0.005336111427189619;-0.471190391324
2.0990290256687425 0.005370130765186942;-0.4754844695233
2.086548747491948 0.00529702930268334;-0.4777702993502
2.0784191580764997 0.005240045033297534;-0.4763772968890
2.102461844968008 0.005269379783365258;-0.47392452831735
2.0719411779501375 0.005164558502307852;-0.4736396043377
2.09848838183073 0.005206876338264623;-0.4756939662775
2.0837643180042633 0.005148895364807511;-0.477549706223
2.083335672802187 0.0051293511682250865;-0.47749199611434
2.0971230656027737 0.005147613761471792;-0.47617843935079
2.0757329345734603 0.005080865792162894;-0.4754165975428
2.097298968313233 0.005122251866633802;-0.47611960877959
2.0822271263888443 0.005075004311041602;-0.47731336000520
2.086843191248621 0.005077758883552094;-0.47777798251047
2.0929062683315696 0.005085440313626622;-0.47727310542911
2.0791978886506826 0.005045823143995203;-0.47660922490999
2.095569982208905 0.005081016259568259;-0.4766523321368
2.0818302222237355 0.00504343989767641;-0.4772390920492
2.0890141558505126 0.005057916328893841;-0.477742554965
2.089810290871701 0.005057537554498762;-0.47768889558698
2.082154374538845 0.005037181033776945;-0.4773001392754
2.0936242718796407 0.0050641592610919045;-0.47712969895235
2.082243022039255 0.0050358541673618555;-0.47731620358194
2.0900886928697644 0.005054990546190178;-0.4776649856356
2.087739745187563 0.0050496528964854605;-0.4777830306114
2.0844840719346114 0.005042480322894427;-0.4776323192853
2.091756324443273 0.005061366380442464;-0.47746597763681
2.083109183206104 0.005041652096663104;-0.47745891573689
2.090371692574134 0.005061093302901636;-0.4776379467679
2.086520813585867 0.005053599834181686;-0.47776939473433
2.086170738005341 0.005054882171624131;-0.47775601342868
2.090155161096355 0.005066960736595867;-0.47765888013206
2.084138733641098 0.005054724425479455;-0.47759489845184
2.090156606267273 0.005072114492793061;-0.47765874459132
2.085944886079574 0.005064569874600519;-0.47774513961275
2.087278745673433 0.005070742363816776;-0.47778389388861
2.088904763256271 0.005077738447211495;-0.477748221023
2.0851345044498286 0.005071583203700912;-0.4776916448146
2.089683214541538 0.005085946376373524;-0.47769891799040
2.085808377230209 0.005079682232270239;-0.47773771608207
2.0879172629692957 0.005088201953537842;-0.4777807443048
2.088011121325327 0.0050918235858664765;-0.4777790970918
PointOptimal;ValeurOptimale
[2.08801112 0.00509182];-0.4777790970918729
Temps;Nb iteration
0.007099628448486328;89
