Point;Valeur
3.6633149460029673 -4.954897100850681;-0.05322382682043
3.7127566396799203 -5.004338796966311;-0.084604321698
3.7481158466919444 -5.03964071590203;-0.09204598165154
3.7467315508668513 -5.038328940016626;-0.0920525044134
3.7470892420342667 -5.0387491011366246;-0.092053015825
3.7469361766679636 -5.038661436025995;-0.09205307405097
3.7469330918876516 -5.038722892896975;-0.0920530749237
PointOptimal;ValeurOptimale
[ 3.74693309 -5.03872289];-0.0920530749237645
Temps;Nb iteration
0.0005478858947753906;6
