Point;Valeur
4.2988397297019985 -0.790802767689561;-0.03659159537247
2.533839741991306 0.9741968694944443;-0.24615116627789
0.919598522561236 -0.7525430731957303;-0.32455585348618
-0.5966044890365929 0.9549596682502544;-0.6018332955123
0.20696729858781782 -0.36521652382785463;-0.6318282039560
1.0814897255005012 -1.6331326492236482;-0.2407149163669
1.5985537320405214 -2.2602429544182963;-0.13168361363918
1.227120049320281 -1.841019965968106;-0.2592137822436
0.7610197394264602 -1.2912482524369178;-0.5281868574694
1.1576622022116607 -1.8106535967733173;-0.41587236072433
0.8609134866928154 -1.4553214011374696;-0.32926226663678
0.34978084927970676 -0.8113185077868211;-0.2579534464774
0.8281978705508399 -1.58369075886888;-0.04028612211022
0.6141629200202652 -1.2999412147253417;-0.3210466524453
1.0309850217822065 -1.8921070710606505;-0.4046963934565
0.7826920042999921 -1.5880390829202478;-0.07441666056139
0.5250203851087951 -1.2416800536824757;-0.03718872818752
0.7051593183583059 -1.5211435235809745;-0.3805958070247
0.33960854166695553 -1.0140198386121713;-0.7639772514842
0.21978786116147953 -0.7858156936361023;-0.02853018378306
0.34021898628494573 -1.057872608197876;-0.6567487887748
0.08456173524096527 -0.5694388177780494;-0.8361961942720
-0.03781563654621059 -0.08192665489954604;-0.7329382471051
0.47448138099699877 0.5588322585525831;-0.08400963821194
0.023778041935263894 0.2471432098302202;-0.006461559719880
0.0034100590501747637 0.12378570081771481;-0.5402801485636
-0.03378700205741092 -0.5895275914217892;-0.7794210190042
0.01929002426184996 -0.111043845986953;-0.6063662189042
-0.20283778890745457 0.5100342599988823;-0.9087088855967
-0.048844837499035426 0.3213667857431523;-0.13373874624389
-0.18038546722623655 0.7323252661025967;-0.03029302383784
-0.07945649567472338 0.5392496050995919;-0.9154930473135
-0.02676904552700172 0.37070738651633695;-0.3626514800833
-0.1138603254722281 0.9120090476467108;-0.4266446849377
-0.24294555819455305 1.3612480643371254;-0.12408971756212
-0.3605911636483127 1.6446669481186658;-0.3552022940192
-0.1936891269252173 1.3216070936148574;-0.01763294686503
-0.23441319750404466 1.4395399225674208;-0.39867992449064
