Point;Valeur
4.2988397297019985 -0.790802767689561;-0.03659159537247
4.248318685250138 -0.7888760483766548;-0.08689508236893
4.165016465596701 -0.778041803672663;-0.16734644409684
4.111981988709518 -0.7711147397803825;-0.1858442631590
4.100063316949756 -0.7707946958426315;-0.18495981326055
4.104906440986046 -0.7729238435261319;-0.18557510368924
4.109963245986035 -0.7746492282742896;-0.1858372703042
4.111620593737581 -0.7754544383110579;-0.18584129422419
4.11142254853942 -0.7757341129861465;-0.18584253318886
4.110945260452959 -0.7758507117210212;-0.18584464912503
4.110712494549837 -0.7759440326685817;-0.18584471701801
4.110674960732402 -0.776030534864216;-0.18584469132362
PointOptimal;ValeurOptimale
[ 4.11067496 -0.77603053];-0.18584469132362716
Temps;Nb iteration
0.0009307861328125;11
