Point;Valeur
4.650383248924135 -0.9810155712199471;-0.14179761997169
4.4021444526009175 -0.7327767748967291;-0.0008838990129165
4.241358907906788 -0.5531236987980092;-0.13341946560540
3.948345102156687 -0.24794273772060654;-0.00615575880232
3.765145895213201 0.011211081674383061;-0.1499391111684
3.459333783510134 0.26199605612819044;-0.03695354340236
3.327181713951918 0.5934739311354851;-0.0052072871041915
3.147597245070978 0.799313288650536;-0.17810860477987
2.855025340817078 0.6650335381018648;-0.02955508735900
2.6800285413759384 0.6676808026139391;-0.14516244784796
2.3941351989769863 0.4951471881226417;-0.10303539510549
2.272667273402624 0.4703689065108344;-0.01889803864013
2.09413827208809 0.38465591866880755;-0.4486326062466
1.8495283729112073 0.2347864215728447;-0.0192138954214
1.6802697624422536 0.1291562216030416;-0.34981118232487
1.394423880759373 -0.04334951901172751;-0.16411333095776
1.2758823472094738 -0.24053202186350708;-0.0028631763300518
1.1393436140603737 -0.40893541687337526;-0.2271741899011
0.8973829286774164 -0.2977771026540177;-0.5489534963840
0.8036352738848098 -0.3689752656013498;-0.2615251611724
0.8252088767643347 -0.5848850110634269;-0.760279997739
0.8809581076986032 -0.8665734288570286;-0.13106655704309
0.875057386299391 -0.933701558698063;-0.021760997158602
0.8445801416347402 -0.9311578219272458;-0.06721242311313
0.7737359201432846 -0.8237287328795223;-0.5852854002839
0.6411816069596126 -0.5974054061069591;-0.22604150581076
0.5870027929858207 -0.523132933297815;-2.4390821216334557e
0.5342967765182638 -0.45100210433509325;-0.21786030434130
0.4088343925111657 -0.27720809809337266;-0.9130027140900
0.3161673441564659 -0.14248109148340232;-0.2313097347059
0.3190220649406954 -0.0845357836151932;-0.15424923181493
0.3986800437937239 -0.0649998853713199;-0.5450316872080
0.5672932169718152 -0.0764785353597745;-0.8472020117341
0.6749883237156754 -0.07289623120200871;-0.3188563723998
0.6924169797538523 -0.050267346375434924;-0.24140404086307
0.635558525543413 -0.01603604717090805;-0.5553627934940
0.5031609621329259 0.022527725132128147;-0.9269749217069
0.38834007974372364 0.06242213911491792;-0.48499753268326
0.35718228479155617 0.1320399632220597;-0.41388293358643
0.39741150557403593 0.26253184658560663;-0.8721287162964
0.4680623753712628 0.43930636309676313;-0.5214174563602
0.4849411338167845 0.48814812450491063;-0.27174549022674
0.4568659831704556 0.43836907919125767;-0.5695436709920
0.3811022450622014 0.2998416765448788;-0.8945081397851
0.328905196587016 0.19917618531626827;-0.43488445378476
0.33678670037389946 0.17237756128559384;-0.3999447936774
0.40276375575977386 0.20512543124719673;-0.7863220852108
0.5096127681386416 0.27946221954556466;-0.8162658405968
0.5769370244624583 0.31213302764220335;-0.4435219862655
0.5879375056127746 0.2865697526101964;-0.45407620608466
0.5445324535025743 0.210317384877736;-0.8066396987639
0.463428480725382 0.10600702434358283;-0.8695376833525
0.4137844621978835 0.01646498109722286;-0.6012892841600
0.42220408452227237 -0.06765079107602741;-0.672539976384
0.4814351881563584 -0.16769151395752735;-0.932571256635
0.5468014477563229 -0.27163228395999783;-0.6875418604348
0.5663941975978809 -0.32758410836547014;-0.4527135451345
0.538317227483257 -0.325677302984227;-0.5911563107012
0.4665393890053585 -0.26920852074424023;-0.9247997695288
0.38515079642270844 -0.2012420751568837;-0.7073247770393
0.3467627616409457 -0.17857449857837338;-0.4663280720975
0.35672448649607497 -0.20589551407862366;-0.5890892879095
0.41019033697056523 -0.2832569375083994;-0.9203004687689
0.4741355255756703 -0.37512498371977016;-0.7164242231478
