Point;Valeur
-0.8829359981194163 -7.740862592026989;-4.883328900464
19.369015910954836 -28.000857395819587;-18723.10875545
39.62901590986722 -48.26085659015031;-157880352.56003
59.88901579655449 -68.52085643042567;-1400152442823.0
80.14901567798019 -88.78085629608654;-1.2596364640193434e
100.4090155584732 -109.04085616858892;-1.1400813892890532e
120.66901543867061 -129.30085604394378;-1.0350823247098397e
140.92901531874384 -149.56085592076442;-9.414531819928805e
161.18901519875521 -169.82085579843914;-8.572735001699499e
181.44901507873203 -190.0808556766555;-7.812219828208745e
201.7090149586879 -210.34085555523708;-7.123038640773093e
221.96901483863024 -230.60085543407666;-6.497235791737176e
242.2290147185634 -250.8608553131053;-5.928187510393292e
262.4890145984901 -271.1208551922766;-5.410228546861223e
282.74901447841205 -291.38085507155824;-4.938424513119793e
303.0090143583305 -311.64085495092695;-4.508423557893382e
323.26901423824626 -331.9008548303656;-4.116353916665129e
343.5290141181599 -352.1608547098612;-3.758749451640366e
363.78901399807194 -372.420854589404;-3.43249312529526e
384.0490138779826 -392.68085446898607;-3.1347724942433448e
404.3090137578921 -412.9408543486014;-2.86304360274992e
424.5690136378007 -433.200854228245;-2.6150009747195805e
444.8290135177086 -453.46085410791295;-2.3885521896804796e
465.0890133976158 -473.7208539876019;-2.1817960125975296e
485.3490132775225 -493.9808538673092;-1.993003354475695e
505.6090131574287 -514.2408537470325;-1.8206005409567374e
525.8690130373345 -534.50085362677;-1.6631545001547972e+
546.12901291724 -554.76085350652;-1.5193595729925032e+
566.3890127971451 -575.0208533862811;-1.388025714021355e+
586.64901267705 -595.2808532660523;-1.2680678973192548e+
606.9090125569546 -615.5408531458323;-1.1584965763928415e+
627.169012436859 -635.8008530256204;-1.058409072863795e+
647.4290123167633 -656.0608529054158;-9.669817885924955e+
667.6890121966674 -676.3208527852178;-8.834631514737269e+
687.9490120765713 -696.5808526650258;-8.0716721758096e+
708.2090119564751 -716.8408525448392;-7.374678624372861e+
728.4690118363789 -737.1008524246577;-6.737935025227018e+
748.7290117162825 -757.3608523044808;-6.156222950884712e+
768.989011596186 -777.6208521843081;-5.624777702413095e+
789.2490114760893 -797.8808520641393;-5.1392485429788665e+
809.5090113559926 -818.1408519439741;-4.695662477569738e+
809.5090113559926 -818.1408519439741;-4.695662477569738e+
PointOptimal;ValeurOptimale
[ 809.50901136 -818.14085194];-4.695662477569738e+158
Temps;Nb iteration
0.002728700637817383;41
