Point;Valeur
-2.2879582869020476 -8.729261873073671;-6.008971983931
-4.592958210646044 -11.034261870200213;-16.636094842754
-6.754271901858758 -13.165024627910991;-41.25373099852
-9.026114764957072 -15.2639420763605;-103.66230835235
-11.182863374849035 -17.369233973499412;-263.72426343430
-13.30718086415019 -19.477643284527314;-671.477303045
-15.446686269039176 -21.589107698654555;-1719.3585131374
-17.581830603734076 -23.704743390440747;-4421.855971800
-19.713364765507393 -25.823052936554433;-11397.856815176
-21.844914101311552 -27.943180104967432;-29436.807739047
-23.9758188677307 -30.06477501231651;-76142.98651651
-26.106140760189007 -32.18747962626928;-197181.70837589
-28.236188601513163 -34.31104151066623;-511098.2379570
-30.366002066650964 -36.43529376819187;-1325770.1072996
-32.49562499287144 -38.560105335316194;-3441102.2735250
-34.62510835293872 -40.68537591517595;-8936086.612953
-36.75447998300339 -42.81102887925219;-23215719.54698
-38.88376084424107 -44.93700354010465;-60335575.98191
-41.01296818738297 -47.063251376427424;-156855039.56697
-43.14211483737503 -49.18973323929078;-407885805.36510
-45.271210807014036 -51.31641712073322;-1060909871.2250
-47.40026412739183 -53.44327659989496;-2759976965.158
-49.529281223438446 -55.57028968105463;-7181395578.564
-51.65826730525991 -57.69743789935227;-18688725674.059
-53.787226647908895 -59.82470563885174;-48641879670.5
-55.916162785132556 -61.952079603298984;-126617668036.19
-58.0450786617291 -64.07954840010757;-329629421749.77
-60.17397675163946 -66.20710221121745;-858223646118.7
-62.30285914608241 -68.33473252976182;-2234671147333.6
-64.4317276253663 -70.46243194832313;-5819179147422.
-66.56058371320132 -72.59019398627949;-15154498462622
-68.68942872123112 -74.71801294972896;-39468471031294
-70.81826378444109 -76.84588381516456;-102798178560065
-72.94708988953114 -78.97380213343892;-267759377848907
-75.07590789830448 -81.10176395025765;-69747095951159
-77.20471856654578 -83.22976573925361;-181688719761595
-79.33352255962265 -85.35780434499438;-473313189016983
-81.46232046566888 -87.48587693593468;-1.2330668616539566e
-83.59111280642641 -89.61398096405281;-3.2124822555862136e
-85.71990004621993 -91.74211412961265;-8.36969778275052e
-87.8486825996946 -93.87027435230253;-2.1806837627478134e
-89.9774608378745 -95.99845974484083;-5.68183372801062e
-92.10623509375381 -98.12666859194918;-1.4804590443301545e
-94.23500566802578 -100.25489933072082;-3.8575851984450104e
-96.36377283117885 -102.3831505337904;-1.0051831082928763e
-98.4925368286095 -104.5114208958635;-2.619296714652408e
-100.62129788290136 -106.63970922004764;-6.825484200950474e
-102.75005619590789 -108.76801440705032;-1.7786517482507774e
-104.87881195226203 -110.89633544593129;-4.635072754473066e
-107.0075653201577 -113.02467140439003;-1.2078969511634298e
-109.13631645324382 -115.153021422287;-3.147824219130007e
-111.26506549254943 -117.28138470437987;-8.203475976461393e
-113.39381256787335 -119.40976051404824;-2.137921832406791e
-115.52255779788682 -121.53814816841512;-5.571753024729376e
-117.65130129249945 -123.66654703341686;-1.4521038972795573e
-119.78004315300694 -125.79495651920486;-3.7845044500388246e
-121.90878347292474 -127.92337607691589;-9.863375413480741e
-124.03752233888777 -130.05180519459546;-2.5706743082634344e
-126.16625983112839 -132.1802433947912;-6.699976144113658e
-128.29499602413787 -134.30869023072663;-1.7462399965031031e
-130.4237309872636 -136.43714528527045;-4.551335671979961e
-132.5524647847783 -138.56560816683773;-1.1862544704545054e
-134.68119747665494 -140.6940785090649;-3.091866457674419e
-136.80992911904696 -142.82255596758893;-8.058742643962369e
-138.9386597641243 -144.95104021920545;-2.1004743008139724e
-141.06738946101865 -147.07953096039057;-5.474832387345345e
-143.19611825515406 -149.2080279043666;-1.4270116059528767e
-145.3248461896278 -151.3365307819218;-3.719523148129564e
-147.45357330488534 -153.46503933899677;-9.69504832747186e
-149.58229963823825 -155.59355333586169;-2.527059797051994e
-151.71102522531015 -157.72207254562318;-6.586940945046785e
-153.8397500997456 -159.85059675428744;-1.7169380334802158e
-155.96847429249803 -161.9791257595002;-4.475359918606093e
-158.0971978337536 -164.10765936961104;-1.166550948480761e
-160.2259207508408 -166.2361974025695;-3.040757288845132e
-162.3546430707263 -168.36473968670325;-7.926145035142231e
-164.48336481799112 -170.4932860579536;-2.06606700400604e
-166.61208601604054 -172.62183636185563;-5.385534805921184e
-168.74080668734555 -174.75039045040342;-1.4038323429555054e
-170.86952685311502 -176.87894818393391;-3.659346632194381e
-172.9982465330272 -179.00750942905907;-9.538798753425168e
-175.1269657462934 -181.1360740592131;-2.486483529925413e
-177.25568451080625 -183.26464195317718;-6.481554679319968e
-179.3844028433437 -185.3932129957465;-1.6895631674998286e
-181.51312076035217 -187.52178707739475;-4.404242895990412e
-183.64183827801423 -189.6503640935837;-1.1480733143516668e
-185.77055540968266 -191.77894394411598;-2.992743256860832e
-187.8992721700427 -193.90752653313353;-7.80136735387754e
-190.02798857250886 -196.03611177029524;-2.0336367343994005e
-192.1567046292718 -198.1646995672796;-5.301238751762606e
-194.28542035300825 -200.29328984200484;-1.3819191751476099e
-196.41413575466623 -202.42188251319078;-3.602377103145917e
-198.54285084535147 -204.55047750498133;-9.390677281903446e
-200.67156563601492 -206.67907474472983;-2.4479685396422473e
-202.80028013615186 -208.80767416106735;-6.381398787566783e
-204.9289943555573 -210.93627568781704;-1.6635162251740531e
-207.0577083041255 -213.06487925967645;-4.3364991489151605e
-209.1864219890607 -215.19348481491105;-1.1304530402685524e
-211.3151354202178 -217.32209229394374;-2.9469094565644835e
-213.44384860472945 -219.4507016397881;-7.682136759841105e
-215.5725615512307 -221.5793127979125;-2.00261849877866e
-217.70127426672633 -223.70792571530174;-5.2205388557546565e
-219.8299867578212 -225.83654034098416;-1.3609223133236606e
-221.9586990313935 -227.96515662599901;-3.5477434324113556e
-224.0874110951002 -230.09377452437616;-9.248513149746288e
-226.21612295414167 -232.22239399026174;-2.410973583219765e
-228.34483461492664 -234.35101497993477;-6.285123019319806e
-230.4735460829744 -236.47963745171455;-1.6384601709573137e
-232.60225736404445 -238.60826136518475;-4.271286952218133e
-234.73096846370473 -240.73688668185508;-1.1134798018803399e
-236.85967938685107 -242.86551336331246;-2.902730072982063e
-238.98839013866873 -244.99414137387961;-7.567138045388894e
-241.11710072380185 -247.12277067851588;-1.9726831659518196e
-243.24581114680066 -249.25140124364114;-5.1426110656591275e
-245.37452141208198 -251.38003303597387;-1.3406353419837862e
-247.50323152399596 -253.5086660247968;-3.4949283336429875e
-249.6319414870062 -255.63730017969604;-9.111009418617902e
-251.76065130434475 -257.76593547124867;-2.375173349720802e
-253.88936098055981 -259.8945718706714;-6.191911038802394e
-256.0180705190247 -262.02320935049323;-1.6141900665331493e
-258.14677992304297 -264.15184788412756;-4.208091599922047e
-260.2754891970376 -266.2804874468202;-1.0970242755450186e
-262.4041983430693 -268.4091280126043;-2.8598800407368083e
-264.5329073656509 -270.5377695580766;-7.45555380595193e
-266.66161626705434 -272.66641205963515;-1.9436251128339242e
-268.7903250502859 -274.79505549488766;-5.066937926465255e
-270.91903371861827 -276.9236998417854;-1.3209279929802352e
-273.0477422748243 -279.0523450789754;-3.443603736379899e
-275.1764507214249 -281.180991186032;-8.977339571386278e
-277.30515906095593 -283.3096381434897;-2.3403595370550866e
-279.4338672964058 -285.4382859315046;-6.1012376897007565e
-281.56257543003187 -287.56693453174233;-1.5905734671983578e
-283.69128346441113 -289.69558392534196;-4.146578952302226e
-285.8199914009289 -291.82423409529076;-1.0810021336002374e
-287.94869924319863 -293.95288502426865;-2.8181464704996284e
-290.0774069930624 -296.0815366963829;-7.346846415430578e
-292.2061146518357 -298.2101890941309;-1.9153085242265384e
-294.334822222746 -300.33884220289417;-4.993176234250781e
-296.46352970658455 -302.46749600661235;-1.3017135110735533e
-298.5922371060536 -304.5961504912299;-3.3935502743138927e
-300.7209444225455 -306.7248056422227;-8.846948758639531e
-302.8496516584573 -308.8534614453883;-2.3063917631855534e
-304.9783588153534 -310.9821178875737;-6.01274768837133e
-307.1070658944113 -313.1107749551301;-1.5675204296853189e
-309.23577289800375 -315.23943263517805;-4.086521243599643e
-311.3644798277354 -317.36809091598195;-1.0653556833839239e
-313.4931866844272 -319.496749784152;-2.777383183577321e
-315.6218934707189 -321.6254092291203;-7.240645392787407e
-317.75060018714066 -323.7540692380262;-1.88763947916425e
-319.879306835705 -325.88272980098577;-4.921087822395771e
-322.0080134174555 -328.01139090661854;-1.2829314866411077e
-324.13671993400266 -330.1400525432321;-3.3446146796729784e
-326.2654263859529 -332.26871470194084;-8.719448016221536e
-328.39413277596253 -334.397377372132;-2.2731712917126303e
-330.5228391043194 -336.5260405438308;-5.926190332581381e
-332.6515453728996 -338.654704207898;-1.5449672833161737e
-334.78025158207697 -340.78336835399426;-4.0277567284998755e
-336.90895773307824 -342.91203297423584;-1.0500438247102778e
-339.03766382796505 -345.0406980594487;-2.7374857216302657e
-341.1663698669635 -347.1693635999062;-7.13668518365638e
-343.29507585112424 -349.2980295880652;-1.8605504521416327e
-345.42378178190125 -351.42669601618275;-4.8505009473847224e
-347.552487660884 -353.5553628754033;-1.2645382277226297e
-349.6811934876812 -355.6840301578705;-3.2966857758158153e
-351.80989926439355 -357.8126978566517;-8.594554386332052e
-353.93860499139186 -359.941365963678;-2.2406260892525622e
-356.0673106706473 -362.07003447174964;-5.841382208181212e
-358.1960163009967 -364.1987033740224;-1.5228673144736438e
-360.3247218850712 -366.3273726631685;-3.9701664102825986e
-362.4534274231476 -368.45604233285826;-1.035036238912672e
-364.5821329155086 -370.58471237529403;-2.6983768157891585e
-366.71083836398805 -372.71338278594413;-7.034768834385957e
-368.8395437694287 -374.84205355682354;-1.83399122989179e
-370.96824913147236 -376.97072468231465;-4.7812875631139935e
-373.0969544520924 -379.0993961568768;-1.2465010755873955e
-375.2256597306436 -381.22806797363444;-3.24968024744287e
