Point;Valeur
-2.643969094083472 3.696164230097729;-1.1434633845911
-2.958770394634656 4.010964803127067;-1.6189409547699
-3.330886048255151 4.3452910767049495;-2.286548716350
-3.713393848169901 4.709547509716945;-2.9370055202682
-3.9967207428308162 5.113333364868646;-3.398386326384
-4.139901929928545 5.564489424797126;-3.801013341443
-4.2150219970479945 6.070015757102396;-4.2856039347974
-4.268213365592979 6.64074132427817;-4.927329264509
-4.319155710318627 7.292958506397153;-5.816888627924
-4.379916331528183 8.05022657263127;-7.110268194780
-4.463408707199397 8.947050545779588;-9.108587777520
-4.590962688577776 10.03546686260342;-12.459480829619
-4.806447619134486 11.396684586919179;-18.76757093377
-5.200681102304891 13.161483769067688;-32.85512583997
-5.8819076558318635 15.54291266682814;-72.59780060569
-6.878207417673351 18.870922532932706;-220.40684010596
-8.253144628883254 23.605743356227;-1053.2190651629
-10.215181167169106 30.356042198832828;-9848.85586026
-13.00395167779984 39.93724844249969;-235471.43817584
-16.946695216671134 53.48099528628836;-20951995.68491
-22.510827081629678 72.59388177462498;-11817255901.661
-30.36024525717768 99.556720128155;-8998548392863
-41.43322105663511 137.59251332985627;-2.6928440102810894e
-57.05357573615974 191.248602804135;-1.4299821454468666e
-79.088797673501 266.9398315958407;-1.1300909548770028e
-110.1733034858425 373.71544964994837;-2.669597888153066e
-154.0233951411516 524.3409949454426;-1.298033221911187e
-215.88156170771117 736.8244748731169;-5.086279720111486e+
-303.1432441017763 1036.5693100111503;-7.300346523591698e+
-426.2409955692298 1459.4114350672219;-5.5428821153773066e+
-426.2409955692298 1459.4114350672219;-5.5428821153773066e+
PointOptimal;ValeurOptimale
[-426.24099557 1459.41143507];-5.5428821153773066e+209
Temps;Nb iteration
0.0027403831481933594;30
