Point;Valeur
-4.4253005299055665 -1.02688831258844;-1.8336929381977
-4.434836366986613 -1.0369019209540173;-1.8313954721411
-4.443904797545327 -1.046930226855199;-1.8292052534387
-4.45250329269263 -1.0569743084428074;-1.8271371298249
-4.460629992535674 -1.0670352328513488;-1.8252044494577
-4.468283661711407 -1.077114056208031;-1.8234191290884
-4.475463646440722 -1.0872118236480741;-1.821791728453
-4.48216983333495 -1.0973295693363523;-1.8203315287760
-4.488402610150603 -1.1074683164953985;-1.8190466134974
-4.49416282865493 -1.1176290774397581;-1.817943949563
-4.499451769733422 -1.1278128536166936;-1.817029467828
-4.504271110841461 -1.1380206356531655;-1.8163081413474
-4.508622895875516 -1.1482534034090826;-1.815784060518
-4.512509507515092 -1.1585121260367304;-1.8154605042417
-4.515933642064442 -1.1687977620463363;-1.8153400064301
-4.518898286803185 -1.1791112593776807;-1.8154244173617
-4.521406699837009 -1.189453555477745;-1.8157149595157
-4.523462392423689 -1.1998255773842847;-1.8162122776567
-4.525069113735185 -1.2102282418153238;-1.816916483050
-4.526230838003865 -1.2206624552644936;-1.8178271917948
-4.526951753989445 -1.231129114102249;-1.8189435573317
-4.52723625669294 -1.2416291046829;-1.8202642973006
-4.527088941234649 -1.2521633034574786;-1.8217877149405
-4.526514598804864 -1.2627325770924804;-1.823511715323
-4.525518214588262 -1.2733377825944858;-1.8254338167479
-4.524104967555837 -1.2839797674407192;-1.8275511576705
-4.522280232011598 -1.2946593697156534;-1.829860499588
-4.520049580774954 -1.3053774182536635;-1.8323582263299
-4.517418789873741 -1.3161347327879014;-1.835040340243
-4.514393844617041 -1.3269321241054581;-1.837902455794
-4.510980946911347 -1.3377703942089683;-1.840939791113
-4.5071865236780875 -1.3486503364847413;-1.8441471580833
-4.503017236225379 -1.3595727358776097;-1.847518951517
-4.498479990421587 -1.3705383690726038;-1.8510491380746
-4.493581947513354 -1.3815480046836515;-1.8547312455088
-4.4883305354260905 -1.3926024034493834;-1.8585583528901
-4.482733460380567 -1.4037023184362714;-1.862523082438
-4.4767987186552425 -1.414848495249192;-1.866617593606
-4.470534608320615 -1.4260416722495939;-1.8708335800317
-4.463949740768975 -1.4372825807813496;-1.8751622699941
-4.457053051861051 -1.448571945404496;-1.8795944309494
-4.449853812509821 -1.4599104841368604;-1.8841203787147
-4.442361638521709 -1.4712989087037414;-1.888729991820
-4.4345864995164535 -1.4827379247956343;-1.8934127314914
-4.426538726749433 -1.4942282323340996;-1.8981576676678
