Point;Valeur
-4.957193550012862 6.029631215353451;-4.178312314631
-25.04410795741932 26.21442652458202;-37806.18925499
-45.22891097173508 46.399229383665414;-333535412.9903
-65.41371386043639 66.5840322672378;-2944908468257.
-85.59851674774788 86.76883515254872;-2.600796052991121e
-105.78331963464176 106.95363803837958;-2.2971315638865635e
-125.96812252135682 127.1384409244352;-2.0290322465565846e
-146.15292540797898 147.32324381060832;-1.792279907418062e
-166.33772829454674 167.50804669685058;-1.583184471410564e
-186.52253118107987 187.69284958313696;-1.3985022125365038e
-206.7073340675896 207.8776524694532;-1.2353755641968573e
-226.89213695408284 228.0624553557906;-1.0912843996757085e
-247.07693984056397 248.24725824214354;-9.640048577344262e
-267.26174272703594 268.4320611285082;-8.515738276310979e
-287.4465456135008 288.616864014882;-7.522580011953448e
-307.6313484999601 308.801666901263;-6.645267580479822e
-327.8161513864149 328.98646978764975;-5.870283369366128e
-348.00095427286607 349.17127267404123;-5.185688575251825e
-368.1857571593142 369.3560755604366;-4.580938314443155e
-388.3705600457598 389.54087844683517;-4.046718558900787e
-408.5553629322033 409.72568133323654;-3.574802255577679e
-428.740165818645 429.91048421964024;-3.157922333098413e
-448.9249687050851 450.09528710604593;-2.7896595897046437e
-469.1097715915239 470.2800899924534;-2.4643437036173752e
-489.2945744779615 490.4648928788624;-2.17696582026049e
-509.47937736439803 510.64969576527267;-1.923101356169624e
-529.6641802508337 530.8344986516842;-1.6988418213270021e+
-549.8489831372686 551.0193015380967;-1.5007346035593545e+
-570.0337860237028 571.2041044245101;-1.3257297832562682e+
-590.2185889101363 591.3889073109243;-1.171133156290614e+
-610.4033917965693 611.5737101973393;-1.0345647395529926e+
-630.5881946830017 631.758513083755;-9.139221185888051e+
-650.7729975694336 651.9433159701713;-8.073480718373265e+
-670.9578004558651 672.1281188565881;-7.132019721458831e+
-691.1426033422963 692.3129217430054;-6.300345246251231e+
-711.3274062287271 712.4977246294231;-5.5656545144576476e+
-731.5122091151576 732.6825275158413;-4.9166377967353e+
-751.6970120015877 752.8673304022599;-4.343304284046659e+
-771.8818148880176 773.0521332886788;-3.836828269312018e+
-792.0666177744473 793.236936175098;-3.389413269832384e+
-812.2514206608768 813.4217390615175;-2.994171997530156e+
-812.2514206608768 813.4217390615175;-2.994171997530156e+
PointOptimal;ValeurOptimale
[-812.25142066  813.42173906];-2.994171997530156e+158
Temps;Nb iteration
0.0032837390899658203;41
