Point;Valeur
-4.999716397143949 4.893494192187726;-3.138809874457
41.10028360285858 50.993494192190255;-416603132.27402
87.2002836310465 97.09349446343816;-4.040838843525793e
133.30028366675842 143.1934945032313;-4.0778810133606464e
179.4002837025988 189.29349454038072;-4.156393838176297e
225.50028373844196 235.3934945768717;-4.253317488458233e
271.6002837742817 281.4934946130985;-4.361176092516768e
317.70028381011855 327.59349464919285;-4.476861089897295e
363.8002838459533 373.6934946852113;-4.598884377145325e
409.90028388178655 419.7934947211822;-4.726474121556903e
456.00028391761873 465.89349475712135;-4.8592162223367785e
502.10028395345006 511.9934947930383;-4.9968924111680566e
548.2002839892808 558.093494828939;-5.139399742685652e+
594.3002840251111 604.1934948648276;-5.286707457405119e+
640.4002840609409 650.2934949007067;-5.438832455237837e+
686.5002840967704 696.3934949365785;-5.595824662485645e+
732.6002841325997 742.4934949724444;-5.757757949563882e+
778.7002841684287 788.5934950083056;-5.924724307375305e+
824.8002842042575 834.6934950441628;-6.096830012309847e+
824.8002842042575 834.6934950441628;-6.096830012309847e+
PointOptimal;ValeurOptimale
[824.8002842  834.69349504];-6.096830012309847e+161
Temps;Nb iteration
0.0013244152069091797;19
