Point;Valeur
-5.498861440324976 9.048345688239777;-10.200919907704
-5.510554108117676 9.041351232262775;-10.201435910061
-5.523954938754556 9.03733327148017;-10.214063646575
-5.53908460761449 9.03626623211983;-10.238942677738
-5.55596894951077 9.038127985860958;-10.2762908122
-5.574638933850077 9.042899835808072;-10.326405486501
-5.5951306289387235 9.050566518061826;-10.389665634144
-5.61748514740261 9.061116219052076;-10.466533929033
-5.64174856341316 9.074540608948942;-10.557559259398
-5.667971791011303 9.090834891616788;-10.663379256158
-5.696210411328524 9.109997871731391;-10.784722656845
-5.72652443498108 9.132032039838954;-10.92241123753
-5.758977984459738 9.156943676301148;-11.077360990954
-5.793638880093102 9.184742975243445;-11.250582172835
-5.830578112334901 9.215444189806188;-11.443177787018
-5.869869182982112 9.24906580019042;-11.656340041677
-5.911587298822787 9.285630706196995;-11.891344298620
-5.955808403573584 9.325166446176418;-12.149540073028
-6.002608038303131 9.36770544454614;-12.432338746404
-6.0520600274114535 9.413285290291881;-12.74119785915
-6.104234997209166 9.461949049158202;-13.07760218185
-6.159198747713786 9.513745612559935;-13.443042254621
-6.217010515754497 9.568730086620475;-13.838991751291
-6.277721188827556 9.626964225186125;-14.266885869695
-6.34137155383029 9.688516911198978;-14.728103939579
-6.407990691587204 9.753464691468551;-15.223960500818
-6.477594654916829 9.82189237070628;-15.755710109996
-6.550185591940362 9.89389367173223;-16.32457190741
-6.625751493744795 9.969571970099791;-16.931780312007
-6.704266752342561 10.0490411130964;-17.578667909360
-6.785693707279644 10.13242633526644;-18.26678552627
-6.869985334416784 10.219865285392693;-18.998062648182
-6.957089187384677 10.311509183400664;-19.775008935973
-7.04695264259257 10.4075241300923;-20.600955059998
-7.139529426889384 10.508092598165762;-21.48032900409
-7.234787329931637 10.61341513989266;-22.418963094282
-7.332716929280877 10.723712355407072;-23.42442789106
-7.433341093188934 10.839227176225304;-24.506392111065
-7.536724979585016 10.96022753190535;-25.677012887543
-7.6429862216402 11.087009484392391;-26.951367486680
-7.752304977020405 11.219900935586459;-28.347945252715
-7.8649335111208005 11.35926604036638;-29.889226040326
-7.981204972045364 11.505510491549227;-31.6023776712
-8.101540983703394 11.65908788761795;-33.52010917749
-8.226457623529221 11.820507451974875;-35.68171835531
-8.356569263873 11.990343448821125;-38.13437197404
-8.492589663121391 12.169246742320372;-40.9346574010
-8.63532965306 12.357959082205033;-44.150452348681
-8.785690899627358 12.557330884694798;-47.863190565788
-8.944655711169986 12.768343534077829;-52.170686829071
-9.113274015424848 12.992137591189728;-57.19087993797
-9.292650761041058 13.230048814514555;-63.06724367056
-9.483940392428352 13.48365466778816;-69.97731687918
-9.688359665232692 13.75483515804474;-78.1469394639
-9.907235261555073 14.045853685807817;-87.87446676736
-10.142106951117865 14.359466563344915;-99.57162129061
-10.394908349086712 14.699074809969023;-113.83114195688
-10.668243845348654 15.068940320390979;-131.5372447703
-10.965771834298124 15.474503505072228;-154.04617810041
-11.29269393834274 15.922867028726257;-183.48763284541
-11.65634784969116 16.42356317890061;-223.28949771882
-12.066943119426925 16.989830230841903;-279.15479325256
-12.538680750408918 17.640860209926498;-361.07907488519
-13.09216926134438 18.406055766118662;-488.16929783034
-13.760808180943506 19.33392565900359;-702.2572914643
-14.607760032149814 20.5134818639122;-1113.9568765786
-15.772351454336151 22.137783981879043;-2105.3904205606
-17.654729815959715 24.77031450671598;-5897.649563253
-22.540407297752246 31.615155697046145;-85753.88852273
-251.71228654110737 352.9881972668122;-3.1537098856676314e
-6.101782349241042e+109 8.55694096315076e+109;-
nan nan;
PointOptimal;ValeurOptimale
[nan nan];nan
Temps;Nb iteration
0.00927424430847168;71
