Point;Valeur
-7.18495239661471 -4.022847110001937;-5.54527147901
-53.28495239661724 -50.12284711000447;-4770951652.043
-99.38495243577692 -96.22284713788933;-4.886342310710544e
-145.48495247228698 -142.32284717336145;-5.020987672882588e
-191.58495250836182 -188.42284720906457;-5.163958168303006e
-237.68495254431716 -234.52284724482874;-5.31296725094353e
-283.78495258022275 -280.62284728061786;-5.4673086802423205e
-329.8849526161029 -326.72284731641963;-5.626748797831019e
-375.98495265196834 -372.8228473522287;-5.7912378079973566e
-422.0849526878244 -418.92284738804227;-5.9608111676418025e
-468.1849527236742 -465.02284742385893;-6.135549536014626e
-514.2849527595196 -511.1228474596777;-6.315560409422281e
-560.3849527953618 -557.2228474954981;-6.500968914308293e+
-606.4849528312016 -603.3228475313196;-6.691912872801283e+
-652.5849528670394 -649.422847567142;-6.888540023928751e+
-698.6849529028758 -695.5228476029652;-7.091006404080115e+
-744.7849529387111 -741.6228476387889;-7.299475384988702e+
-790.8849529745453 -787.7228476746131;-7.514117102069349e+
-836.9849530103787 -833.8228477104377;-7.735108123991767e+
-836.9849530103787 -833.8228477104377;-7.735108123991767e+
PointOptimal;ValeurOptimale
[-836.98495301 -833.82284771];-7.735108123991767e+162
Temps;Nb iteration
0.0013337135314941406;19
