Point;Valeur
-7.244311701757827 -2.679769741829203;-4.769573780605
-7.255151268971085 -2.690144611441262;-4.784618792618
-7.266807005485592 -2.700893682301454;-4.800456312047
-7.279254801130038 -2.71201645571453;-4.817032092351
-7.292469934441352 -2.723512601399243;-4.834291946622
-7.306427179726228 -2.7353819563149995;-4.8521824053
-7.321100920060856 -2.7476245235714334;-4.870651373182
-7.336465265984966 -2.7602404714237885;-4.889648777352
-7.352494179553931 -2.773230132357285;-4.909127199554
-7.369161603321707 -2.786594002265416;-4.929042484050
-7.386441593739328 -2.8003327397276063;-4.949354314357
-7.404308458372473 -2.814447165393145;-4.970026751841
-7.4227368962707505 -2.8289382614792715;-4.991028730248
-7.441702140763165 -2.843807171392738;-5.012334501319
-7.461180103911163 -2.859055199485309;-5.033924027936
-7.481147521825523 -2.8746838109549064;-5.055783322734
-7.501582100046459 -2.8906946319057623;-5.077904731766
-7.52246265819995 -2.9070894495817816;-5.100287164530
-7.543769273176019 -2.9238702127892005;-5.122936273427
-7.565483420128256 -2.9410390325259117;-5.14586458749
-7.587588110664955 -2.958598182836067;-5.169091606938
-7.610068027690831 -2.9765501019103975;-5.192643866529
-7.632909656461812 -2.994897393453826;-5.2165549774
-7.656101411531427 -3.0136428283441097;-5.240865658443
-7.679633759392298 -3.032789346606191;-5.265623767713
-7.703499336747849 -3.0523400597292523;-5.290884349056
-7.727693064484398 -3.0722982533551115;-5.316709704866
-7.752212257547701 -3.0926673903684043;-5.343169510423
-7.777056731059333 -3.113451114421429;-5.370340983632
-7.802228903131952 -3.134653253928595;-5.398309124844
-7.827733894956901 -3.1562778265682443;-5.427167041589
-7.853579628838546 -3.1783290443317767;-5.457016373239
-7.879776924935206 -3.2008113191640977;-5.487967830815
-7.906339597533066 -3.223729269241585;-5.520141867414
-7.933284551724519 -3.2470877259389357;-5.55366949500
-7.960631881382385 -3.2708917415395384;-5.588693263768
-7.9884049693132955 -3.2951465977490115;-5.625368420505
-8.016630590433357 -3.3198578150773375;-5.6638642631
-8.045339018731534 -3.3450311631603853;-5.704365709121
-8.074564138666739 -3.370672672098977;-5.7470750941841
-8.10434356147442 -3.396788644900271;-5.79221422117
-8.13471874663145 -3.4233856711155743;-5.8400266739176
-8.165735128431391 -3.4504706417772004;-5.890780412983
-8.19744224724586 -3.47805076574761;-5.944770665964
-8.229893884574436 -3.506133587605612;-6.002323120891
-8.263148200399675 -3.534727007206813;-6.063797424578
-8.297267870643616 -3.5638393010693283;-6.12959097760
-8.332320221646368 -3.593479145751479;-6.200143003177
-8.368377357528628 -3.623655643404106;-6.275938847023
-8.405516275033888 -3.6543783496987556;-6.357514438280
-8.44381895894547 -3.685657304351943;-6.445460804899
-8.48337244941406 -3.717503064486817;-6.540428489948
-8.524268870498153 -3.7499267410949346;-6.643131654727
-8.566605406906938 -3.7829400388842336;-6.754351579320
-8.610484213359763 -3.8165552998221974;-6.874939179408
-8.656012238186042 -3.8507855507073194;-7.00581604980
-8.70330093988082 -3.8856445551245895;-7.14797342190
-8.75246587246222 -3.9211468701623575;-7.302468289338
-8.803626112897874 -3.957307908286943;-7.470415823260
-8.856903501941265 -3.9941440047871115;-7.652977083889
-8.912421668947784 -4.031672491209139;-7.8513409636609
-8.970304812292433 -4.069911775206147;-8.066699308841
-9.030676210732475 -4.108881427218272;-8.300214311295
-9.093656448457796 -4.148602274381278;-8.552977603964
-9.159361348780351 -4.1890965020302255;-8.825961103753
-9.22789962957681 -4.230387763118833;-9.119960592690
-9.299370318694393 -4.27250129581523;-9.435534360215
-9.37386000009485 -4.315464049464104;-9.77294094584
-9.451440001279455 -4.359304819025888;-10.132082038152
-9.532163677993902 -4.404054388027289;-10.512458698578
-9.616064000175122 -4.449745679996511;-10.913150936637
-9.703151688401913 -4.496413918329613;-11.332831772398
-9.793414185593923 -4.544096794569442;-11.769826702820
-9.886815765695436 -4.592834645205358;-12.222227395056
-9.983299070517168 -4.642670637356678;-12.688064141911
-10.08278832010371 -4.6936509641259905;-13.16553524997
-10.185194356831069 -4.745825051034679;-13.653283811211
-10.29042156049931 -4.7992457758151605;-14.15070457453
-10.398376519570709 -4.853969704950918;-14.65825762669
-10.508978177782264 -4.910057351733537;-15.177762998864
-10.62216901557834 -4.967573462235647;-15.71265217627
-10.73792669264936 -5.026587337454291;-16.26815868716
-10.856275487476909 -5.0871732019306775;-16.85143900417
-10.977296829695465 -5.149410631359862;-17.471624314209
-11.101138228051981 -5.21338505404032;-18.13981024700
-11.228019937854718 -5.279188343456555;-18.868992738634
-11.358238768908516 -5.346919521833302;-19.67395237313
-11.492168491872615 -5.416685597150024;-20.5710771044
-11.630256352335138 -5.488602558861499;-21.57809673955
-11.773015262062101 -5.5627965604395415;-22.713687208913
-11.921011347846953 -5.639405319806182;-23.996897127482
-12.074846774102465 -5.718579771773082;-25.44636617739
-12.235138218041362 -5.8004860097572015;-27.079360601087
-12.402492177226035 -5.885307557515813;-28.910761174084
-12.57747950363482 -5.973248015988052;-30.952308159669
-12.760613147600818 -6.064534136767935;-33.21261252740
-12.952334805637006 -6.159419384602498;-35.69861342047
-13.15301744915158 -6.258188070489957;-38.41918087510
-13.362990745255045 -6.361160170242574;-41.39130410015
-13.58259429432299 -6.468696998454246;-44.64872269421
-13.812258909164237 -6.581207993660219;-48.25207526460
-14.052609204623108 -6.6991589963203575;-52.298947644125
-14.30457294907206 -6.823082575445652;-56.93189208946
-14.569476076104769 -6.953591189457666;-62.34262735888
-14.849099271054056 -7.091394259843877;-68.77107825125
-15.14567504119927 -7.237320604531783;-76.49884190163
-15.461816540546607 -7.392348147196049;-85.83942258923
-15.800396333249703 -7.557643447801163;-97.13495899414
-16.16443896285865 -7.734614527956714;-110.78319382827
-16.557147978549036 -7.924982014284255;-127.33403691643
-16.982219403777336 -8.130876482408574;-147.69439970463
-17.444533050791662 -8.354975366401327;-173.44281603037
-17.951116233762306 -8.600703124818434;-207.1937568308
-18.51202585449254 -8.872537051875808;-252.94501021856
-19.140801874464785 -9.176494330537038;-316.58104932708
-19.85491278793711 -9.520937587931334;-407.5602978527
-20.678301896961983 -9.917966816864135;-544.3517692911
-21.648887340631852 -10.38599251718725;-767.1070301711
-22.83078264769357 -10.954998407540092;-1165.6127761365
-24.335113403712583 -11.678753617724597;-1981.6867648709
-26.393202679360822 -12.668260026380661;-4100.732270827
-29.606566497665394 -14.212653752093397;-12755.470054969
-36.44707331046631 -17.498677001834476;-142813.93512405
-84.19848318402002 -40.42698927020297;-3002379596571.
-861514860.6471837 -413649739.8838309;-
nan nan;
PointOptimal;ValeurOptimale
[nan nan];nan
Temps;Nb iteration
0.009908676147460938;125
