Point;Valeur
-8.39844989164251 -9.724256441463064;-21.53275702993
-8.592257883294009 -9.918064433969718;-23.47596979223
-8.802083515459005 -10.11987322057037;-25.817917666099
-9.033685175919068 -10.333305116611387;-28.694374464461
-9.289775161507213 -10.561503476929433;-32.23775505378
-9.5704496142662 -10.807836081487087;-36.5656444682
-9.873434813206103 -11.076173996747379;-41.78264308235
-10.195750316434772 -11.371078067579425;-48.03377517467
-10.53741635850027 -11.698032569873618;-55.628953458985
-10.905976090832619 -12.063898309317176;-65.23330800871
-11.319400980094866 -12.477801314273787;-78.15878337751
-11.805690726837904 -12.952677287171596;-96.87541051208
-12.397466548986383 -13.507702087016058;-125.8068257581
-13.121556227101783 -14.171780626661857;-172.4842075075
-14.000091653098988 -14.988118432411573;-251.88331038143
-15.096754060916966 -16.021105018415987;-405.820551310
-16.5508827231769 -17.371466605919146;-763.6391567659
-18.518439195041147 -19.20125672356807;-1792.0828515592
-21.26343502298238 -21.75212557677841;-5898.440967112
-25.146479714918197 -25.363371269264555;-31850.74289508
-30.65093783774478 -30.483973755053032;-348098.0528949
-38.42187692234007 -37.714186325079424;-10194667.215640
-49.35623330738678 -47.888153628491416;-1181642385.6919
-64.72263867968033 -62.18605452243729;-940988695022.1
-86.31266732484872 -82.27482650549783;-1.1219166762758672e
-116.6464767722592 -110.49938312231326;-5.990722629638318e
-159.265209242693 -150.1546341275112;-6.680201377206867e
-219.14414919228443 -205.8699089840203;-1.3531430578010393e
-303.2735270889912 -284.14937446834745;-1.040087309603551e
-421.4745545494847 -394.1313270350964;-2.170011479610288e
-587.545946517584 -548.6549919011582;-4.9553556626630246e+
-820.8747747245981 -765.7593662679205;-5.671455505802301e+
-1148.699702469626 -1070.7890807135263;-4.5258257469393175e+
-1148.699702469626 -1070.7890807135263;-4.5258257469393175e+
PointOptimal;ValeurOptimale
[-1148.69970247 -1070.78908071];-4.5258257469393175e+216
Temps;Nb iteration
0.0027964115142822266;33
