Point;Valeur
-8.560504897391262 -0.10916153721110256;-5.119374161958
-8.562134254772287 -0.10918430883119434;-5.1220330709641
-8.563767758086723 -0.1092070926840698;-5.124705527711
-8.56540542000779 -0.10922988879775097;-5.127391608181
-8.567047253222924 -0.10925269720033981;-5.130091388714
-8.568693270433261 -0.10927551792005374;-5.132804946015
-8.570343484353254 -0.10929835098524343;-5.13553235715
-8.571997907710303 -0.1093211964243217;-5.138273699556
-8.573656553244307 -0.10934405426580796;-5.141029051020
-8.57531943370726 -0.10936692453843477;-5.143798489700
-8.576986561862741 -0.10938980727090808;-5.146582094115
-8.578657950485578 -0.10941270249212032;-5.149379943147
-8.580333612361375 -0.10943561023107051;-5.152192116041
-8.58201356028596 -0.10945853051681986;-5.155018692402
-8.583697807065043 -0.1094814633786072;-5.157859752201
-8.585386365513788 -0.10950440884572465;-5.160715375767
-8.587079248456087 -0.10952736694760645;-5.163585643793
-8.588776468724378 -0.10955033771378453;-5.16647063733
-8.59047803915894 -0.1095733211738974;-5.169370437798
-8.592183972607542 -0.10959631735777897;-5.172285126967
-8.593894281924806 -0.10961932629520099;-5.175214786971
-8.595608979971868 -0.1096423480162283;-5.17815950030
-8.597328079615608 -0.10966538255090796;-5.1811193498234
-8.599051593728369 -0.10968842992950023;-5.184094418733
-8.600779535187318 -0.10971149018234527;-5.187084790604
-8.602511916873821 -0.10973456333988985;-5.190090549361
-8.604248751673083 -0.10975764943268729;-5.193111779283
-8.605990052473336 -0.10978074849138864;-5.196148565008
-8.607735832165531 -0.1098038605468048;-5.199200991523
-8.609486103642608 -0.10982698562985327;-5.202269144174
-8.61124087979891 -0.10985012377155812;-5.205353108654
-8.61300017352965 -0.10987327500303223;-5.208452971010
-8.61476399773031 -0.10989643935556614;-5.211568817639
-8.616532365295962 -0.1099196168605392;-5.214700735287
-8.618305289120725 -0.10994280754940178;-5.217848811045
-8.62008278209715 -0.10996601145387075;-5.221013132355
-8.62186485711545 -0.10998922860560079;-5.224193787001
-8.623651527063075 -0.11001245903645973;-5.227390863111
-8.625442804823818 -0.11003570277836872;-5.230604449156
-8.627238703277376 -0.11005895986344427;-5.233834633947
-8.629039235298482 -0.11008223032395392;-5.237081506634
-8.630844413756396 -0.11010551419216519;-5.240345156707
-8.632654251514172 -0.11012881150054987;-5.243625673987
-8.63446876142781 -0.11015212228168636;-5.246923148633
-8.636287956345814 -0.11017544656825962;-5.250237671136
-8.638111849108164 -0.11019878439305231;-5.2535693323
-8.63994045254599 -0.1102221357890425;-5.256918223315
-8.641773779480502 -0.1102455007892793;-5.2602844356147
-8.643611842722263 -0.11026887942695396;-5.263668061010
-8.645454655070697 -0.11029227173535538;-5.267069191623
-8.647302229313068 -0.11031567774788797;-5.270487919891
-8.649154578223824 -0.1103390974981604;-5.273924338572
-8.651011714563833 -0.11036253101981686;-5.277378540738
-8.652873651079494 -0.11038597834660813;-5.280850619772
-8.65474040050201 -0.11040943951251592;-5.28434066936
-8.65661197554666 -0.1104329145515841;-5.287848783526
-8.6584883889118 -0.1104564034979898;-5.291375056550
-8.660369653278106 -0.11047990638601668;-5.294919583047
-8.662255781307778 -0.11050342325008167;-5.298482457922
-8.664146785643652 -0.11052695412477931;-5.3020637763739
-8.66604267890838 -0.11055049904471304;-5.305663633895
-8.667943473703515 -0.11057405804472609;-5.309282126268
-8.669849182608605 -0.11059763115975052;-5.312919349561
-8.671759818180405 -0.11062121842480721;-5.316575400124
-8.67367539295185 -0.11064481987514796;-5.320250374586
-8.67559591943128 -0.11066843554603345;-5.323944369854
-8.677521410101415 -0.11069206547291977;-5.327657483104
-8.67945187741843 -0.1107157096913518;-5.331389811783
-8.681387333811104 -0.11073936823707875;-5.335141453603
-8.683327791679767 -0.11076304114588531;-5.338912506533
-8.685273263395333 -0.11078672845374271;-5.342703068803
-8.687223761298435 -0.11081043019672876;-5.346513238893
-8.689179297698349 -0.11083414641106337;-5.350343115533
-8.691139884872 -0.11085787713310857;-5.354192797697
-8.693105535062962 -0.11088162239929744;-5.358062384597
-8.69507626048051 -0.11090538224621405;-5.3619519756843
-8.697052073298577 -0.11092915671069115;-5.365861670636
-8.699032985654592 -0.11095294582949933;-5.369791569360
-8.701019009648546 -0.11097674963965787;-5.373741771983
-8.703010157341902 -0.11100056817832815;-5.3777123788482
-8.7050064407566 -0.11102440148279591;-5.38170349051
-8.707007871873794 -0.11104824959039128;-5.385715207730
-8.709014462632945 -0.11107211253865756;-5.389747631471
-8.711026224930565 -0.111095990365218;-5.393800862890
-8.713043170619244 -0.11111988310792675;-5.397875003336
-8.715065311506487 -0.11114379080466463;-5.401970154342
-8.717092659353474 -0.11116771349351673;-5.406086417620
-8.719125225874034 -0.1111916512126303;-5.410223895055
-8.721163022733432 -0.11121560400037467;-5.41438268869
-8.72320606154714 -0.11123957189513689;-5.418562900767
-8.72525435387982 -0.11126355493552609;-5.422764633628
-8.727307911243985 -0.11128755316034677;-5.426987989800
-8.729366745098808 -0.1113115666083413;-5.431233071942
-8.731430866849024 -0.11133559531854509;-5.435499982853
-8.733500287843519 -0.1113596393300913;-5.4397888254573
-8.7355750193743 -0.11138369868228182;-5.444099702803
-8.737655072675084 -0.11140777341441854;-5.448432718056
-8.739740458920034 -0.11143186356604318;-5.452787974489
-8.741831189222722 -0.11145596917688394;-5.457165575476
-8.743927274634496 -0.11148009028667794;-5.4615656244866
-8.746028726143454 -0.11150422693538431;-5.465988225076
-8.748135554673063 -0.11152837916307767;-5.470433480880
-8.750247771080762 -0.11155254700997475;-5.474901495606
-8.752365386156756 -0.11157673051639883;-5.479392373026
-8.754488410622637 -0.11160092972278868;-5.483906216966
-8.756616855129982 -0.11162514466978735;-5.488443131302
