Point;Valeur
-9.030265678741083 1.692043257450269;-6.496525639876
-9.033113662325132 1.69244491722983;-6.504806888197
-9.035967644088432 1.6928469142398743;-6.513122614429
-9.038827615370328 1.6932492493627986;-6.52147284143
-9.041693567228455 1.6936519234823937;-6.529857590146
-9.044565490437346 1.6940549374837737;-6.53827687954
-9.047443375486592 1.6944582922536693;-6.546730726647
-9.05032721257987 1.6948619886798948;-6.555219146466
-9.053216991633306 1.695266027651881;-6.563742152008
-9.056112702274133 1.6956704100601954;-6.57229975424
-9.059014333839395 1.696075136796889;-6.580891962085
-9.06192187537461 1.6964802087551494;-6.589518782371
-9.064835315632509 1.6968856268295145;-6.598180219842
-9.06775464307179 1.697291391915801;-6.606876277123
-9.070679845855825 1.697697504911007;-6.615606954699
-9.073610911851624 1.6981039667133295;-6.624372250900
-9.07654782862843 1.698510778222218;-6.633172161877
-9.079490583456806 1.6989179403381875;-6.642006681585
-9.082439163307434 1.699325453962988;-6.650875801763
-9.085393554850159 1.699733319999444;-6.659779511914
-9.088353744452684 1.70014153935149;-6.668717799287
-9.0913197181799 1.7005501129241534;-6.677690648857
-9.094291461792823 1.700959041623456;-6.6866980433094
-9.097268960747611 1.701368326356441;-6.695739963016
-9.100252200194534 1.7017779680312621;-6.704816386023
-9.103241164977494 1.7021879675569522;-6.713927288030
-9.106235839632868 1.7025983258436188;-6.723072642374
-9.109236208388936 1.703009043802071;-6.732252420010
-9.112242255165048 1.703420122344255;-6.741466589497
-9.115253963570877 1.703831562382943;-6.75071511697
-9.118271316905933 1.7042433648316617;-6.759997966168
-9.12129429815872 1.7046555306048887;-6.769315098332
-9.124322890006331 1.7050680606179185;-6.778666472275
-9.127357074813851 1.7054809557867205;-6.788052044324
-9.13039683463384 1.705894217028046;-6.79747176831
-9.133442151205875 1.7063078452594986;-6.8069255955669
-9.136493005956199 1.7067218413992418;-6.8164134748918
-9.139549379997343 1.7071362063661581;-6.825935352556
-9.142611254127688 1.7075509410798233;-6.835491172278
-9.14567860883138 1.7079660464604345;-6.845080875216
-9.148751424277961 1.7083815234287574;-6.854704399949
-9.151829680322194 1.708797372906064;-6.864361682471
-9.154913356504002 1.7092135958142567;-6.874052656175
-9.158002432048278 1.7096301930757534;-6.883777251840
-9.161096885864914 1.7100471656134069;-6.893535397627
-9.164196696548723 1.7104645143506474;-6.903327019058
-9.167301842379674 1.7108822402111628;-6.913152039013
-9.170412301322779 1.7113003441191292;-6.923010377720
-9.173528051028335 1.711718826999105;-6.932901952740
-9.176649068832026 1.7121376897760747;-6.942826678963
-9.17977533175546 1.7125569333751738;-6.952784468598
-9.182906816506096 1.7129765587219552;-6.962775231166
-9.186043499477874 1.7133965667421673;-6.972798873488
-9.18918535675151 1.7138169583617717;-6.982855299686
-9.19233236409494 1.7142377345069786;-6.992944411167
-9.195484496963795 1.7146588961041669;-7.003066106624
-9.198641730502128 1.7150804440798666;-7.013220282027
-9.201804039542854 1.7155023793606432;-7.023406830621
-9.204971398608492 1.7159247028732132;-7.033625642917
-9.208143781911762 1.7163474155443819;-7.043876606692
-9.21132116335663 1.71677051830091;-7.054159606982
-9.214503516538892 1.7171940120695321;-7.064474526083
-9.217690814747153 1.717617897777;-7.074821243546
-9.22088303096376 1.718042176349968;-7.085199636177
-9.224080137865762 1.7184668487149928;-7.095609578033
-9.22728210782605 1.7188919157984799;-7.106050940424
-9.230488912914385 1.7193173785266662;-7.116523591911
-9.233700524898483 1.7197432378256732;-7.127027398310
-9.236916915245432 1.7201694946213113;-7.137562222688
-9.240138055122786 1.7205961498392046;-7.148127925369
-9.243363915399962 1.7210232044046485;-7.158724363932
-9.246594466649745 1.7214506592425742;-7.169351393220
-9.249829679149482 1.7218785152776288;-7.18000886533
-9.253069522882793 1.7223067734340507;-7.1906966296594
-9.256313967540981 1.7227354346356698;-7.20141453282
