Point;Valeur
-9.155167251633458 8.342850120193845;-18.709860985270
-9.17038760395099 8.337016600699274;-18.76733904763
-9.190806547058045 8.335312136226008;-18.87010182895
-9.216416152642344 8.337708140394598;-19.018803396822
-9.247221144472002 8.344184828406268;-19.21447406891
-9.283237482557388 8.354731252634828;-19.4584841917
-9.32449068677005 8.369345411336303;-19.752501849989
-9.371013880633212 8.388034431495454;-20.098443426331
-9.422845550772738 8.410814827826325;-20.498416890824
-9.480027042595255 8.437712840942664;-20.95465933283
-9.542599850127658 8.468764858755083;-21.469472693334
-9.610602809034164 8.504017926279285;-22.045164997964
-9.684069366764826 8.543530350319925;-22.68400856043
-9.763025180554067 8.587372407024594;-23.388231324359
-9.847486377378823 8.63562716219776;-24.160062126498
-9.937458890816824 8.688391416722478;-25.00185425410
-10.032939354557021 8.745776792658539;-25.916313056702
-10.133918064071993 8.807910979895835;-26.90685140739
-10.24038449814302 8.874939168995686;-27.978090789782
-10.352335803990876 8.947025703502543;-29.13651594661
-10.469788483519665 9.024355995110774;-30.39127887005
-10.592793273788077 9.107138758239318;-31.755136116938
-10.721452904702538 9.19560863757876;-33.24549509384
-10.855942064006992 9.290029323907751;-34.88554221558
-10.996528531655747 9.390697281064703;-36.705428269144
-11.143594087291714 9.4979462418259;-38.74348982732
-11.29765346202716 9.612152674466767;-41.04748277801
-11.459369310433509 9.733742477487652;-43.6757871266
-11.629560947616893 9.86319923082299;-46.69850934453
-11.80920451586337 10.001074422538359;-50.198375515921
-11.999422528822832 10.148000187264586;-54.27132733285
-12.201461805532725 10.304705246333857;-59.02691460495
-12.41666130853855 10.472034945447326;-64.58910528264
-12.646416121303668 10.650976570194066;-71.09922489947
-12.892151205044494 10.842691529856877;-78.72449653739
-13.155327905887495 11.048556620808666;-87.67779050446
-13.437514271215074 11.270217564931443;-98.25578156229
-13.740550942475128 11.509659631682887;-110.90243453901
-14.066830270270975 11.769302842436915;-126.30203726821
-14.419673437945494 12.052133761391193;-145.50258514666
-14.803745183488088 12.36189342948673;-170.07091555722
-15.225411582993829 12.703353752140778;-202.2955468798
-15.692973401972946 13.082736716026078;-245.51084412090
-16.216887471458886 13.508370867283043;-304.7974846871
-16.810528373122825 13.991758014693366;-388.75753688201
-17.492651651046515 14.549393277346159;-513.86071495
-18.292846742902316 15.206090631249289;-714.2434806700
-19.260422799649465 16.00164630906311;-1065.2007049779
-20.479711179017336 17.005848516221537;-1760.4663102310
-22.11694009304761 18.35801445762649;-3460.968950669
-24.586412822868933 20.400260336559853;-9597.48422826
-29.382777770434114 24.37294928701094;-69684.00085439
-51.202416164329925 42.46730857248251;-577702817.4054
-141611.47000278375 117455.37815768909;-
nan nan;
PointOptimal;ValeurOptimale
[nan nan];nan
Temps;Nb iteration
0.004525661468505859;54
