Point;Valeur
0.9409687048156297 8.031926041184114;-4.350531712266
21.125733145709702 28.216725158471032;-27448.581937269
41.310536074412724 48.40152769769037;-230390688.56343
61.49533896798816 68.58633055510325;-1995930515392.2
81.68014185654611 88.77113343063309;-1.7451469262607926e
101.86494474396416 108.95593631130885;-1.5318891625915086e
122.04974763095758 129.14073919417345;-1.3474371348034093e
142.23455051774917 149.3255420781746;-1.186609533657675e
162.41935340442967 169.51034496284223;-1.0457704381021705e
182.6041562910427 189.69514784793438;-9.221191725479079e
202.7889591776118 209.87995073331365;-8.133823217733059e
222.97376206415066 230.06475361889622;-7.176578476051657e
243.1585649506679 250.24955650462803;-6.3332546543194e
263.3433678371691 270.43435939047265;-5.589894049565966e
283.5281707236582 290.6191622764046;-4.93438646069838e
303.7129736101378 310.8039651624055;-4.356174490394297e
323.8977764966098 330.9887680484619;-3.8460243970298074e
344.0825793830758 351.17357093456354;-3.395841610240255e
364.2673822695368 371.3583738207026;-2.998518466333092e
384.45218515599373 391.5431767068729;-2.6478062927623753e
404.63698804244723 411.72797959306956;-2.338206581792323e
424.82179092889777 431.91278247928875;-2.0648775596529425e
445.00659381534587 452.09758536552727;-1.8235534420810989e
465.1913967017918 472.2823882517825;-1.6104743143966568e
485.37619958823586 492.4671911380523;-1.4223250180136385e
505.56100247467833 512.651994024335;-1.256181741641751e
525.7458053611193 532.8367969106288;-1.1094652490430333e+
545.9306082475591 553.0215997969326;-9.798998531896939e+
566.1154111339978 573.2064026832453;-8.654773859467819e+
586.3002140204355 593.391205569566;-7.644255238937238e+
606.4850169068724 613.5760084558938;-6.751799218231432e+
626.6698197933084 633.760811342228;-5.9635968075746236e+
646.8546226797437 653.9456142285679;-5.267457404528602e+
667.0394255661784 674.1304171149133;-4.652618398165562e+
687.2242284526125 694.3152200012634;-4.1095773428557725e+
707.409031339046 714.5000228876178;-3.62994398399577e+
727.5938342254791 734.6848257739763;-3.2063097562384437e+
747.7786371119117 754.8696286603384;-2.832132667965949e+
767.9634399983439 775.054431546704;-2.5016357406516735e+
788.1482428847758 795.2392344330726;-2.2097173940227728e+
808.3330457712073 815.4240373194441;-1.951872362093223e+
808.3330457712073 815.4240373194441;-1.951872362093223e+
PointOptimal;ValeurOptimale
[808.33304577 815.42403732];-1.951872362093223e+158
Temps;Nb iteration
0.0026586055755615234;41
