Point;Valeur
1.6997306926051614 6.7723286660358575;-3.5233736381445
47.799730692607696 52.872328666038385;-2623881866.9693
93.8997307736008 98.97232872845026;-2.664310409032834e
139.99973080899258 145.07232876559135;-2.729494392722997e
186.0997308446759 191.1723288018872;-2.8029140857904474e
232.19973088043164 237.27232883795534;-2.8811157732659935e
278.2997309162162 283.3723288739294;-2.9629650117753928e
324.39973095201515 329.47232890985555;-3.0480095991177146e
370.49973098782226 375.572328945754;-3.1360585673522433e
416.5997310236345 421.67232898163496;-3.2270394986216344e
462.69973105945013 467.7723290175042;-3.3209408349306267e
508.79973109526816 513.8723290533652;-3.417785472872987e
554.8997311310878 559.9723290892201;-3.51761751131755e+
600.9997311669089 606.0723291250705;-3.620495112452165e+
647.0997312027309 652.1723291609175;-3.7264864372387493e+
693.1997312385537 698.2723291967616;-3.8356672288735134e+
739.2997312743771 744.3723292326035;-3.948119327665301e+
785.399731310201 790.4723292684437;-4.0639297364801076e+
831.4997313460253 836.5723293042823;-4.183190024478277e+
831.4997313460253 836.5723293042823;-4.183190024478277e+
PointOptimal;ValeurOptimale
[831.49973135 836.5723293 ];-4.183190024478277e+162
Temps;Nb iteration
0.0015454292297363281;19
