Point;Valeur
2.057470605883207 2.5152131271866107;-1.4483434569530
4.362470586497373 4.820212949942462;-2.591573470706
6.377224250294291 6.98140206991345;-7.368495536323
7.215439210007352 9.107939232176491;-14.381235566932
9.25373212211669 11.159067150877004;-37.299211125322
11.27113406182822 13.25476509802734;-93.7927850990
13.429653855504078 15.363629026788587;-243.06721289648
15.554678944711998 17.485225528234967;-632.394824098
17.681367585232362 19.609058082734123;-1643.7263128326
19.813993998035578 21.73417963545105;-4279.095804466
21.944295239579574 23.86042817453216;-11144.551905845
24.074113539459773 25.98714216335051;-29026.954313122
26.20404771720097 28.11419044786726;-75618.07273817
28.333700245398145 30.241519849009382;-197017.429023
30.463184596098525 32.36905062304028;-513357.0884885
32.5925742640652 34.49674027652269;-1337726.1806810
34.72186784310722 36.62456035391428;-3486112.3630559
36.85108489163114 38.752486413440856;-9085251.968237
38.98024167553111 40.880500280392;-23678312.5825
41.10934725988585 43.00858794565997;-61713461.88442
43.238409798858584 45.136738086228455;-160850410.73460
45.36743598295953 47.26494160672463;-419252565.0790
47.49643100028569 49.39319111476872;-1092795931.8920
49.62539913230452 51.52148051612014;-2848465395.7790
51.75434392559349 53.64980474930284;-7424895050.64
53.883268318321825 55.778159576408896;-19354248087.08
56.012174776371914 57.90654142069524;-50450811083.978
58.14106538481353 60.03494724215213;-131511953012.60
60.26994191658663 62.16337444106975;-342820653098.
62.398805889935836 64.2918207805525;-893661255348.2
64.52765861220283 66.42028432575471;-2329607035283.
66.65650121517888 68.54876339389955;-6072895897023.
68.78533468404468 70.67725651512372;-15831137286999.
70.91415987982707 72.8057623994618;-41269691914364
73.04297755888008 74.93427991036803;-107585297563920
75.17178838775818 77.0628080420419;-28046391519351
77.30059295647 79.19134590186076;-73114452662800
79.42939178953854 81.31989269462385;-190603764621960
81.55818535405517 83.44844770916451;-496891490642615
83.68697406795027 85.5770103079523;-1.2953685510944874e
85.81575830608071 87.70557991805649;-3.376966223928592e
87.94453840548604 89.83415602265396;-8.803625280946568e
90.07331467029255 91.96273815420328;-2.295079541957135e
92.20208737561735 94.09132588967039;-5.983223165486836e
94.33085677070103 96.21991884416138;-1.5598176970011323e
96.45962308224293 98.34851666750787;-4.0664326979329254e
98.58838651637436 100.47711904008469;-1.0601183867051438e
100.71714726163971 102.60572566973624;-2.763733180715114e
102.84590549022629 104.73433628864971;-7.205079313231764e
104.97466136007527 106.86295065125256;-1.8783748806917544e
107.10341501598386 108.99156853162424;-4.896960262394626e
109.23216659138623 111.12018972156402;-1.2766493933749162e
111.36091620876911 113.24881402898146;-3.328261327335706e
113.48966398173265 115.37744127657066;-8.676885500811273e
115.61841001505991 117.50607130021127;-2.262095572659652e
117.74715440575848 119.63470394767253;-5.89737349956739e
119.87589724332472 121.76333907726402;-1.53747083820165e
122.00463861128759 123.89197655821614;-4.008258107508092e
124.13337858743952 126.02061626810676;-1.0449727948703704e
126.2621172441085 128.14925809307914;-2.7242990213252594e
128.39085464842177 130.2779019269497;-7.102398346981357e
130.5195908629197 132.4065476702315;-1.8516364360823157e
132.6483259465389 134.53519523029888;-4.827328215170432e
134.77705995405867 136.66384452032776;-1.2585148264975762e
136.90579293705096 138.79249545857428;-3.281030175954513e
139.03452494326905 140.92114796871718;-8.553866649720759e
141.163256018183 143.0498019793393;-2.2300524248737888e
143.29198620443503 145.1784574225101;-5.813905932873753e
145.42071554147174 147.3071142352448;-1.5157279014294982e
147.54944406731966 149.4357723574131;-3.9516165194184286e
149.67817181689963 151.56443173253703;-1.0302168035506608e
151.806898823871 153.69309230802216;-2.6858561194946645e
153.9356251191232 155.8217540328382;-7.002242139693452e
156.06435073304428 157.95041686042114;-1.8255417131801842e
158.1930756938058 160.0790807457104;-4.759339024508618e
160.32180002716024 162.20774564572676;-1.2407999256556245e
162.45052375878691 164.3364115206417;-3.234872004615498e
164.5792469122881 166.4650783323977;-8.433593448036147e
166.70796951061877 168.59374604482764;-2.1987124247047427e
168.8366915749918 170.7224146233694;-5.732240468401552e
170.96541312541413 172.85108403571442;-1.4944471623668034e
173.09413418141241 174.97975425057112;-3.8961611827164414e
175.2228547615013 177.10842523881817;-1.0157654702185001e
177.3515748827456 179.2370969723404;-2.6481961443414384e
179.48029456214732 181.36576942430463;-6.904099148716984e
181.60901381538474 183.49444256912787;-1.799964963236898e
183.7377326576899 185.6231163831322;-4.692683232112482e
185.86645110271564 187.75179084221605;-1.2234284547367518e
187.99516916507642 189.88046592516224;-3.1895988088086147e
190.12388685755843 192.0091416108077;-8.315601792036319e
192.25260419248804 194.13781787879813;-2.167960891650897e
194.3813211820688 196.26649471002062;-5.652093458176206e
196.5100378371035 198.39517208536196;-1.473558398608966e
198.6387541693889 200.52384998807705;-3.841718091418214e
200.7674701886308 202.65252840093177;-1.001575638453332e
202.89618590514303 204.7812073079281;-2.6112119683817988e
205.02490132835652 206.9098866932601;-6.807703218593368e
207.1536164678166 209.03856654258627;-1.7748400067123787e
209.28233133228608 211.16724684158012;-4.6271961484953785e
211.41104592965183 213.29592757594185;-1.2063593976048778e
213.53976026828136 215.42460873296733;-3.1451083561496444e
215.6684743560389 217.55329030042057;-8.199636672172972e
217.7971882005889 219.68197226559735;-2.1377341684161947e
219.9259018089757 221.8106546175168;-5.5733058779963537e
222.05461518771847 223.93933734481695;-1.4530218558553288e
224.1833283438347 226.06802043606675;-3.7881877905468197e
226.31204128332243 228.19670388149189;-9.876224102634058e
228.4407540131178 230.32538767126704;-2.5748412177495054e
230.56946653822504 232.45407179567883;-6.712897989377659e
232.69817886487454 234.582756245532;-1.7501276200731847e
234.8268909980638 236.7114410116962;-4.5627793151242955e
236.95560294355982 238.84012608578672;-1.1895680234293583e
239.08431470600718 240.96881145949698;-3.101338489832867e
241.21302629084175 243.0974971252769;-8.085541771891659e
243.341737702582 245.22618307466027;-2.1079929190467563e
245.47044894530725 247.35486930052858;-5.495778681339515e
247.59916002414178 249.4835557958641;-1.4328125790789422e
249.72787094307762 251.61224255378335;-3.735507371879315e
251.85658170591245 253.7409295673852;-9.738899180410779e
253.98529231701897 255.86961682997637;-2.5390438453134634e
256.11400277995386 257.9983043359675;-6.61958233263962e
258.2427130985977 260.1269920786034;-1.7258022522527465e
260.3714232764551 262.25568005230514;-4.499368141791917e
262.5001333174495 264.38436825234;-1.1730379956758392e
264.62884322429755 266.51305667224403;-3.058247868439628e
266.7575529999469 268.64174530630135;-7.973212413542447e
268.88626264846664 270.77043415037707;-2.078710626008933e
271.0149721727175 272.8991231994016;-5.419444662293254e
273.1436815750527 275.027812448042;-1.412913526878321e
275.27239085891364 277.15650189187704;-3.68363360048788e
277.40110002666785 279.28519152658623;-9.603671877224319e
279.5298090808751 281.41388134702146;-2.5037919839814372e
281.65851802489277 283.54257135006065;-6.527685450422066e
283.787226860426 285.67126153112196;-1.7018459087306038e
285.91593559072345 287.7999518859984;-4.4369168706045975e
288.04464421722446 289.92864241068594;-1.15675767269898e
290.17335274279674 292.05733310250275;-3.015806861369777e
292.30206116933255 294.18602395619945;-7.862573155227731e
294.43076949954525 296.31471496947864;-2.0498680719125537e
296.55947773534916 298.4434061383822;-5.344254843581252e
298.6881858783889 300.57209745933443;-1.3933122125668298e
300.81689393108417 302.7007889300311;-3.6325346296885776e
302.94560189532586 304.82948054653104;-9.470460935239171e
305.0743097723978 306.95817230569867;-2.4690648927674826e
307.2030175647092 309.0868642045498;-6.437154377861109e
309.33172527413547 311.2155562406015;-1.678245059007881e
311.460432902497 313.3442484110771;-4.375390922849785e
313.58914044999244 315.47294071234563;-1.1407182152546731e
315.71784791999636 317.6016331432494;-2.973992863431299e
317.84655531397766 319.7303257002454;-7.753566165262483e
319.9752626324364 321.8590183803304;-2.0214504559142294e
322.1039698772984 323.9877111817503;-5.270171334471538e
324.2326770508959 326.1164041023327;-1.3739989328292795e
326.36138415284915 328.2450971386781;-3.582185599227537e
328.4900911864781 330.3737902896921;-9.33920264408441e
330.6187981517144 332.5024835526871;-2.4348462384675922e
332.74750505082096 334.63117692558114;-6.347947233791256e
334.8762118850302 336.7598704062014;-1.6549889601268967e
337.00491865456473 338.888563992293;-4.31476273174439e
339.13362536140016 341.01725768230443;-1.1249125480101928e
341.26233200637733 343.14595147378327;-2.9327877083854395e
343.3910385912149 345.27464536480335;-7.646144781664834e
345.5197451166777 347.4033393540113;-1.993445791118687e
347.64845158455967 349.5320334397242;-5.197163334007755e
349.77715799488107 351.6607276198679;-1.3549657694999642e
351.9058643488403 353.78942189256907;-3.532566153518166e
354.0345706479133 355.91811625608005;-9.20984465210413e
356.1632768928513 358.04681070909345;-2.4011225536989223e
358.29198308429494 360.175505249579;-6.2600293596355765e
360.42068922399534 362.30419987652004;-1.6320686907475898e
