Point;Valeur
3.205453953439468 -4.703496991781268;-2.188249002223
1.2684539814369327 -6.640496964177057;-2.8801160929619
2.9430496584983703 -8.30240825185064;-6.266447581032
2.4978993059579917 -9.939159103565208;-10.083437543652
3.1970144938756064 -11.505642108514746;-16.407677149691
3.782855329477993 -13.073070748451492;-27.514894822638
5.431387990873738 -14.638349860965981;-53.47642941805
7.211188143039971 -16.24759658478778;-104.97386141177
8.964396687191508 -17.893638289531612;-215.37156567500
10.689183926388782 -19.561823044387623;-443.6548165428
12.427207559050773 -21.242567903270583;-928.851359778
14.149025842820425 -22.932552365224943;-1953.2368066338
15.874910642456205 -24.627830952139824;-4132.868776697
17.596047247574013 -26.3273945490579;-8775.510382657
19.317490529361528 -28.02986576415141;-18690.955391480
21.03768274277602 -29.734707863417732;-39905.06689883
22.757561599714837 -31.441372261946047;-85359.55258591
24.477044971704675 -33.14952923003484;-182882.43213537
26.19628010980685 -34.85890619709949;-392335.96056416
27.915340123503473 -36.56929922300618;-842611.4933863
29.63425757139227 -38.28054805288741;-1811351.1269096
31.353078557196 -39.99252351314856;-3896970.616781
33.07182024811806 -41.70512240447523;-8389804.91632
34.79050481779512 -43.418259563881996;-18073304.046680
36.50914382870306 -45.131865111186706;-38953913.91087
38.22774835211213 -46.84588059306186;-83997211.17184
39.946325802226426 -48.560257009016034;-181198868.6458
41.66488227729011 -50.27495284558488;-391023680.78608
43.38342236944707 -51.98993274654492;-844093568.1138
45.101949697507074 -53.7051663918515;-1822650615.5345
46.82046710324748 -55.42062763531191;-3936668927.8270
48.538976825784346 -57.13629380883585;-8504640539.950
50.257480648169405 -58.85214516094549;-18377016390.540
51.9759799879742 -60.5681644026485;-39717102507.32
53.69447598123686 -62.28433633429903;-85853138505.09
55.41296953793478 -64.00064753904815;-185611237297.63
57.13146138963375 -65.71708612870798;-401343259941.3
58.84995212490299 -67.43364153183126;-867932770777.0
60.56844221740037 -69.15030431616333;-1877197395858.
62.286932048278224 -70.86706603911325;-4060536006173.
64.00542192377615 -72.58391912102412;-8784207752433.
65.72391208923824 -74.30085673785771;-19004841618229.
67.44240274049092 -76.01787272895162;-41121152012217
69.16089403323598 -77.73496151847367;-88982146857655
70.87938608938849 -79.45211804762701;-192563759119714
72.59787900420372 -81.16933771631669;-41675230121872
74.3163728511865 -82.88661633097537;-90200956086445
76.03486768479598 -84.60395006240618;-195241459500223
77.75336354485842 -86.32133540595687;-422628683012347
79.47186045904492 -88.03876914806351;-914892994191420
81.19035844455694 -89.75624833649502;-1.9806355414014956e
82.90885751087535 -91.47377025452312;-4.288055573264303e
84.62735766042252 -93.19133239809823;-9.284030489801854e
86.3458588899382 -94.90893245478503;-2.0101657379742288e
88.06436119214601 -96.6265682862626;-4.352564913611098e
89.7828645559065 -98.34423791193952;-9.424877941075151e
91.50136896727051 -100.06193949491752;-2.0409030568501507e
93.2198744102232 -101.77967132941862;-4.419613831184286e
94.9383808661922 -103.4974318286766;-9.571076329563748e
96.65688831678429 -105.21521951458404;-2.0727694526561047e
98.37539674090353 -106.9330330099983;-4.4890484203528086e
100.09390611765801 -108.6508710284673;-9.722322041364328e
101.81241642518908 -110.36873236804507;-2.1057050161552717e
103.53092764227371 -112.08661590363185;-4.5607504574780185e
105.24943974637176 -113.804520581839;-9.878381787180123e
106.96795271546002 -115.52244541479257;-2.1396637226796395e
108.68646652783713 -117.24038947528128;-4.6346291764554215e
110.40498116156418 -118.95835189179508;-1.003907666677653e
112.12349659525799 -120.6763318452989;-2.174610337794103e
113.84201280811236 -122.39432856418813;-4.7106152511875576e
115.56052977916481 -124.11234132178765;-1.0204270444989594e
117.27904748783061 -125.83036943276826;-2.2105181293449998e
118.99756591436905 -127.54841225027566;-4.788656322784232e
120.71608503959268 -129.26646916342284;-1.037386079132725e
122.43460484469934 -130.98453959463566;-2.2473671505360462e
124.15312531038767 -132.70262299728117;-4.868713630511846e
125.87164641928044 -134.42071885426023;-1.0547772663917197e
127.59016815396596 -136.13882667499763;-2.285142936190885e
129.30869049688738 -137.85694599500337;-4.950759439676487e
131.02721343213605 -139.57507637290593;-1.0725953226297336e
132.74573694317516 -141.2932173899929;-2.3238355000160933e
134.46426101477707 -143.01136864860382;-5.03477505861732e
136.1827856315886 -144.72952977012974;-1.0908367922484165e
137.90131077894387 -146.4477003949985;-2.3634385552843247e
139.61983644283046 -148.16588018034327;-5.120749291542593e
141.3383626092184 -149.88406879994469;-1.1094997403197028e
143.05688926474593 -151.602265943042;-2.4039489029261896e
144.77541639673737 -153.32047131271622;-5.2086772210801135e
146.4939439923393 -155.03868462612212;-1.1285835097075007e
148.21247203967002 -156.75690561334127;-2.4453659481122707e
149.9310005266463 -158.47513401595808;-5.298559241410184e
151.6495294419473 -160.19336958767136;-1.1480885279938307e
153.36805877489655 -161.91161209276012;-2.4876913131499413e
155.08658851416396 -163.62986130540457;-5.390400284894103e
156.80511865021862 -165.34811700964545;-1.1680161525697726e
158.52364917183473 -167.06637899961902;-2.5309285273685934e
160.24218007038832 -168.78464707646347;-5.484209199098026e
161.96071133572033 -170.50292105075627;-1.1883685453079974e
163.67924295878316 -172.22120074025958;-2.5750827754340722e
165.39777493089662 -173.9394859709353;-5.579998239218911e
167.11630724373924 -175.65777657453896;-1.2091485707503698e
168.83483988830224 -177.37607239096468;-2.620160692351924e
170.5533728568072 -179.09437326535416;-5.677782658232938e
172.27190614127215 -180.8126790493025;-1.2303597132531272e
173.99043973424108 -182.5309896001187;-2.6661701950344954e
175.70897362865375 -184.24930478077468;-5.777580365278019e
177.42750781720352 -185.9676244588958;-1.2520060083678922e
179.14604229271438 -187.68594850767116;-2.7131203462348574e
180.86457704823246 -189.4042768049614;-5.8794116492378335e
182.5831120778661 -191.12260923272035;-1.2740919862354517e
184.30164737500672 -192.8409456777319;-2.7610212375055446e
186.02018293275754 -194.5592860311661;-5.983298946080819e
187.73871874679864 -196.27763018637498;-1.2966226254748955e
189.457254810293 -197.99597804271983;-2.809883897688538e
191.175791117172 -199.71432950147695;-6.089266648014767e
192.89432766268 -201.43268446891042;-1.3196033135745918e
194.61286444139685 -203.15104285264437;-2.859720210696643e
196.33140144841917 -204.86940456514043;-6.1973409431169545e
198.04993867782534 -206.587769521378;-1.343039814872442e
199.7684761260204 -208.3061376379942;-2.910542853607915e
201.4870137869103 -210.0245088368914;-6.3075496811332e
203.20555165645047 -211.74288304110124;-1.3669382435781122e
204.9240897307168 -213.46126017459645;-2.962365238374735e
206.64262800439516 -215.17964016722425;-6.419922265029873e
208.36116647445223 -216.8980229478777;-1.3913050405687128e
210.07970513568293 -218.6164084506545;-3.0152014672774924e
211.79824398459496 -220.33479660949607;-6.5344895530375856e
213.51678301699812 -222.05318736187544;-1.4161469554544513e
215.23532222947748 -223.77158064602872;-3.069066294826496e
216.95386161837976 -225.4899764025036;-6.651283784865198e
218.67240117915742 -227.20837457495952;-1.441471029377441e
220.39094090927333 -228.92677510738653;-3.123975094253868e
222.1094808050314 -230.64517794552353;-6.770338513266713e
223.8280208633356 -232.36358303677508;-1.4672845831228772e
225.54656108053788 -234.08199033099783;-3.179943832135026e
227.26510145400894 -235.80039977879605;-6.89168855093463e
228.98364198010185 -237.51881133248753;-1.493595204913791e
230.7021826561978 -239.23722494553172;-3.2369890453998455e
232.42072347912705 -240.95564057295047;-7.015369925448626e
234.13926444613475 -242.6740581710886;-1.5204107418681296e
235.85780555489364 -244.39247769737904;-3.295127821702004e
237.5763468020552 -246.1108991104874;-7.141419840383893e
239.29488818518632 -247.8293223704374;-1.5477392923041194e
241.01342970214486 -249.5477474381288;-3.3543777853325002e
242.73197134967396 -251.26617427647153;-7.269876645523528e
244.4505131256646 -252.98460284766165;-1.5755891995589118e
246.16905502791752 -254.70303311639267;-3.414757085520499e
247.88759705475778 -256.4214650475219;-7.4007798129391e
249.60613920217043 -258.1398986076911;-1.603969047179965e
251.3246814692199 -259.85833376373097;-3.476284385327034e
253.04322385383068 -261.57677048286905;-7.534169914791519e
254.761766352986 -263.29520873491424;-1.632887654407707e
256.4803089652999 -265.0136484888303;-3.5389788524665915e
258.1988516884135 -266.73208971579635;-7.670088609682123e
259.91739452084823 -268.45053238577606;-1.6623540736496457e
261.63593746036156 -270.1689764716583;-3.602860156957036e
263.3544805047386 -271.88742194580317;-7.808578629920094e
265.0730236524378 -273.60586878133637;-1.6923775879418495e
266.7915669021833 -275.3243169523499;-3.6679484623014085e
268.5101102514335 -277.042766434152;-7.94968377304711e
270.2286536992388 -278.76121720116777;-1.7229677098021045e
271.9471972433789 -280.4796692292624;-3.7342644269578067e
273.66574088181324 -282.19812249551524;-8.093448895970369e
275.3842846140319 -283.9165769773535;-1.754134178800776e
277.10282843761485 -285.63503265170596;-3.801829198095639e
278.82137235089596 -287.35348949744633;-8.239919915549e
280.5399163532408 -289.0719474926679;-1.7858869632806726e
282.25846044326386 -290.79040661685417;-3.870664415519205e
283.9770046184589 -292.50886685024335;-8.389143803596105e
285.69554887763485 -294.22732817200813;-1.8182362591088327e
287.4140932200593 -295.94579056422566;-3.940792208325824e
289.13263764411175 -297.66425400639093;-8.541168586074077e
290.8511821488061 -299.38271848186105;-1.8511924901762567e
292.5697267319106 -301.10118397078907;-4.01223519767496e
294.2882713935306 -302.8196504574229;-8.696043359421908e
296.00681613118945 -304.5381179229989;-1.8847663085103196e
297.72536094433883 -306.25658635188967;-4.0850165007152356e
299.4439058310455 -307.9750557278641;-8.853818276520325e
301.1624507909258 -309.69352603406134;-1.9189685979216164e
302.8809958227126 -311.4119972550604;-4.159159729079917e
304.5995409255866 -313.13046937545806;-9.01454457099482e
306.3180860975789 -314.8489423804514;-1.953810472780082e
308.03663133887596 -316.5674162559154;-4.23468899716693e
309.7551766476622 -318.2858909859151;-9.178274554527614e
311.4737220224257 -320.0043665584877;-1.989303282059646e
313.19226746264746 -321.7228429588714;-4.311628921562206e
314.91081296749854 -323.4413201734859;-9.345061628493834e
316.6293585357856 -325.1597981896261;-2.0254586087553013e
318.34790416684837 -326.87827699445995;-4.390004630015891e
320.0664498593333 -328.5967565747928;-9.51496029489382e
321.7849956131351 -330.31523691919364;-2.0622882752898183e
323.5035414268925 -332.0337180151026;-4.4698417642358246e
325.2220872988618 -333.75219985099795;-9.6880261716673e
326.9406332296928 -335.4706824147927;-2.0998043438633107e
328.6591792170387 -337.1891656958792;-4.551166484496319e
330.3777252616121 -338.9076496830153;-9.864315995384256e
332.09627136177284 -340.6261343650997;-2.1380191200822636e
333.81481751621885 -342.34461973140634;-4.634005480142416e
335.5333637257203 -344.06310577188196;-1.0043887645041288e
337.2519099880342 -345.7815924764638;-2.176945155665933e
338.97045630292536 -347.5000798344418;-4.718385971227071e
340.68900266934315 -349.21856783697945;-1.0226800150356601e
342.4075490876344 -350.9370564739695;-2.2165952519675857e
344.1260955561678 -352.6555457351076;-4.8043357169955673e
345.8446420737192 -354.37403561266945;-1.0413113709210616e
347.5631886413335 -356.092526096598;-2.256982462092176e
349.28173525637044 -357.81101717913106;-4.891883023630059e
351.000281919571 -359.5295088506542;-1.060288970398841e
352.7188286302395 -361.2480011027186;-2.2981200971914305e
354.4373753874041 -362.96649392668985;-4.981056754217044e
356.1559221900545 -364.68498731529104;-1.0796190716824797e
357.87446903733473 -366.40348125987254;-2.3400217262492627e
359.5930159293028 -368.1219757528045;-5.071886330476722e
361.31156286596155 -369.84047078597564;-1.0993080543937028e
363.0301098463677 -371.5589663511799;-2.3827011831627884e
364.7486568688752 -373.27746244243394;-5.164401748334136e
366.46720393372925 -374.99595905166177;-1.1193624221926341e
368.18575104020596 -376.71445617174976;-2.4261725684789326e
369.9042981883526 -378.4329537958179;-5.258633581110879e
